Hereby|a formal phrase, action or law|I hereby sentence you to life in prison after all the charges against you have been proven true.|
Illusive|based on an illusion or something that isn’t real|The pond the hiker saw in the distance was only an illusive mirage and not a real source of water.|
Illusory|founded on something that is not genuine |Linda started an illusory friendship with her rival as part of her plan to destroy the girl’s reputation.|
Illustrate|provide with pictures|Once the preschool book was written, the artist was hired to carefully illustrate the book with a picture on every page.|
Illustrious|respectable because of one’s accomplishments|The leader of the country will recognize the illustrious scientist in a private ceremony.|
Image|a visual representation of a person or object|The camera was used to take a still-shot image of the fruit sitting on the table.|
Imaginable|feasible, possible, or able to be conceivably thought|In the past, such a thing as spaceflight would not have been imaginable, but yet here we are, having visited the Moon.|
Imaginary|existing only in the imagination; make-believe|My family makes fun of me since I always had an imaginary friend when I was younger instead of befriending my classmates.|
Imagination|the creative ability to form images, ideas, and sensations in the mind|The creative writing teacher expected her students to use their imagination when writing their poems so that it would showcase their artistic talent.|
Imaginative|containing original and interesting ideas|Every applicant knew that the new job of instructional designer would require an imaginative mind in order to create such motivating lessons for middle schoolers.|
Imagine|to visualize or see a picture of something in one’s mind|When I’m sad, I close my eyes and imagine happier times to lift my spirits.|
Imbalance|lack of balance or being out of proportion|An imbalance of the number of men and women in Alaska makes it extremely difficult for a man to find a wife.|
Imbalance|something that is out of proportion or off center|An extreme vitamin imbalance gave the runner such high iron that her liver shut down.|
Imbecile|a word used to describe a person who behaves in a stupid or foolish manner|The teacher was reprimanded for referring to one of her students as an imbecile because he constantly asked silly questions.|
Imbibe|to drink (used frequently of alcoholic beverages)|Best practice dictates that anyone who intends to imbibe alcoholic beverages should make sure to have dependable transportation to get home.|
Imbroglio|a confusing situation|Will the treaty end this imbroglio that has kept the two countries at war for over sixty years?|
Imbue|to cause to be strongly influenced by a quality or emotion|After the terrorist bombings, the government placed several of the country’s flags at the site of the ruins to imbue patriotism.|
Imitate|to copy or simulate the function of something else|Young children will often attempt to imitate their parents, which is why you shouldn’t do anything you wouldn’t want your child to do while they’re watching.|
Imitation|a copy or fake version of a genuine article or object|Even though it’s an imitation, the copy of the painting sold for almost as much as the original.|
Immaculate|without any blemish or imperfection|Since I am having guests over for dinner, my house must be cleaned until it is immaculate.|
Immature|not fully developed to adulthood|A human is immature for many years, having to go through nearly two decades of development before becoming an adult.|
Immediacy|being immediate or urgent|The manic man talks with immediacy as if his words are being driven by a motor.|
Immediate|without delay; instant|When code blue was announced on the intercom of the hospital, everyone noticed the immediate attention of every nurse was revealed as they ran for the door.|
Immense|of a gigantic size|The museum was so immense it took us two days to make our way through it.|
Immensity|great size|While hiking on a month-long mountainous trip, Davy felt the immensity of the wilderness.|
Immerse|to become deeply involved in something|To keep her mind off her divorce, Jill will immerse herself in work.|
Immersive|surrounding a person in a way that makes them feel completely involved in the moment or process|Many English programs adopt an immersive approach that requires the learner to be completely surrounded with people speaking the new language.|
Immigrant|a person who comes to a country from another country in order to permanently settle there|Since my grandfather was an immigrant from Sweden, he brought his Swedish culture and traditions to the United States with him.|
Immigrate|to leave one country to permanently stay in another country|Sari would like to immigrate to the United States and find a better life than the one she has in Syria.|
Immigration|the act of permanently relocating to a different country|During the immigration process, the Chinese citizen was permitted to move to France.|
Imminent|likely to occur at any moment|When the Secret Service arrived, everyone knew the president’s arrival was imminent.|
Immobile|not moving; motionless|After falling off of his porch, the elderly man became immobile and couldn’t move his leg.|
Immoderate|excessive|An immoderate amount of compliments was dished out towards the employer so that it seemed like the employee was simply trying to get a raise instead of speaking honestly.|
Immodest|lacking modesty and decency|Her immodest nature of thinking everyone was beneath her created an unfriendly atmosphere for her.|
Immolation|the act of killing or sacrificing somebody|Eating nothing but candy is a sure path towards immolation of your health.|
Immoral|morally wrong|Today it is considered immoral to murder someone, but during the ancient times murder was common.|
Immorality|state or quality of being immoral or evil|Several students at the school were suspended due to the immorality of their conduct when they pushed and made fun of a special needs student.|
Immortal|one who is not susceptible to death|Angels are immortal beings, incapable of death.|
Immovable|unable to be moved|The bumbling robbers became quickly aware that the ATM machine was securely fixed to an immovable wall so that it could not be taken.|
Immune|exempt or protected from something unpleasant|Since I have been a teacher, I have not been sick one day due to being immune from most childhood sicknesses after countless exposure.|
Immunity|freedom from punishment or prosecution|Since the accomplice lied on the stand, he is not eligible for immunity and may serve time in jail.|
Immunization|the process of protecting a person against an illness, typically by vaccine|After receiving my shots, I knew my immunization records would be up-to-date which would allow me to register for school.|
Immunize|to make something immune or invulnerable to something else|We use vaccination to immunize the human body, making it highly resistant to certain contagions like the flu.|
Immunoglobulin|any of the glycoproteins in blood serum that respond to invasion by foreign antigens and that protect the host by removing pathogens|An immunoglobulin was detected in the man’s body that seemed to fight off his disease before it spread.|
Immure|to lock up behind walls|Caught robbing a bank, Jason knew the police would immure him in a jail cell for an extended period of time.|
Immutable|unable to be changed|Although I tried to get the bank president to change his mind about giving me the loan, I finally realized his decision was immutable.|
Imp|a badly behaved child|As the new teacher walked into the classroom, she realized the boy in front would be an imp not just the class clown.|
Impact|have a strong effect on someone or something|Rising pollution and increased burning of fossil fuels has had a huge impact on global warming.|
Impair|damage or weaken something|Alcohol can greatly impair your judgement.|
Impairment|an injury or damage|Following his car accident, the man suffered an impairment in which he could only walk with the help of a crutch.|
Impale|to pierce with something sharp|During the horror movie, the knife would impale the girl through the heart killing her instantly.|
Impalpable|not capable of being physically touched|While you can view the signs of love, you can’t touch love because it’s impalpable.|
Impart|to distribute a portion of something|A teacher’s job is to impart knowledge to her students.|
Impartial|to not offer influence to any side |Since the judge is related to the defendant, it is not possible for him to be impartial during the trial.|
Impassable|impossible to travel along|Without having shoulders on the highway, the stalled car made it impassable for any traffic to go through to the next town.|
Impasse|a situation that prevents advancement|Yesterday, the two parties did not make any progress on the contract terms because they had reached an impasse.|
Impassioned|overflowing with strong emotion|The widow’s impassioned speech brought the members of congress to their feet.|
Impassive|having, or revealing, no emotion; expressionless|Even though it was very exciting, Jon delivered the news in an impassive voice in the hope that everyone would stay calm.|
Impatient|restless or irritated under delay or opposition|After waiting for half an hour in line, the impatient customer stormed out of the store and called the manager to complain.|
Impavid|extreme courage or bravery|Mongols were impavid warriors who rode into dangerous battles without a thought of death.|
Impeach|to charge a public official with a crime|Without sufficient evidence, you cannot hope to impeach a public official.|
Impeccable|perfect in every way|With your impeccable English skills, writing essays should be a cinch.|
Impecunious|lacking money; penniless|Since Janice grew up in an impecunious household, she knew a great deal about surviving on very little.|
Impede|to interfere with or slow the progress of|If you do not eat while you are sick, the lack of nutrients will impede your recovery.|
Impediment|something that interferes with a person’s ability to complete a task|My broken wrist is the impediment preventing me from finishing my new novel.|
Impedimenta|oversized gear that makes it awkward to carry|While boarding the small airplane, I held up the line of people going to their seats as I tried to shove my impedimenta for my skiing trip into the small overhead bin.|
Impel|to drive an individual to perform in a certain way|The manufacturer hopes its commercial will impel us to purchase its new product.|
Impending|going to occur; coming|When I refused to pay the fake fortuneteller, she warned me of impending doom in my future.|
Impenetrable|not capable of being entered|If the castle is truly impenetrable, our enemies will never gain access to the king.|
Impenitent|unapologetic; remorseless|Even after being sentenced to life in prison, the impenitent man was not sorry for his crimes.|
Imperative|essential|If you’re serious about getting healthy, it’s imperative that you follow a healthy lifestyle, make the right food choices, and exercise regularly.|
Imperceptible|not perceptible by a sense or by the mind|When I had my headphones over my ears, the noise outside was imperceptible.|
Imperfect|not perfect|After misrepresenting herself on her resume, it was obvious to the company that she was really an imperfect candidate for the job.|
Imperfection|a defect or flaw|An imperfection in the painting surprisingly made it more valuable to collectors.|
Imperial|relating to an empire, emperor, or the concept of imperialism|If a member from an imperial family approaches you, then your response should be to bow before them.|
Imperialism|a course of action that involves vigorously expanding a nation’s power over other countries by any means necessary|The country’s inability to embrace imperialism is responsible for its lack of geographical expansion over the years.|
Imperil|to be in danger of something or someone|Although most people do see the threat, littering in the ocean can imperil many different marine life like dolphins due to their ingestion of plastic litter.|
Imperious|domineering; expecting ones' orders to be followed|The principal is an imperious woman who expects to be obeyed.|
Imperishable|to last forever or at least for a long time|To survive the Apocalypse, the worried man stockpiled his cellar with an array of imperishable products like dried beans and powdered milk.|
Impermanence|the state of being temporary|The impermanence of the new the car’s smell caused the woman to buy air fresheners.|
Impermeable|not allowing substances to pass through|The impermeable rain coat kept water from ruining the woman’s cashmere sweater.|
Impermissible|not allowed|The student knew having her cell phone at school was impermissible but brought it anyway.|
Impersonal|having no interest in other people and lacking warmth or emotion; cold|Breaking up with me over text was a very impersonal way to end our relationship.|
Impersonally|remaining neutral and not showing feelings or personality|Cookout invitations were sent out impersonally through a group text.|
Impersonate|to deliberately act or appear like someone else|Most people try to impersonate Elvis Presley by wearing a sparkling jumpsuit, dark sunglasses, and jet black hair, in addition to singing one of his songs.|
Impertinent|behaving without proper respect; rude|Although she thought she was just being funny, her teacher didn’t agree and sent her to the principal’s office for being impertinent.|
Imperturbable|not disturbed or excited easily|The imperturbable actress carried on with her performance even when her costar forgot his lines.|
Impervious|not allowing something to enter or pass through|Let us hope these thin walls are impervious to the freezing cold tonight!|
Impetuous|acting without thinking—done impulsively; sudden decision|His impetuous behavior landed him in prison.|
Impetus|a force that causes something to be done or to become more active|The high crime rate was the impetus for the hiring of one hundred new police officers in our city.|
Impiety|lack of respect for God|Speaking with impiety of holy things was a crime in the city-state, but few were ever prosecuted.|
Impinge|to produce an effect, usually an unwanted one|Hopefully the bad weather will move in a different direction and not impinge upon our plans for an outdoor reception.|
Impious|lacking reverence or respect, especially towards a god|His lack of protocol in the church caused him to gain a reputation for being impious.|
Impish|acting in a childish way like a rascal|As the strict businessman walked down Main Street, he took notice of the group of impish teenagers ahead of him yelling at the passersby.|
Implacable|not capable of being appeased|The little boy was implacable when his parents left him alone with the babysitter.|
Implant|to embed or establish something in a fixed position|When the stubborn child would get upset with his mother for not getting his wish, he would implant his foot firmly on the rug with a scowl on his face.|
Implausible|unlikely or questionable|The drug manufacturer was fined for making implausible claims about its weight loss products.|
Implement|to put into effect|The computer programmer estimates it will take twenty hours to implement the code changes in the software.|
Implementation|the process of executing or putting a plan into motion|Many people are calling for a nationwide gun registry, but implementation of such a program would be difficult.|
Implication|an idea or belief that is suggested from something else|Cheryl’s hiding of her report card gave me the implication she had failed at least one of her classes.|
Implicit|understood though not clearly or directly stated|Although you never stated I could use your car, your permission was implicit when you handed me your car keys.|
Implode|to explode inward|Everyone was shocked to see the loving couple’s relationship implode and end in divorce.|
Implored|sincerely begged |The little boy implored his kidnapper to let him go.|
Imply|to hint at something without directly stating or presenting|When I said I would never wear a blue dress, I was not trying to imply blue was not a good color choice for you.|
Impolite|being rude|Her impolite ways of constantly interrupting me every time I spoke made me want to avoid her at any cost.|
Impolitely|doing something rudely or without manners|Lucas impolitely burped at the table during dinner and failed to excuse himself.|
Impolitic|foolish|I realized it was an impolitic idea to talk on my cell phone and walk through a curvy path in the woods since I am aware of my clumsiness and no sense of direction.|
Imponderable|difficult or impossible to comprehend or evaluate|She wanted to enter the contest but guessing the amount of jelly beans in the barrel was imponderable.|
Import|to bring in from a foreign country|Due to the high tariffs placed on goods, the company decided to buy the raw materials in the United States instead of deciding to import them.|
Importance|the value or substance of something|The doctor always stresses to his patients the importance of a healthy diet and lots of exercise.|
Importance|being of great value or worth|The doctor explained the importance of eating healthy meals and getting rest to the sick patient.|
Importunate|demanding in an annoying way|My mother left her husband because he was an importunate man who treated her like an unpaid servant.|
Importune|to request (someone) pressingly and persistently for or to do something|Even after I had politely declined and shut the door, I could hear the salesman continuing to importune me to let him demonstrate the expensive vacuum cleaner.|
Impose|to apply controls or rules|To maintain order, the prison warden will impose as many rules as necessary to keep the inmates in line.|
Imposition|an unreasonable and burdening demand or request|Mary’s nature of imposition by always asking her co-workers to do her work caused her to lose her job.|
Impossibility|the condition of something not being able to be done|Elizabeth’s boss was classified as a scrooge by his employees, and Elizabeth saw the impossibility to make the job worthwhile.|
Impossible|not possible; not able to be done or happen|The employees grew angry with their boss for assigning such an impossible task of creating the monthly reports overnight.|
Impossibly|in a way that is unnecessary or ridiculously extreme|Because the line to get into the restaurant was impossibly long, the couple decided to eat at a different café.|
Imposter|a person who pretends to be someone else in order to trick and deceive people|The imposter mimicked our dad’s voice to perfection.|
Impotent|lacking in power, as to act effectively; helpless|When my husband was diagnosed with cancer, I felt impotent because I could not help him with his pain.|
Impound|to remove and keep property by law|After stopping payments on their new car, the bank would impound their car in a secured lot until the couple would pay the overdue amount.|
Impoverished|wiped out financially; poor|The impoverished girl knew she did not have enough money to attend college.|
Impractical|not reasonable because it is unlikely to happen |Even though his son was very smart, it was impractical for the father to believe his son could learn quantum physics while in kindergarten.|
Incidentally|by the way|Incidentally, Joan is no longer returning my phone calls since she borrowed money from me.|
Incinerate|destroy by burning|If an atom bomb was dropped over Manhattan, the whole city would incinerate in a flash.|
Incipient|just beginning to appear or develop|Because the incipient plan has no backup measure, there is no chance it will succeed.|
Incised|cut carefully with a sharp tool|Using a scalpel, the surgeon incised the woman’s stomach and removed the tumor from her body.|
Incisive|clear and direct; sharp|The teacher’s incisive tone made it clear that she was done playing games.|
Incite|to stir up or excite|The racist man tried to incite hatred in his children by telling them falsehoods about minority groups.|
Inclement|unpleasant weather in being stormy, rainy, or snowy|Inclement weather is causing us to postpone our picnic.|
Inclination|the tendency to act or feel a certain way about something or someone|A coward’s natural inclination is to walk away from a fight.|
Incline|a surface or area that tends to go upward|Because of my knee injury, it is difficult for me to walk up the incline.|
Include|to make something part of a greater whole|We wanted to include the new transfer student, so we invited him to sit with us at lunch on his first day.|
Inclusion|the act of adding a person or thing to a situation or agreement|The inclusion of the harp in the orchestra will enhance future performances.|
Inclusive|covering every person and every aspect of a situation|The comprehensive insurance plan is inclusive of both medical and emergency cancellation policies.|
Incognito|without revealing one's identity; in disguise|Even stars who go out incognito are often recognized by the public and hounded by the paparazzi.|
Incoherent|not logical or easily understood|After drinking too much at the party, Larry became incoherent and made very little sense.|
Income|money that is earned/brought in monthly|After losing his job, Mr. Davis had to find a new way to get income flowing in every month.|
Incommodious|not comfortable; unpleasant|I sat on the floor because the lumpy couch was incommodious.|
Incommunicado|not in a position where one can communicate with other individuals|During our honeymoon, my husband and I will be incommunicado.|
Incomparable|without equal|To me my favorite chocolate is incomparable.|
Incompatible|not able to peacefully exist in the same area|Because my husband and I were incompatible, our marriage ended after two weeks.|
Incompetent|unskilled; not capable|The robber was so incompetent he locked himself in the bank vault.|
Incomprehensible|impossible or difficult to understand|After hearing to the incomprehensible rap, listeners were left wondering what the musician meant.|
Inconceivable|impossible to believe|It is inconceivable that the young boy walked twenty miles without shoes in freezing weather.|
Inconclusive|not conclusive, not leading to a conclusion|The blood test was inconclusive for any diseases, so they wanted to redraw blood.|
Incongruous|out of place; inconsistent or incompatible|How incongruous of a fat doctor telling me to lose weight!|
Inconsequential|not important or significant|When you walk with your head down and eyes lowered, you come across as being inconsequential.|
Inconsiderable|minor, small or unimportant|With such an inconsiderable injury, the athlete simply continued to play the game since he knew the scratch in his leg wouldn’t cause him any problems.|
Inconsiderate|not considerate of others, thoughtless|It is inconsiderate to leave a mess for someone else to clean up.|
Inconsolable|not capable of being consoled|The old man was inconsolable at his wife’s funeral.|
Inconspicuous|not easily observed|The celebrity hoped she looked inconspicuous so her fans would not approach her in the grocery store.|
Inconstancy|infidelity; unfaithfulness|Known for his inconstancy, the married man had children with women all over town.|
Incontinent|inability to control ones actions or hold back from something desired|Someone who has Tourette syndrome is considered incontinent because they have little to no control over repeated words or sudden movements.|
Incontrovertible|cannot deny or disprove; unable to change form|How can you deny the incontrovertible proof staring you in the face?|
Inconvenience|a disruption, bother, or annoyance|Because I hate the cold, having to sit under the air conditioning vent at work is an inconvenience.|
Inconvenient|causing difficulties or troubles|The car accident was an inconvenient start to my holiday weekend.|
Incorporate|to include or mix|In order to provide a complete report, Henry and his staff incorporate the graphs and charts into the written text.|
Incorporated|included; combined|The bride was insistent that the wedding planner make sure that red, white, and blue were incorporated in her big day.|
Incorporeal|lacking form or substance|Most believe the soul to be incorporeal, as it can exist without a physical shell.|
Incorrect|not accurate|Each incorrect answer caused the team to lose fifty points from the score board.|
Incorrigible|not capable of being reformed|Because my daughter’s behavior is incorrigible, she might be grounded for at least a year.|
Incorruptible|having integrity that cannot be corrupted|The incorruptible jury member refused to be pressured into voting not guilty by the defendant’s family members.|
Increase|made greater in size or amount|An increase in the amount of the loan made it possible for the car shoppers to purchase the vehicle they really wanted.|
Increasingly|progressively|As the city continues to grow, it is increasingly harder to find a parking spot down town.|
Incredible|so extraordinary that is seems impossible|An incredible act of kindness, a stranger off the street offered to donate a kidney for the ill teenager.|
Incredibly|to a great extent|The woman was incredibly sorry that she took the job offer once she realized the company was going out of business in a few months.|
Incredibly|very; extremely|The puny teenager found it incredibly difficult to pick up the heavy barbell from the floor.|
Incredulity|a feeling of not being able to believe something or of not wanting to believe it|When the UFO appeared above my house, I was speechless with incredulity.|
Incredulous|unbelievable; cannot accept as true|The lottery winner was incredulous and could not believe his good fortune.|
Incredulously|in a way that shows disbelief or skepticism|All of the audience shook their heads incredulously as the unattractive contestant was crowned beauty queen.|
Incriminate|to suggest an individual has done something inappropriate or illegal|The man refused to talk because he did not want to incriminate himself in court.|
Incubate|to keep eggs safe and warm so they can grow and hatch|Like some other snakes, pythons incubate their eggs by coiling their bodies over them.|
Incubation|the process of warming eggs so that they will hatch|Farmers often take on the incubation process themselves since modern day hens are not always attentive to their eggs.|
Incubator|a specialized crib that is used to care for infants or eggs, in which the temperature and oxygen content of the air can be controlled|The eggs in the incubator must be kept at a temperature of 99.5 for proper growth and development.|
Incubus|a demon or evil spirit supposed to descend upon sleeping women in order to have sex with them|In the myth, the incubus surprised sleeping women with sexual advances.|
Inculcate|to frequently instill an idea or belief firmly in someone's mind|In order to inculcate a love of reading, the teacher encourages her students to read different types of literature.|
Inculpate|to incriminate or accuse someone of doing something|Evidence was used to inculpate the suspects and lead to their eventual conviction.|
Incumbent|the person or group that currently has the title or position|After twenty years in office, the incumbent politician is finally retiring from politics.|
Incur|acquire|It was impossible to incur any debt after a year of being unemployed.|
Incurable|not having the ability to be remedied or healed|When Sally found out she had an incurable and terminal disease, her family decided to help her do everything on her bucket list before she died.|
Incurious|uninterested; unconcerned|I was surprised that my parents were so incurious in this semesters grades since they usually pester me about my scores.|
Incurred|having gained something, usually something unpleasant, because of one’s own actions|Because I made too many long distance calls while out of the country, I incurred many different charges on my phone bill.|
Incurring|acquiring or causing yourself to come into|The company was careful with its firing practices because management feared incurring costly law suits.|
Incursion|an entry into an area that does not belong to the entrants|When the troops made an incursion across the border, they ruined any chance for peace between the two countries.|
Indebted|obligated or committed to paying someone back for something|The businessman makes his money by giving indebted people large loans to pay back their debts to others.|
Indecent|offensive; crude|The crazy old cook was charged with indecent exposure after pulling his pants down and peeing on a stop sign.|
Indecipherable|illegible; incomprehensible|Signing his indecipherable signature, the doctor’s name was barely legible.|
Indecision|unable to decide between choices|The politician’s indecision in policy ties caused him to lose the votes of both the Republicans and Democrats.|
Indecisive|hesitant; wavering|An indecisive shopper, the customer could not choose between the two dresses she liked.|
Indecorous|not proper; inappropriate|Everyone was shocked when Gail wore the indecorous outfit to the church party.|
Indication|sign; signal|There was no indication that a break-in had occurred other than the broken window at the back of the house.|
Indicative|serving as a sign, indication or suggestion of something|The child’s anger problems were likely indicative of a deeper issue.|
Indictment|accusation|There are some people who truly believe that the recent natural disasters are an indictment against Man’s lack of respect for the planet.|
Indifferent|not interested in or concerned about something|As political aides, we are going door-to-door in hopes of getting indifferent voters to come out to the polls.|
Indigence|a state of extreme poverty and lack|High medical costs are a significant cause of indigence for many of the elderly who are living in poverty.|
Indigene|an indigenous person that is a native of a certain place|While sitting around the campfire, the Australian indigene told his grandchildren the stories of his native ancestors.|
Indigenous|produced, living, or existing naturally | The class of students enjoyed learning about unusual animals that are indigenous and found naturally in the wild in North America.|
Indigent|extremely poor|The indigent man could not afford food or clothing.|
Indigestion|pain in the stomach area that is associated with digesting food|Chewing your food more before swallowing can help prevent the pain of indigestion during digestion.|
Indignant|angry because of an unfair situation or someone's unfair behavior|If I’m indignant, it’s because you threw that book at me!|
Indignity|a situation or event that makes an individual feel embarrassment|I felt as though I suffered a huge indignity when my ex husband brought his young girlfriend to my birthday party.|
Indigo|dark blue|Using the plant to dye her clothing indigo, the young woman admired her dark blue gown.|
Indirect|secondary, unintentional|Indirect exposure to cigarette smoke can still lead to lung cancer.|
Indiscernible|difficult or impossible to see, notice, or hear|Due to the foggy weather conditions, the camp pictures were so indiscernible.|
Indiscreet|having a penchant for revealing secrets or acting without subtlety|My indiscreet friend has a habit of blurting out pretty much everything, including all of the secrets she is not supposed to tell.|
Indiscrete|not divisible or able to be separated into distinct parts|The rock was indiscrete, breaking into small pieces when the lab tech tried to divide it.|
Indiscretion|lack of good judgment or foolish behavior|After spilling his wife’s secret, he was punished for his indiscretion.|
Indiscriminate|done without consideration|Becca regretted her indiscriminate choice in men when her boyfriend cleared out her bank account.|
Indispensable|vital; essential |Cara does so much work in the office that she is indispensable to the productive running of the business.|
Indisposed|not feeling well|Because Maggie is indisposed with a high fever, she will not be attending the banquet.|
Indisputable|not subject to doubt|It is an indisputable fact smoking cigarettes can increase the risk of lung cancer.|
Indissoluble|indestructible; not possible to dissolve, disintegrate or break-up|The bond between the sisters was indissoluble as they were rarely apart.|
Indistinguishable|difficult to tell apart|Fred was indistinguishable to his classmates since his twin brother was standing next to him.|
Individual|separate; single|Each individual egg was filled with candy and other treats for the children.|
Individualism|uniqueness, distinctiveness|The bride’s need for individualism led her to seek out a dress that was exotic.|
Individuality|the qualities that make a person or thing unique|Because he chose an original monologue, his individuality set him apart from the other actors during the audition.|
Indivisible|united; inseparable|Though some try to forget it, topic of slavery is indivisible from the story of our country’s history.|
Indoctrinate|to convince people to believe a certain idea or concept|The cult leader will indoctrinate his followers with his beliefs.|
Indoctrination|the process of teaching or brainwashing a person into believing something without question|A few men in the city resisted communist indoctrination efforts, but most were programmed to side with the government.|
Indolent|wanting to avoid activity or exertion; lazy|Jackson lost his job because he was an indolent employee who did nothing but sleep at his desk all day.|
Indomitable|not capable of being defeated|Even when my father was stricken with cancer, he remained an indomitable force who never stopped fighting to live a normal life.|
Indubitable|without doubt; undisputable|Since Woods has over ninety percent of the votes, it is an indubitable fact he is our new legislator.|
Induce|to bring about or lead by persuasion|Sharon read somewhere that one can induce childbirth by smoking a cigarette, but her doctor strongly urged her against attempting something so foolhardy.|
Inducement|something that persuades someone to do something|As an incentive for the workers, the company offered an inducement to encourage them to remain accident free.|
Induction|a formal ceremony in which a person is appointed to an office or into military service|The Girl Scout Induction Ceremony was taking place at the local meeting hall.|
Indulge|to give in to one’s desires or wants |If Al does not indulge in his coffee every morning, he finds it hard to concentrate at work.|
Indulgent|A person who gives others permission and gifts regardless of the consequences|My indulgent parents give me everything I want.|
Industrial|having highly developed factories, mechanical production, or consumer output|First world countries are almost always industrial, having complex factories capable of mass producing almost anything that they desire.|
Industrialization|the steps a nation takes to modernize itself while developing industries|While industrialization increased processing times, it also reduced the labor force and left many people without much-needed employment.|
Industrious|diligent; hardworking|The industrious young man finished his four-year degree in two years.|
Industry|hard work or effort|The kitchen was transformed into a place of industry as we had to work very hard to make enough food for all of our guests.|
Inebriated|behaving as though affected by alcohol; drunk|After leaving the restaurant, the police officer cornered the patron to see if he was inebriated.|
Inedible|unable to be eaten|Many people have become sick by eating the poisonous and inedible berries growing near the blueberries.|
Ineffable|incapable of being expressed in words|The model’s beauty is ineffable and has everyone tongue-tied.|
Ineffective|not performing as expected|The housekeeper returned the ineffective vacuum cleaner and purchased one that worked much better.|
