Ungrateful|not grateful; not expressing gratitude|The man left a single dollar to his ungrateful son in his will.|
Vehicle|a mechanical vessel used to transport someone or something|The little boy looked out the airport window at the vehicles lining the runway and gaped at the gargantuan metal wings on the airplanes.|
Veil|a head covering that may or may not cover the whole face that is often associated with religious or cultural customs|On her royal wedding day, Princess Diana wore a simple silk veil that perfectly complemented her elaborate gown.|
Vein|vessels beneath skin that transport blood|The phlebotomist tied a rubber band around her upper arm and scanned for a prominent vein to draw blood.|
Velleity|to weakly wish or desire something without taking action to achieve it|He had a velleity for a home cooked meal but he was too lazy to get off the couch and ordered take out instead.|
Velocity|the rate of action or motion|After the football played injured his knee, his velocity on the field decreased.|
Velvety|having a smooth or soft texture|She sunk into the velvety fur jacket and sighed at how the soft fabric caressed her skin.|
Venal|willing to do dishonest things in return for money; willing to take bribes|Because the mayor was a venal man, he had no problem accepting bribes from real estate developers.|
Vend|to offer small items especially food for sale from a machine or small cart|The kiosks are used to vend movies to people looking for an interesting flick to watch.|
Vendetta|a series of actions taken to get back at or harm someone|1. The candidate’s vendetta against his challenger led him to question the man’s character.|
Vendible|having the ability to be sold|Several sites like Pinterest offer many vendible craft ideas that retirees and craftspeople can do to make money for their crafts.|
Vendor|a person who sells something|The beer vendor set up his stand outside of the concert and offered a variety of craft beer for sale.|
Veneer|a pleasant appearance that hides the truth|While the actress showed the photographers her warm veneer, she was actually fuming inside.|
Venerable|worthy of respect because of age, position, or dignity|The Pope is a venerable leader who is recognized for his commitment to helping others.|
Venerate|to respect or worship someone or something|The Bible says we should venerate our parents and our elders.|
Veneration|great respect or awe for another|The parishioner’s veneration for her priest came off as not only respect but also blind devotion.|
Vengeance|revenge for a wrong|When Jim did not get the justice he thought he deserved in court, he got his own vengeance by shooting his attacker.|
Vengeful|someone who is consumed by or actively seeking revenge for a wrong doing|The Count of Monte Cristo follows a vengeful Edmond Dantes on his quest to destroy the lives of those who had him falsely imprisoned.|
Venial|capable of being excused|Because the principal felt the boys had committed a venial offense, he only gave them a light punishment.|
Venison|edible flesh of hunted game animal, typically deer|Skilled hunters shoot several deer a season and freeze the venison to eat all year long.|
Venom|a poisonous substance secreted by animals such as snakes, spiders, and scorpions and typically injected into prey or aggressors by biting or stinging|The scorpion stores venom in its tail and releases the powerful poison when it stings.|
Venomous|of animals, especially snakes, or their parts secreting venom; capable of injecting venom by means of a bite or sting|The park ranger warned the campers to watch out for venomous snakes.|
Vent|an opening that allows air, gas, or liquid to pass out of or into a confined space|A vent at the top of the chimney allows smoky air to escape and fresh air to enter the home.|
Ventilate|cause air to enter and circulate freely in (a room, building, etc.|Maria opened the windows to ventilate the dusty, old basement.|
Ventilation|the ability of a room/place to intake fresh air|Because mines are so deep within the Earth, they have poor natural ventilation and fresh air rarely reaches far enough to clear the dust.|
Ventilator|a machine that helps lungs function when the body is incapable|Brielle was rushed to the hospital and put on a ventilator to help her breathe after her lung collapsed during a car accident.|
Ventral|refers to the underside of a plant or animal; close to the abdomen|From the cruise ship, we spotted the ventral side of a large migrating whale.|
Ventriloquist|a person who can speak or utter sounds so that they seem to come from somewhere else, especially an entertainer who makes their voice appear to come from a dummy of a person or animal|The children laughed as the ventriloquist made the doll speak without moving his lips.|
Venturesome|having the tendency to willingly take risks or dangerous adventures|The venturesome couple climbed decided to climb Mount Everest for their honeymoon.|
Venue|the place where something happens, especially an organized event such as a concert, conference, or sports event|The bride was having trouble picking the perfect venue for the reception, but finally decided on a beautiful garden estate.|
Veracious|honest; always truthful|“Honest” Abraham Lincoln was known as a veracious president who stood for truth.|
Veracity|the quality of being truthful|Since the witness is a known enemy of the defendant, his testimony certainly needs to be evaluated for its veracity.|
Veranda|a covered area outside a house, usually a large porch|Old southern ladies sit in rocking chairs on the veranda outside their front door and drink sweet tea.|
Verbal|spoken aloud|Bree hated the verbal portion of her Spanish exam because while she knew how to write the words on paper, speaking the out loud was far more difficult.|
Verbatim|repeating the exact words that were used|Do you have to repeat everything I say verbatim?|
Verbiage|speech or writing that uses too many words or excessively technical expressions|In an attempt to confuse the jury, the attorney used a lot of legal verbiage.|
Verbose|described as using an excessive amount of words|The verbose man took thirty minutes to give me a simple answer.|
Verboten|forbidden, prohibited|Because of past arguments, political discusses are verboten at our dinner table.|
Verdancy|becoming green with plants and vegetation|The field’s verdancy showed through as mossy greens began to take over the pasture.|
Verdant|green with grass or other rich vegetation|After three years of drought conditions, the farmers welcomed the spring rains and hoped they would continue long enough to restore their crops to verdant abundance.|
Verdict|a decision made after much consideration|In accordance with the verdict of all five panelists, Sally was crowned the spelling bee champion.|
Verdure|a thriving condition|One week after a successful surgery, John was in verdure and eager to leave the hospital.|
Verge|at the edge of, border of, or between two distinct sites|She stood on the verge of the lake at the line where the water met the sand.|
Verifiable|able to be checked or demonstrated to be true, accurate, or justified|In order to write a proper research paper you must use facts to back up your argument or information that is easily verifiable.|
Verification|the process of confirming the truth or validity of a claim/document|The university waited for verification of the student’s SAT scores and final GPA before admitting her for fall semester.|
Verify|to prove or confirm something|The waitress asked to see my driver’s license so she could verify my age.|
Verily|truly; certainly|At over 7ft tall, the basketball player was verily one of the tallest people on record for the NBA.|
Verisimilar|seemingly truthful or likely|After talking to the witness, the police officer thought her story was verisimilar but would have to confirm it with hard evidence.|
Verisimilitude|the appearance or semblance of truth|When the man’s wife lied on the stand, she destroyed any chance the jury would believe she was capable of giving them even an ounce of verisimilitude.|
Veritable|used to highlight the realness of a person, place, or thing|As I watched my brother drink beer after beer, I realized he was a veritable sponge.|
Veritably|extremely or greatly as compared to something else|Lynette, veritably, is a much better driver than her crash dummy sister.|
Verity|the condition of being real or true|It was obvious from the jurors’ looks of disbelief they doubted the verity of the testimony given by the witness.|
Verklempt|overwhelmed by emotion|After her father’s death, the verklempt woman cried herself to self every night.|
Vermilion|bold reddish-orange color|Cardinals are a brilliant shade of vermilion.|
Vermin|individuals or animals that cause trouble for others|The vermin should be executed for raping and killing the old woman.|
Vernacular|everyday language; the way people really talk with each other|His vernacular identified him as a Frenchman.|
Vernal|fresh or youthful or immature attributes|The elderly woman had not been vernal for some time, but whenever her favorite song came on she felt as young and lively as when she was a teenager.|
Versatile|having the ability to do a number of things well|The SUV is a versatile vehicle that blends in easily on the city streets and can also handle the wilderness of the mountain trails.|
Verse|a line of writing often found in poems, lyrics, and religious texts|Song lyrics are a combination of unique verse, chorus, and bridge.|
Versed|experienced or skilled in something|Asia isn’t versed in the art of sewing, but her Aunt Lucille can hem anything she needs to be taken in.|
Version|an alternative to the original. usually used to make a comparison|She preferred the movie version of Les Miserables to the novel because it was much shorter.|
Version|a specific form of something that is slightly different from earlier styles|The newest version of the iPhone has different features than the previous style.|
Versus|in opposition to something|It seems as though every political election in the United States comes down to Democrats versus Republicans.|
Vertebrate|an animal of any species that has a backbone or spinal column|Because it is a vertebrate, the fish a backbone that must be removed before being eaten.|
Vertex|the tapering point where two lines meet|Wayne had the odd habit of eating his pizza from the vertex to the crust.|
Vertical|ascending upwards and downwards in a straight line|Disney’s Tower of Terror is a vertical drop from 199 ft. in the air, straight to the ground.|
Vertiginous|suffering from dizziness|After she hit her head, Molly became increasingly vertiginous, lightheaded, and lost her balance.|
Vertigo|the feeling of spinning and being lopsided, often as a result of an inner ear problem|Because Kate suffers from vertigo, it is difficult for her to walk in a straight line.|
Verve|a combination of passion and energy that is typically found in artistic expression|Johnny Depp is known for eccentric performances that burst with verve and energy.|
Very|extremely; to a great extent|Because the restaurant is very busy tonight, there is at least an hour wait on a table.|
Vesicle|a fluid-filled pouch typically beneath the outer membrane; most common forms are blisters and cysts|When Janice found a liquid-filled lump beneath her skin, she immediately drove to the emergency room and waited for the doctor to identify the vesicle.|
Vespertine|taking place or happening at night|During the vespertine hours, the moon shown brightly and coyotes began to howl.|
Vessel|a large ship that typically houses some sort of cargo|Columbus sailed on the Santa Maria, which was a vessel of the Spanish court.|
Vest|a sleeveless garment worn on the upper part of the body for a particular purpose or activity|While working at night, the road crew member wore a reflective vest around his chest so drivers could see him.|
Vestal|chaste, pure, virginal|In many religions, it is of utmost importance to remain godly, vestal, and chaste before marriage.|
Vested|rights, benefits, or privileges that are typically inherent or legally guaranteed|During serfdom, all power was vested in the noble class and those of lower lineage lacked rights, benefits, and functioned as menial laborers.|
Vestibule|a hallway or room that leads into a larger main room|The tourists walked through the vestibule into the main exhibit room and were astounded by the beauty of Degas’ ballerinas.|
Vestige|the last small part of something that existed before|The shameless killer did not show a vestige of emotion when the judge sentenced him to death.|
Vestigial|an organ or limb that is no longer in use due to evolution but may be used for other unintended purposes|Penguins, unlike other birds, have vestigial wings that are too heavy for flight but are perfect for swimming.|
Vestment|a religious marking, clothing, etc., that is typically worn for symbolic purposes|Shia Muslims wear a black vestment to symbolize the sufferings of a major martyr of Islam.|
Vestry|a room in a religious building used for meetings, gatherings, classes, etc|Before delivering his sermon, the preacher gathered all of his materials from the vestry off of the main room.|
Vesture|a robe or garment used as clothing|After putting on his special vesture, the priest straightened the robed and prepared to walk into the temple.|
Vet|to assess for specific qualities (positive or negative) before making a final decision|The FBI makes it a habit to vet potential employees for any criminal history or psychological issues before hiring.|
Veteran|one who has a lot of experience in a particular field or position|The military veteran has served in the U.S. Army for more than twenty years.|
Veterinarian|a licensed doctor that examines and prescribes medications for animals|When Jenna’s dog became lethargic and sickly, she took him to the veterinarian to find out what was wrong.|
Vex|to bring trouble, distress, or agitation to|I get irritated when people go out of their way to vex me with their small problems.|
Vexation|the condition of being agitated|In vexation, I watched the neighbor’s dog poop in my yard.|
Vexatious|annoying; irritating|The man was a vexatious litigant who brought lawsuits before the court only to irritate the judge.|
Vexed|irritated|I was vexed when the doctor arrived for my appointment over an hour late.|
Via|by way of; through|The couple decided to send out their wedding invitations via Facebook since this is a free way to let families know about the event.|
Viable|having the possibility of being achieved or developed|If the project is not viable, there is no reason for us to consider it.|
Viaduct|a bridge or overpass that carries a road or railroad track over something (i.e. a canyon, valley.)|As the viaduct started to collapse, stranded drivers on the bridge began to panic.|
Vial|a small, glass container that holds liquid (usually medicine.)|A vial of blood was sent to the lab so that the doctor could have more information on the man’s illness.|
Viand|a tasty piece of food or dish|Caviar is a pricey viand that is served at fancy restaurants.|
Viaticum|holy communion as administered by a Catholic priest to a person dying or in danger of death|While on his deathbed, the man’s only wish was to have Viaticum given by a priest experienced in giving Holy Communion.|
Vibrant|bright and strong; energetic|Although she liked her own room’s décor, the pre-teen was jealous of her younger sister’s vibrant paint colors.|
Vibration|shaking; back and forth movement|The vibration of the earthquake shook the city for several minutes.|
Vicar|a priest of the Church of England who oversees a particular church and the area that surrounds it|All the churches in the area are group together and overseen by one appointed vicar.|
Vicarious|experienced or felt by watching, hearing about, or reading about someone else rather than by doing something yourself|As my daughter was crowned the winner of the beauty pageant, I felt vicarious excitement coursing through my veins.|
Vicennial|happening every twenty years|It seems like flooding in the area is vicennial since the land is devastated by water ever twenty years.|
Viceroy|one who governs a country, province, or colony as the representative of a monarch|The viceroy traveled to America to oversee one of the thirteen colonies.|
Vicinity|nearby area|As parents we were upset when we learned ten sex offenders lived within the vicinity of our subdivision.|
Vicious|violent, destructive and cruel|Mark is a vicious person who will spends years plotting how to take revenge on people that hurt him in any way.|
Viciously|done in a cruel or violent way|Attacking the girl viciously, the ruthless dog would not let go of her skin.|
Vicissitude|a change of circumstances or fortune, typically one that is unwelcome or unpleasant.|The parental vicissitude I currently have is trying to pay child support for six children.|
Vicissitudes|changes (usually negative) in circumstances or fortune|The vicissitudes of life led the once positive man to become cynical and negative.|
Victim|a person who suffers because of the actions of someone else or an event that was out of their control|Only one victim was willing to come forward and testify against her attacker.|
Victim|someone who has suffered at the hands of someone else|The murder victim was in the wrong place at the wrong time and died in a senseless crime.|
Victimized|treated cruelly or unfairly|Because he was victimized by bullies on the bus, the scared boy did not want to go to school in the morning.|
Victorious|conquering and triumphant; having won a victory|Because they were victorious against their enemies, the villagers were able to keep their land.|
Victory|a win or success|A victory over the Eagles means that we will go to the playoffs next week.|
Victuals|food|The dog eats up the victuals in his bowl and also begs for our food at dinnertime.|
Vide|a word used to tell a reader to see or consult a different part of the text|Vide the original owner’s manual for more information on you radio.|
Videlicet|namely; to be specific|There are several colors in my comforter, blue and red, videlicet.|
Video|to record or capture something on film|The mother used a camcorder to video her child singing on stage.|
Vie|to take part in a contest or competition|In the championship game, the two teams will vie for the national title.|
View|to look at something|We decided to view several pieces of art before buying a painting.|
Viewpoint|someone’s perspective or position on something|When the speaker delivered his viewpoint on the topic, it became apparent from his words that he favored freedom of religion.|
Vigil|period of keeping awake during normal sleeping hours, especially to keep watch or pray|Part of his nightly vigil was kneeling down at the foot of his bed in prayer.|
Vigilance|the state of keeping a careful watch for danger|Lack of vigilance caused the Titanic to crash into an iceberg that no one saw coming.|
Vigilant|watchful, especially for danger or disorder|Although this highway is a beautiful drive, you have to stay vigilant for deer and other animals in the road.|
Vigilante|a person who is not a member of law enforcement but who pursues and punishes criminals|Although he didn’t set out to be a vigilante, Peter Parker became famous for finding bad guys and making them pay.|
Vigilantly|done with great care and watchfulness|The officers watched the building vigilantly in hopes that extra patrol would help them catch the bandits.|
Vigor|physical or mental strength/force|The spirited bodybuilder attacked his workouts with energetic vigor.|
Vigorous|active and strong in a physical sense|Chopping firewood is a vigorous task.|
Vigorously|done with a great deal of physical or mental force or effort|The attorney vigorously fought for his client’s freedom, with his forcefulness leading to a plea deal.|
Vile|of low morals; despicable|The vile banker seemed to take great pleasure in foreclosing on the homes of elderly people.|
Vilely|in an evil or wicked way|Facebook is a place where hateful people can vilely vent their opinions and not be punished for it.|
Vilified|to have slandered or spoken negatively about someone in a way that brings them down|The politician insisted that the news reports were untrue and were only lies that vilified him.|
Vilify|to utter slanderous and abusive statements against|Halle’s husband tried to vilify her during their child custody battle.|
Vilipend|to belittle someone or something through bad-mouthing or degrading statements|The bitter husband loves to vilipend his wife in public, bad-mouthing her any chance he gets.|
Village|a small town or settlement|Our small village has a market but no post office or gas station.|
Villain|an evil character in a story|The crazed villain in the fairy tale discreetly followed the young children down the dark path in the woods in order to steal the food from their basket.|
Villain|a character in a story that fights against the hero and does evil things|Captain Hook was a nasty villain who tried to kidnap Tinkerbell and kill Peter Pan.|
Villainous|having evil or mean tendencies or actions|After reading the first chapter, the villainous witch in the story was going to cause havoc for the protagonist.|
Villainy|evil behavior or actions|Cruella de Ville’s puppy crimes led her to being thrown in jail for her villainy.|
Vim|energy; enthusiasm|The lively singer’s vim came off as a little too enthusiastic.|
Vincible|able to be overcome or defeated|Although we thought they were vinicble, it turned out that the tribe could not be defeated.|
Vindicate|to clear from an accusation, suspicion or criticism|Although the new evidence seems to vindicate the defendant of the breaking and entering charges, there is still the matter of the assault.|
Vindication|to prove that someone is not guilty of wrongdoing|The man felt personal vindication after police admitted he was not a suspect.|
Vindictive|having or showing a desire to hurt someone who has hurt or caused problems for you|My aunt is a vindictive woman who once burned all my uncle’s clothes.|
Vindictiveness|a strong desire for revenge or payback|The therapist urged her client to resist vindictiveness and move past the need to seek revenge.|
Vine|a plant that gets its support by growing in a climbing or twisting way around a surface|The trendils of the woody vine smothered the other plant as they curled around the stems.|
Vinous|wine-colored|The vinous cake was made red through the adding of wine.|
Vintage|antique; old-fashioned|The vintage dress had been stored in the small trunk since the early 1930s.|
Vintner|someone who makes and sells wine|As luck would have it, the vintner was able to grow his own grapes in his vineyard to make his alcoholic beverage.|
Violate|to break or fail to comply with a rule or formal agreement|The driver continued to violate the speed limits as he raced his car down the city streets.|
Violation|in breach of a rule, law, or agreement|Kevin sold cocaine, in violation of Mexican law.|
Violence|the use of physical force to harm someone|The violence continued as more and more protestors were beaten by police in the streets.|
Violent|involving the use of physical force to harm someone|Because she had been abused for many years, the wife didn’t seem to think anything was wrong with her husband’s violent outbursts.|
Violent|using or involving the use of physical force to cause harm or damage to someone or something|The violent video game was banned for showing very graphic killing scenes.|
Virago|bad-tempered woman|“I refuse to go your mother’s house,” Karen said angrily to her husband, “because that virago is always yelling at the kids and demanding we do everything she says.”|
Viral|something (a video, image, an advertisement) that is circulating rapidly on the internet|The image of the cat doing the Macarena went viral, gaining ten thousand likes in just one day.|
Virile|having or relating to manly traits|Because James considered himself such a virile person, he despised anyone who was weak including his son.|
Virile|having the characteristics of a man; masculine|The woman’s virile singing voice made her sound like a manly baritone.|
Virility|being manly or masculine, especially in strength|Because of her virility, the girl was referred to as a “tomboy” by most of her friends.|
Virtual|something that is a digitally replicated version of something real|Virtual paintings look very similar to the original pieces but can easily be distinguished by the trained eye.|
Virtual|carried out or accessed over a computer|Since I live so far from the company I want to work for, they agreed to do a virtual interview over the computer.|
Virtually|nearly; almost|Virtually no one went to the party other than a few freshmen who didn’t have anything else to do.|
Virtue|a moral and praiseworthy trait|Since Jason is such a mean man, I doubt if he has a single virtue.|
Virtues|qualities or merits that make up one’s personality|The company was founded on several virtues including honesty and the importance of embracing people from all walks of life.|
Virtuosity|great skill in music or another artform|Full of ambition and virtuosity, the young jazz musician plays as much as possible to increase her skills.|
Virtuoso|a person (esp. a musician) who does something in a very skillful way|We sat in amazement as the young prodigy delivered a piano performance that revealed his unstoppable future as a virtuoso.|
Virtuous|having strong moral fiber|Margaret was a virtuous woman who dedicated her life to helping others.|
Virulence|the ability of a microorganism or bacteria to produce disease|The virulence of the microbes seemed to increase with time, producing more disease with time.|
Virulent|extremely dangerous and deadly and usually spreading very quickly|Local law authorities investigated Mitchell after he was suspected of stealing a virulent disease that could kill millions of people.|
Virus|tiny organisms that cause disease and must have a cell host to multiply|The virus is said to spread with time, causing the infected person to become sicker as the years go on.|
Visa|an official mark or stamp on a passport that allows someone to enter or leave a country for a specific reason or amount of time|The Nigerian’s visa was approved, allowing him to visit his family in America over the Christmas holiday.|
Visage|the facial appearance of an individual or animal|The model’s visage earned her many cover photos.|
Viscera|internal organs, specifically the body’s intestines|The viscera are where the body makes its last attempt to gain any nutrients from food before pushing the remainder out of the body.|
Visceral|based on emotional reactions rather than on reason or thought|His visceral reaction of punching the wall left him with a broken hand on top of his broken heart.|
Viscid|sticky; gooey|Creating a viscid cake with caramel, the chef enjoyed making the ooey-gooey treat.|
Viscosity|the thickness of a liquid or its resistance to movement|The syrup flows slowly from the bottle because of its viscosity.|
Viscount|a lower-middle ranking english nobleman|The viscount was appointed by the king to help the count run his portion of the English countryside.|
Visibility|the ability to see or be seen|Because of visibility issues, the teen needs glasses before he can start to drive.|
Visible|able to be seen|The sun was barely visible because of the large clouds in the sky.|
Visibly|clearly; noticeably|Although her husband’s weight gain was visibly clear, the wife pretended not to notice.|
Vision|the ability to see|Glasses help my vision improve and allow me to see far away.|
Visit|to go to see a person or place|We plan to visit as many Disney parks as possible on our vacation.|
Visitant|a visitor from the spirit world|Although the visitant remained unseen, we could hear the ghost floating around in the attic.|
Visitation|a set period of time in which people get to see and spend time with each other|Family visitation for inmates lasts from two to four.|
Visitor|a person who goes to see a person or place|Each visitor needs their own ticket to enter into the building.|
Visits|goes to see a person or place|Each time my father visits, he complains about my messy house.|
Vista|a distant view or scene|The vacationers could see their favorite bay vista from the top of the tower.|
Visual|relating to eyesight|I learn best when information is put in visual images that I can see.|
Visualize|to form a mental image of someone or something; imagine|My art teacher told us, “Visualize the mountain and stream and then draw it.”|
Vital|essential for something|Peanut butter is a vital ingredient in the recipe for peanut butter cookies.|
Vitality|energy; strength|The doctor was proud to see his patient was full of vitality.|
Vitamin|a natural substance that is needed for normal growth|Because I am lacking the vitamin B-12, my body tends to be tired all the time.|
Vitiate|to spoil, make faulty; to reduce the value, quality, or effectiveness of something|When peers and bullies apply pressure, it can vitiate the moral character of young people and lead them down the wrong path.|
Vitiated|having ruined something or made it faulty|The company’s morals were vitiated by a greedy CEO who pushed workers to commit fraud.|
Vitriol|mean-spirited and venomous criticism or talk|During the town-meeting, angry citizens met the mayor spewing vitriol.|
Vitriolic|harsh or corrosive in tone|What was supposed to be a civil debate turned into a debate reaching vitriolic levels, ending with both participants screaming obscenities.|
Vituperate|to insult or verbally attack someone using abusive language|We are sure that the nail technicians vituperate us in their own language when they are irritated.|
Vituperative|abusive and harsh|We cannot be friends if you continue to attack me with vituperative words.|
Vivacious|to be bubbly and energetic|When the vivacious child came through the school’s door on her first day of kindergarten, she spoke with every student and volunteered to do every activity.|
Vivaciously|done is a lively or spirited way|Dancing vivaciously across the stage, the energetic dancer attracted the attention of all of the crowd.|
Vivaciousness|liveliness; energy|Known for her vivaciousness, Andi is considered the life of the party in her hometown.|
Vivacity|the state of being attractive because of one’s enthusiasm and liveliness|Elicia’s vivacity helps her gain customers at work since being attractive and lively are need traits for a bartender.|
Vivify|to arouse, stimulate or invigorate|Exercise and eating healthy can really vivify someone into doing more activities in their day due to their increase in energy.|
Viviparous|describes animals that produce live babies instead of reproducing through eggs|Although a shark is a fish, it is viviparous and gives birth to live baby sharks.|
Vivisection|purposely wounding or slitting open an animal in order to examine it for medical purposes|When the photos of the vivisection were posted online, many people were upset at the brutal nature of killing the animals until they found it was done for scientific reasons.|
Vocal|speaking loudly and freely about something|The woman was very vocal about racial issues and wouldn’t backdown when questioned by the media.|
Vociferate|to shout, argue, or otherwise speak loudly or aggressively|The man decided to vociferate with his wife because the two of them were having an argument and only shouting could apparently get his point across.|
Vociferous|making a loud outcry|The protestors were vociferous as they screamed outside of the government building.|
Vogue|a trend or largely admired fad|When the most popular girl in school wore her hair differently, a new vogue took place the next day when everyone was wear that same hairstyle.|
Voice|the sound produced in a person’s larynx that passes out of the throat/mouth|After yelling at the children all day, the mother had lost her voice.|
Volant|to spread wings outward as if to fly|The prince knew he was in trouble when the volant dragon became twice his size and then fluttered about.|
Volar|relating to the sole of the foot or palm of the hand|The volar surface of the man’s palms was made rough by constant working with his hands over the years.|
Volatile|tending to erupt in violence; easily aroused|Because Mary and Frank have a volatile relationship, they often argue.|
Volcano|a mountainlike opening in the earth’s crust through which molten lava, rocks, and gas spews out|The active volcano in Hawaii continues to gush gaseous lava and ash through It’s funnel-like top.|
Volitant|flying or moving about rapidly|During the Jurassic period, volitant creatures flew rapidly around the earth.|
Volition|the power to make your own decisions or choices|Despite my parents' preference, I have decided to attend an out-of-state college on my own volition.|
Volley|a strike or kick of the ball made before it touches the ground during a sporting event or game|The volleyball player attempted to volley the ball past the net, but the other team blocked the strike.|
Voluble|characterized by ready or rapid speech; fluent|After my grandfather drinks a few beers, he becomes voluble and will not stop talking.|
Volume|the power of sound; how loud something is|Because headphones play music directly into your ears, you should lower the volume of the music to avoid damaging your ear drums and your hearing.|
Voluminous|spacious; roomy|The hospital is adding a more voluminous waiting room on to his building in order to hold more patients.|
Voluntary|done or given without being forced to do so|The generous donor gives voluntary donations to the charity without anyone have to ask him for money.|
