Galore|in a huge amount|Because there is food galore at the party, I know I will not go hungry.|
Guidance|help and advice on how to deal with a problem or difficulty|When I cannot make a decision, I usually ask my parents for guidance.|
Guide|to show people around a place and offer information|During a recent College campus tour, the guide led the prospective college students around the institution learning about the programs offered.|
Guideline|official advise or instructions that suggests how something should be done|A new guideline has been issued to all staff and teachers on what to do if an unknown person enters the school.|
Guild|an alliance of individuals with similar goals and interests|In order to be a member of the Pharmacist Guild, you must be a nationally licensed pharmacist.|
Guile|sly or cunning intelligence|Although Britney pretends to be sweet and innocent, she has used her guile to become one of the most popular celebrities in the world.|
Guileless|naïve; trusting|The guileless nerd really believed the prom queen had a crush on him.|
Guillotine|a machine with a sliding, metal blade that was used to behead people|Beheaded by a sharp guillotine, Marie Antionette was formerly the queen of France.|
Guilt-trip|an occurrence of believing your guilty of something not justified by reality|I wish my parents would stop laying a guilt-trip on me for not going to college.|
Guilt|the fact/state of having committed a crime or done something wrong|The suspect will not admit guilt, but the police have lots of evidence that he committed the crime.|
Guilty|responsible for wrongdoing|Because he was guilty of the crime, Charles was sent to the slammer for several years.|
Guise|the way that someone or something appears to people|Under the guise of a police officer, the crook walked into the bank and easily robbed the tellers.|
Gulf|any wide diversity, as between individuals in social status, opinion or theory|There is a widening gulf between the rich and the poor in our society.|
Gullet|throat; esophagus|A piece of food stuck in the man’s gullet caused him to chokingly gasp for air.|
Gullible|easily fooled or cheated|The gullible woman gave all her money to a fake charity.|
Gully|a deep long channel worn in the earth cut by running water usually after heavy rainfall|The bodies of the three climbers were located at the bottom of a steep gully after the area recently experienced a flash flood.|
Gumption|ability and courage to get things done|Building up the gumption to jump, the dare devil made his way to the edge of the cliff.|
Guru|an individual who is considered to be an unrivaled specialist on a subject|You should listen to financial guru Steven Smith because he is worth half a billion dollars.|
Gush|to speak with extreme enthusiasm and often praise|The exuberant mother loves to gush about her two children, praising them for literally everything and believing them to be incapable of wrong in any way.|
Gust|a brief yet strong wind|I lost the flyer I had been holding when a gust of wind blew it out of my hand and into the street of the city.|
Gustatory|relating to taste|The dinner was a gustatory pleasure for the palate.|
Gusto|passion or excitement|Jim loves playing football and attacks every game with gusto.|
Gusty|lots of wind|The National Kite Flying Association for Girls recommends gusty winds of 20 miles per hour to fly a kite.|
Gutter|a long narrow trough attached to a roof’s edge in order to allow the rain to flow away from the house|Without having a gutter on the front of our house, the rainwater poured straight down the side of our house and puddled next to it.|
Guttural|sounding harsh and throaty|The witness described the suspect’s voice as guttural.|
Gymnasium|a large area of a school or facility devoted to physical activities|On the tour of Parksdale Elementary School, the new students passed by the gymnasium and saw kids playing basketball and jumping rope.|
Gynarchy|a government ruled by a woman or women|Some feminists insist that a government ruled completely by women would be more successful than those led by men.|
Gyrate|to move in a spiral or circular motion|If you want the exotic dancer to gyrate especially for you, you’ll have to pay for a private dance.|
Gyration|circular rotation|The gyration of the washing machine distracted the woman as she worked.|
Gyre|to whirl or spin|The ghost began to gyre around in a circle before floating out of the room.|
Gyroscope|a wheel or disk used for navigation that is mounted so it can spin rapidly in various directions|The spinning gyroscope helped the sailors determine which direction to sail.|
Habit|a behavior that a person repeats often|Washing your hands after using the restroom is a healthy habit.|
Habitable|safe and comfortable to live in|The mounds of debris and trash in the rental home meant it would be months before it was habitable.|
Habitat|the residence where an animal or plant normally abides|The deer’s habitat is being destroyed by commercial builders who cut down forests.|
Habitation|the state of living in somewhere|If the wildfires continue, the area will not be safe for habitation.|
Habitual|ongoing; regular |Being a habitual liar, the fibber seemed to lie more than he told the truth.|
Habituate|to help a person or animal get accustomed to a new environment|Whether or not they were able to habituate the injured bear depended on the patience of the zoo caregivers.|
Hacienda|a large, Spanish estate|A wildfire burned down the hacienda and caused the owners to seek shelter with friends.|
Hackneyed|repeated too often; overused|Too often used by young girls, the word “like” has become hackneyed.|
Haggard|appearing in poor health or spirits|The woman looked haggard after sitting up for a week with her dying husband.|
Haggle|to engage in conversation to reach a deal|To get a good bargain, Jake will haggle with the flea market vendors.|
Hagiography|a type of biography that is about the life of a saint|The author’s most famous work was a hagiography about Mother Teresa.|
Hail|solid clumps of rain that fall as ice|Golf ball sized hail cracked the man’s windshield when it fell from the sky.|
Hajj|islamic pilgrimage to Mecca|The faithful Muslims embarked on their spiritual hajj to Mecca.|
Halcyon|calm and undisturbed|I was very content during the halcyon days of my childhood.|
Hale|a person especially an elder who is healthy; robust|At our last family reunion, it was good to see my great Aunt Sarah still hale and hearty.|
Half-baked|not completely thought out or planned|Theo’s business idea was half-baked and never got off of the ground due to poor planning.|
Half|one of two equal parts that together constitutes a whole|During the lecture, half the students took notes.|
Halfway|middle; midway|Halfway through the game, the pitcher hurt his hand and had to sit out the rest of the innings.|
Halitosis|bad breath|Halitosis caused the man’s breath to smell like a combination of rotten egg and vomit.|
Hallmark|characteristic; feature|Dolly Parton’s bleach blonde hair is a hallmark.|
Hallow|to brand something as sacred or holy|John showed he did not hallow his marriage as a sacred commitment when he engaged in an affair with his neighbor.|
Hallowed|regarded as holy, venerated, sacred|We stood near the hallowed ground where the soldiers had fallen, not daring to step too close.|
Halloween|a holiday celebrated on October 31st each year in which children dress up in costumes spooky costumes and walk door to door asking for treats|Halloween night was filled with trickery, with neighborhood children dressing up like ghosts and goblins.|
Hallucination|an image, a sound, or a smell) that seems real but does not really exist|An allergic reaction to medication brought on a hallucination in which the patient thought she saw a dog in her hospital room.|
Halt|to stop|A lack of funding stopped the nonprofit to immediately halt all services that is had been providing.|
Haltingly|in a way that is hesitant; wavering|The first time lecturer spoke haltingly and stopped every few minutes to make sure her listeners understood.|
Halves|two equal portions of an item that has been split apart|Using his sword, the samurai split his enemy’s body into two halves.|
Halyard|a rope used for raising and lowering a sail or flag|The ship’s sail is hoisted by a halyard attached to a ring at the sail’s head.|
Hamartia|a fatal flaw that leads to the demise of a hero or protagonist|Most tragic heroes have some sort of personal weakness, or a hamartia, that leads to their downfall in the story.|
Hamlet|a small rural settlement without a church|The hamlet was situated on the outskirts of a larger village.|
Hammer|to drive something by force|The camp director tried unsuccessfully to hammer the tent stakes into the frozen ground.|
Hammock|a swinging bed, usually made of netting or canvas that is hung up by each end, often from trees|Swaying on her back in the hammock, the resting woman took an afternoon siesta.|
Hammy|overly dramatic and theatrical|The actress’s hammy performance wasn’t terrible, but it was a tad bit over-the-top.|
Hamper|to delay progress|This awful traffic is definitely going to hamper our trip to the beach.|
Handdog|shamefaced; ashamed|With a handdog face, the boy hung his head low and admitted that he had stolen the money from his father’s wallet.|
Handful|a small amount|A handful of parents showed up to the midday meeting while the rest chose to come at night.|
Handicraft|an activity or craft that requires with the hands|Shoemaking was once a handicraft, respected in the days when shoemakers formed boots by hand.|
Handily|done in a skillful or practical way|The runner handily tossed the baton to his teammate who took off toward the finish line.|
Handiwork|work that is done skillfully with one’s hands|The completed masterpiece was the handiwork of a world-class painter who loved to work with watercolors.|
Handkerchief|a square piece of material carried in one’s pocket to be used to wipe their nose or face|The widow cried many tears into her soft handkerchief at her husband’s funeral.|
Handle|to control or manage|Fifty students on a field trip is too many for even a seasoned teacher to handle.|
Hands-on|experience earned from activity that uses the body instead of just book learning|The teacher allows the children to take part in hands-on science experiments in which they get to dig around in the dirt.|
Handsome|attractive with masculine features|The handsome prince attracted fair maidens from every nearby kingdom.|
Handsomely|generously; substantially|After calling a tip in to the crime hotline, the informant was rewarded handsomely for his information.|
Handy|useful; practical|The woman’s husband was not a good cook, but was handy around the house when things needed to be fixed.|
Hanger|a shaped piece of metal, wood, or plastic that is used to suspend things like clothing|The woman went into a rage when a wire hanger was used to hang up a dress in the closet.|
Hangover|a severe headache caused by drinking too much alcohol|Some drinkers never get a hangover while others heads hurt after one drink.|
Hanker|to yearn or pine to do something|After years of an unhappy marriage, the man begin to hanker to have an affair.|
Hankering|to have an endless craving for or to do something|I hope my husband has a hankering for fried chicken since that’s what we’re having for dinner.|
Haphazard|random, chaotic, incomplete|Compared to her mother’s organized system, Jen’s approach to housekeeping was haphazard, at best.|
Hapless|having no luck; unfortunate|When Jason lost his wife and job on the same day, he knew he was a hapless soul.|
Haploid|having a single set of unpaired chromosomes|Haploid drones have 16 chromosomes and not 32 like the diploid queen.|
Happen|to occur|The king wanted to take on a second wife, but the queen would never allow that to happen.|
Happen|take place; occur|Accidents happen during potty training, so make sure to keep extra clothes on hand.|
Happenstance|a chance situation or coincidence|The coffeeshop conversation was happenstance, a coincidental meeting that lead to a whirlwind romance.|
Happier|having more joy|Money might not buy happiness, but I would be much happier driving a Porsche than a Pinto.|
Happily|in a happy way|The playful dog barked happily when her owner returned from work.|
Happiness|pleasure; joy|Happiness exuded from the new bride’s face as she enjoyed her wedding day festivities.|
Happy|feeling or showing pleasure, joy, or contentment|At their beautiful wedding, the happy couple smiled from ear to ear.|
Haptic|related to the sense of touch|Being haptic, the robot was able to sense if an object came close enough to touch.|
Harangue|a loud and aggressive speech; verbal attack|Even though the members of the church were falling asleep, the minister continued his harangue on the evils of society.|
Harass|to constantly bother or attack|As a teacher, Ann spends a small part of her day making sure her students do not bully or harass each other.|
Harassment|behavior that is repeated and annoying or bothersome|Sheila accused her boss of harassment after he continued to ask her out on dates.|
Harbinger|one that pioneers in or initiates a major change|Everyone knows the groundhog is the harbinger of a change in seasons.|
Harbor|an area where an individual can find solace and security|During the tornado, we found safety in a harbor without windows.|
Hard|difficult|The hard math equation stumped not only the calculus student but also the professor.|
Hardcore|extremely dedicated and committed|The runner’s hardcore dedication to winning the race made him a shoe-in for the Olympics.|
Harden|to become firm|The chocolate chip cookies are still soft when coming out of the oven but hardened after sitting for a while.|
Hardihood|bravery; confidence to take action|The volunteer firefighter’s hardihood shined through as he burst into the burning home and saved the trapped residents.|
Hardly|barely|The hermit hardly leaves his home anymore, preferring to stay inside his quaint quarters.|
Hardness|firmness; solidity|The harness of the frozen ground stopped the underground burial from taking place.|
Hardship|adversity; difficulty|A hardship loan was approved so that the worker could draw money out of his retirement when his car broke down.|
Hardware|tools or machine parts|A coupon for the local hardware store advertised buy one, get one free on all hammers.|
Hardworking|diligent; industrious|Every hardworking employee is rewarded with a bonus at the end of the quarter.|
Hardy|tough; resilient|Trees in the woodland are hardy, withstanding cold winters and severe weather in the spring.|
Hare|a rabbit like mammal that is furry with long ears|Unlike its cousin the rabbit, the hare moves with a leaping motion instead of a hop.|
Hark|to listen attentively|All of the children stopped to hark the Christmas carolers singing outside the window.|
Harlequin|a jester, usually dressing in white and black, that behaves in a silly way and makes people laugh|The harlequin entertained the king’s table with his silent but interesting magical and comedy acts.|
Harlot|a prostitute|The seductive harlot pretended to sell wares in the market, but everyone knew she sold much more than rugs.|
Harm|to hurt or injure|I try not to harm animals, but was forced to kill the spider crawling in my bed.|
Harmful|likely to injure or cause harm|Harmful chemicals succeeded in killing the pests but they also contaminated our water system.|
Harmless|something that is safe and unlikely to cause harm or hurt|Everyone was shocked that the harmless old man was actually a jujitsu master.|
Harmonious|being in harmony or agreement|Although the church members usually disagreed about charity work, they were harmonious about feeding the homeless.|
Harmonize|to sing or play musical notes that flow together in a pleasing way|The vocalists began to harmonize their beautiful voices and wowed the crowd with their agreement.|
Harness|straps or fittings used to hold something in place|The tightrope walker was fitted with a harness to stop him from plummeting to his death if he slipped.|
Harp|to constantly focus on one thing or issue|My mother continues to nag and harp on my lack of interest in college.|
Harried|excessively busy|We had to remind our harried waitress to bring our check.|
Harrow|a farming device with sharp metal blades that is dragged across land to smooth or break up the soil|Once the harrow broke up the clods of dirt on the farm, the farmer was able to plant the seeds.|
Harry|to harass; annoy or torment|The supervisor believes to harry the employees during year end physical inventory will get the job done quickly.|
Harsh|cruel and hostile|The harsh man screamed at the players over the microphone.|
Harshly|in a way that is cruel or rough|Tribes that are still practicing female genital mutilation have been harshly criticized by women’s rights organizations worldwide.|
Harvest|crops that are gathered|Without machinery to gather the harvest, workers were forced to collect the crops by hand.|
Has-been|a person declining in popularity or effectiveness; once admired|Now a has-been model, she once had a promising career and was sought by top model agencies.|
Hasidic|relating to a conservative form of Judaism that began in 18th century Europe|Hasidic boys of the Jewish faith visited the synagogue to worship and pray.|
Haste|quickness|The law enforcement officers knew they needed to move in haste if they wanted to capture the escaped criminals.|
Hasten|to move in a quick fashion|Marilyn made an attempt to hasten the death of her elderly husband by putting arsenic in his food.|
Hastily|moving or acting with speed or urgency|With a dangerous hurricane approaching, he hastily gathered his things and fled his home.|
Hasty|speedy; hurried|The professor’s hasty speech confused the students as they had no clue what he had said.|
Hatch|a small opening in a wall, roof, or floor|Ship workers opened the hatch and climbed down into the cargo hold area.|
Hatchling|an infant animal that has recently hatched from an egg|The baby snake has just hatched from its egg, but unfortunately its mother has no intention of caring for the hatchling.|
Hateful|filled with hatred; unpleasantness|The hateful server scowled every time we asked her to refill our drinks.|
Hatred|an extreme feeling of dislike|The night owl’s hatred of mornings caused her to hit snooze button several times.|
Haughty|proud and unfriendly|Because she was not nice, the haughty girl had few friends.|
Haul|to use effort to transport something|The junkmen are going to haul away my old appliances.|
Haunches|Hindquarters; Hips, buttocks, and upper thighs of a human or animal|Sitting upon his haunches, the horse neighed and whinnied.|
Haunt|to appear as a spirit or ghost|Spirits came to haunt the frightened woman in her dreams.|
Hauteur|conceit; arrogance|Jim’s hauteur has led him to believe he is better than everyone else.|
Haven|a location that offers security|Safe Haven is the local shelter that offers housing and counseling for abused women.|
Havoc|extensive destruction or devastation|The volcano inflicted havoc upon the tiny village.|
Hawk|any one of several large birds of prey that have hooked bills, strong claws, and rounded wings|The great hawk swooped down and seized the mouse with his talons.|
Hazard|a source of danger|Lead paint is an environmental hazard and can harm children.|
Hazardous|risky; dangerous|People are often surprised that overexposure to moth balls can be hazardous to their health.|
Hazy|cloudy; foggy|Because the windshield was so fogged up, everything along the highway looked hazy.|
Headache|nuisance or unpleasant problem|Parking in New York City has become a major headache and I would rather take a cab to work.|
Headland|a section of high land that sticks out from the coast into the sea|The woman breathed in the scent of the ocean as she stood on the headland above the sea.|
Headlong|done rashly and without thinking|The teenagers jumped headlong into a committed relationship.|
Headquarters|a center of operations|His business headquarters was situated in downtown New York City.|
Heads-up|to caution or forewarn beforehand|When the weatherman saw an approaching tornado to the town, he gave a heads-up to the citizens to seek shelter immediately.|
Headstrong|focused on doing what one wants|The headstrong quarterback thought his plan was better than the coach’s play.|
Headway|progress or forward movement|Just when then counselor thought they were making headway, the couple decided to end their therapy sessions.|
Headwind|wind that is moving toward an object so that it is going in the opposing direction|While the aircraft flew through the air, the strong headwind kept beating harshly against the windshield.|
Heady|a strong, intense, or exhilarating effect|Many pilots find supersonic flight to be a heady experience, providing them with exhilaration that can’t be matched by anything else.|
Heal|to become healthy again|It took several weeks, but the runner was able to heal from the leg injury that plagued him all season.|
Healthful|good for a person’s health|Consuming a healthful diet brought down the man’s blood pressure.|
Healthily|doing something in a healthy way|The chef healthily prepared the meal without oil or margarine.|
Healthy|not injured or sick|Healthy cells replaced the cancerous ones once the survivor was in remission.|
Heap|a group of things placed in a pile|A heap of clothes cluttered the bathroom floor.|
Hear|to receive information about; to come to learn of |While talking with an old classmate, I was delighted to hear she was coming to our class reunion.|
Hearken|to listen|Confident and proud, the young man refused to hearken his parents’ advice.|
Hearsay|information gained from a source that was not directly involved and cannot be proved accurate|Without a witness, the police could not prove that the hearsay was anything more than fiction.|
Hearse|a vehicle that transports a coffin to a funeral|A black hearse awaited the casket after the funeral closing.|
Heart|the organ in your chest that pumps blood through your veins and arteries|The doctor used a tool to listen to the patient’s beating heart.|
Hearten|to encourage; give strength|I tried to hearten my depressed classmate with encouraging words.|
Heartfelt|honestly meant; sincere|The heartfelt card brought tears to my eyes.|
Hearth|the area directly in front of a fireplace|We sat in front of the hearth in our living room so we could warm our hands after our day outside in the snow.|
Heartily|in a jovial and cheerful way|Santa laughed heartily as he smiled at the children with his rosy-red cheeks.|
Heartthrob|a famous and attractive man with lots of admirers|Teenage girls flocked to the stage when the heartthrob appeared.|
Heartwarming|something that brings extreme joy or happiness to a person can be uplifting or inspirational|The book tells the heartwarming story of a little girl who is reunited with her lost puppy.|
Hearty|enthusiastic and warmhearted|Smiling family members offered a hearty welcome to their long lost cousin.|
Heat|warmth or high temperature|Heat radiated from the fireplace and warmed the hands of the holidaymakers.|
Heath|a tract of open, uncultivated land|Wild deer ran through the heath, prancing as they glided through the open plain.|
Heathen|one who is uncultured or nonreligious|If you only eat with your fingers, you are a bit of a heathen.|
Heave|to use a lot of effort while moving something|A half-court heave of the ball ended in a surprising buzzer beater win for the underdogs.|
Heavenly|extremely pleasant or enjoyable|The cookbook offered the recipes for heavenly desserts that tasted divine.|
Heavily|with a great amount of force|As the rain fell heavily, the car’s wipers struggled to keep the windshield clear.|
Heavy|weighty; substantial|Dropping the heavy ball on his town, the bowler cried out in pain.|
Hebetate|to make someone become dull mentally, emotionally, or spiritually|The evil stepmother called the boy stupid every day in an effort to hebetate him and break his spirit.|
Hebetude| a condition of mental stupor or laziness|Smoking marijuana all day causes Eric to be in a state of hebetude.|
Hebetudinous|mentally dull or sluggish|The hebetudinous student seemed lethargic when it came to his studies and refused to put any effort towards his studies.|
Heck|an expression of usually anger or surprise that is used as a way of adding force to a statement|“What in the heck?” the woman exclaimed as she realized her diamond ring was missing from her jewelry box.|
Heckle|to interrupt a speaker with insulting or rude comments|As they began to heckle the speaker with insulting gestures, the two protesters were escorted from the building.|
Hectic|quite busy with goings-on and uncertainty |Since I have a lot to do this week, my schedule is going to be very hectic.|
Hedge|bushes or shrubs that form a boundary as they grow closely together in a row|An ever-growing hedge stops nosy neighbors from being able to see into the back yard.|
Hedonic|linked to feelings of pleasure|The vacationer’s hedonic feelings increased tenfold when he headed to the beach to enjoy a relaxing day.|
Hedonist|one who believes the pursuit of pleasure is the most important thing in life|My neighbor is a hedonist who likes to party all night.|
Heed|to mind someone’s advice or suggestion|My sister is always in need of cash because she is unwilling to heed my financial advice.|
Heedful|mindful; watchful|Heedful of the employee’s complaints, the company’s attorney advised his client to take caution.|
Heedless|careless; reckless|Heedless in his treatment of the inmates, the correctional officer was suspended without pay.|
Heel|the back part of the foot below the ankle|A sharp rock in the bottom of the runner’s shoe bruised his heel and sent him limping to the finish line.|
Heft|weight|The heft of the piano made it stubborn to move, even with the help of strong men.|
Hefty|large and heavy; weighty|A hefty bag of coins was to be traded for the small piece of land.|
Hefty|heavy; substantial|A hefty payoff was made to the police officer to keep him quiet about the mob’s increasing activities.|
Hegemony|the predominant influence of one group over another|The president of the company has hegemony over his employees.|
Hegira|a trip taken to get away from an unlikable or unsafe circumstance|The people took a hegira to escape their war-weary country.|
Heifer|a young female cow|Purchasing a new heifer for his ranch, the farmer hoped that the young cow would bring forth a calf next year.|
Height|represents how tall something or someone is|The seemingly incalculable height of the mountain frightened the young explorer.|
Heighten|to raise something or make it higher (to lift)|The short model uses really tall heels to heighten herself for the runway.|
Heinie|a slang term for one’s buttocks|The toddler thought it was funny to remove her diaper and show her heinie to everyone in the world.|
Heinous|hatefully or shockingly evil|The criminal received the death penalty for his heinous crime.|
Heir|one who is in line to benefit from another person’s death|When the heir is located, he will receive the billionaire’s estate.|
Heiress|heiress is a female heir |When the wealthy politician died, his daughter of was the heiress to all of his valuable assets.|
Heirloom|an heirloom is something that has been inherited or handed down from generation to generation|The ancient painting was an invaluable heirloom handed down from generation to generation.|
Heist|a robbery or burglary|Every 6 o’clock news covered the story about the bank heist in the nearby town of Mayville.|
Held|held means holding something or someone|The young mother smiled as she held her newborn baby girl in her arms for the first time.|
Heliocentric|relating to the sun as the center of the universe|According to heliocentric theory, the sun is the center of everything in the universe.|
Heliograph|a device for telegraphing that uses sun's rays flashed from a mirror to send signals|During the 19th century, a heliograph was traditionally used to send sun-based signals over long distances.|
Heliolatry|worship of the sun|The sunbather’s heliolatry caused her to spend countless hours soaking up rays under the sun she seemed to worship.|
Heliotrope|a small flowering plant that is purple and fragrant|The fragrance of the lilac heliotrope is known to have calming effects on those who have the plant in their home.|
Helium|a gas that is used to inflate balloons, found in lamps, and used in cryogenic research|Balloons filled with helium floated up to the ceiling of the building.|
Hellbent|determined to achieve something or meet a goal at all costs|Although he knew he shouldn’t run in the rain, the athlete was hellbent on getting his daily jog in.|
Helot|a serf or slave|During ancient Sparta, the helot was considered lower class due to his status in the community.|
Helpfulness|the giving of help or assistance|Gail’s helpfulness when assisting her teacher earned her a class helper award.|
Helpless|weak and powerless|The helpless deer was to feeble to escape the hunter as it was being tracked through the woods.|
Helplessly|in a way that shows a lack of ability, strength, or power|Staring helplessly from the tower, the princess didn’t realize she had the power to save herself.|
Hemisphere|one half of the Earth, especially one of the halves north and south of the equator|While looking at a map for my vacation, I realized that Panama was just barely in the northern hemisphere so I would need to pack comfortable summer clothing|
Hemoglobin|the portion of blood that holds iron, makes blood red in color, and transports oxygen|My hemoglobin count is low because I have an iron deficiency.|
Hemorrhage|a quick outpour that appears incapable of being stopped|Some women undergo a hemorrhage of unstoppable bleeding after giving birth.|
Hence|therefore; for this reason |The weather was much better this year; hence the orange crop is larger.|
Henceforth|from now on|Once I got a promotion at my job, henceforth I would be paying significantly more income taxes due to moving up in to another tax bracket.|
Henchman|a faithful supporter or “right-hand man” who does dishonest or illegal things for someone else|The bully’s henchman goes around the cafeteria picking on little kids and stealing their lunch for his buddy.|
Heptagon|a seven sided shape|A heptagon shaped snowflake fell slowly, with its seven sides disappearing before it reached the ground.|
Herald|a messenger, especially one bringing important news|Because he was always up-to-date on the latest information, we referred to our friend as a herald.|
Herbaceous|related to herbs any plant used for flavoring, food, medicine, or perfume|The chef crafted an herbaceous paste and spiked the dish with a hint of mint and lemon.|
Herbivore|an animal that eats only plants|As an herbivore, the giraffe has teeth that are broad and capable of chewing tough plants.|
Herculean|demanding an extraordinary amount of labor or effort|The firemen knew it would take a Herculean effort to put out the rapidly spreading wildfire.|
Herd|a cluster of individuals or animals who share something in common|A herd of children ran across the field in search of Easter eggs.|
Hereafter|usually signifies a change or transition that will be the norm from this point on|Michael started to cry at the funeral when he realized that he would hereafter never taste his grandmother’s cookies or feel her hugs again.|
