Aardvark|a large, long-eared nocturnal animal that uses its long tongue to eat ants and termites|The long-eared aardvark slept all day and ate insects all night.|
Afebrile|having no fever|Garry worried that his girl was running a fever, but the doctor assured him that she was afebrile.|
Affable|friendly, good-natured, or easy to talk to|Instead of being such a jerk, you should try being more affable!|
Affair|an issue or concern that is handled|Stealing office supplies became a company affair when the company began to lose money due to the theft.|
Affect|to change or influence|If the boy had known skipping class would negatively affect his grades, he would never have missed his lectures.|
Affectation|an unnatural form of behavior that is meant to impress others|Jake’s proper manner of speaking was an affectation he put on when he was surrounded by the country club set.|
Affection|a feeling of love or strong attachment|Rick expressed deep affection for his wife at their fortieth anniversary party.|
Affectionate|loving|My sister is very affectionate and always gives me a goodbye hug.|
Affiliated|formally associated with a group or organization|After being fired, the doctor was no longer affiliated with the hospital.|
Affiliation|the involvement or connection that somebody has with a religious or political organization|The interviewer acted in rude fashion when questioning the candidates about their religious affiliation.|
Affinity|a natural liking or attraction for someone or something|Although Adam is very different than me, I have an affinity for him which I cannot describe.|
Affirm|to publicly verify something|Tonight, the police will affirm the suspect’s identity on national television.|
Affirmation|an action of approval or support|I enjoyed the food critic’s affirmation in his column after he dined in my restaurant.|
Affix|to stick, attach, or fasten|I plan to affix a stamp on every one of the hundreds of envelopes that we need to mail out.|
Afflatus|a skill or gift that seems to be given by a God or higher power|The dancer was struck with afflatus and moved like she was gifted with skills from the gods.|
Afflicted|stricken, distressed, or impaired|The man was afflicted with a painful snake bite after a hike on the mountain.|
Affliction|a state of pain, suffering, distress or agony|Although some people claim that she is lucky because she can’t gain weight, she considers it an affliction.|
Affluence|a situation in which one has a great amount of wealth|When the economy crashed, many people of affluence became poor.|
Affluent|wealthy, rich|Only affluent families could afford the top-dollar price tags attached to the homes in that neighborhood.|
Afford|have enough money to pay for something|The bum claimed he couldn’t pay his bills, but always found a way to afford cigarettes and booze.|
Affray|a disruptive fight|What began as a simple squabble between friends turned into an affray among several people.|
Affright|fright; fear |Ghosts and goblins haunted the house, leaving the children in affright.|
Affront|to do or say something that shows a lack of respect |The crooked cop is an affront to all that is good about law enforcement.|
Aficionado|an expert or enthusiast who is extremely knowledgeable about a subject or activity|A wine tasting aficionado, Lynn is convinced that no one has sampled as many different types of vino as she has.|
Afield|far away from their comfortable environment|While working afield in a foreign country, the young businessman was completely lost as to how to communicate or act in this new place.|
Afloat|floating or balancing on top of liquid|An overturned life raft was able to keep several of the Titanic passengers afloat until help arrived.|
Aforementioned|regarding someone or something spoken about previously|Any of the aforementioned applicants will make great company employees.|
Aforesaid|previously mentioned|After pleading my case to my mom, I went to my dad and repeated the aforesaid points in hopes that he would let me go to the mall.|
Afraid|scared or frightened|The toddler is afraid of the dark and will not sleep without a nightlight.|
Aftermath|the aftereffects or consequences of an unpleasant or destructive event|More frightening than the hurricane was the aftermath and incomprehensible task of rebuilding.|
Afterthought|something you think of or mention later because it was not included beforehand|Often considered as an afterthought, Nick realized that he was not valued by the basketball team.|
Afterwards|following; after a previous event|I will take you to the park, but afterwards we must clean the house.|
Against|anti; not in favor of|Many people were against the war and didn’t think we should be fighting overseas.|
Agape|open|Before you eat oysters, clams, or mussels, always check to be sure that the shells are firmly closed and not even a little bit agape.|
Age|the amount of time someone or something has been living|The youthful woman’s age was actually much older it appeared to be.|
Agency|a business, usually government related, that provides a particular service|As head of the agency, the top-manager was in charge of all spending decisions.|
Agenda|a list of matters to be discussed at a meeting|Without a clear agenda for what is to be accomplished I feel that the meeting will be a waste of time.|
Agent|a person who acts on behalf of an individual or some other group|My insurance agent sold me a new life insurance policy through the company he works for.|
Agglomeration|a collection or mass of things|The mayor has an agglomeration of complaints against him, which is why he may not be in office much longer.|
Aggrandize|make great or greater in power, rank, honor, or wealth; increase|I attempted to aggrandize the CEO’s high status in the company to sweet talk him into signing off on the deal.|
Aggrandizement|an increase in power, importance, or reputation that is undeserved|Suzan suggests that aggrandizement of one’s self-worth may be a desperate attempt to boost one’s low self-esteem.|
Aggravate|to make worse, or more severe|I left the party early so the noise would not aggravate my headache.|
Aggregate|to place into a category or cluster|Schools often use test scores to aggregate students into classes based on intelligence.|
Aggregator|someone or something that gathers together materials from a variety of sources and combines them into one|The aggregator was able to gather articles from many different websites and condense them into one publication.|
Aggression|violent and hostile behavior|Seething with aggression, the deranged man was shot after he lunged at police with a knife.|
Aggressive|pushy or forceful when trying to get others to believe or do something|The aggressive vendor tried to force the tourists into buying his wares.|
Aggressor|the person or country that first attacks or makes an aggression|Once the two kids were separated, it became obvious who the aggressor was due to his explanation about how he hit first.|
Aggrieve|to badly mistreat/make upset|If the boy insults my mother and continues to tease and taunt me, he would prove he knows how to aggrieve me.|
Aggrieved|angry or resentful due to unjust treatment|Parking almost fifteen feet from the corner, the aggrieved driver tore up the ticket he received for parking too close to the intersection.|
Aghast|shocked or surprised in an upsetting way|The teacher was aghast at the large number of students who failed the easy test.|
Agile|able to move fast and easily|Because he practiced parkour, he was an extremely agile athlete.|
Agility|nimbleness and quickness of motion, both physically and figuratively|The coach was amazed at Jim’s agility on the court, especially the way he switches direction without pause.|
Agitate|to disturb or upset|Barking at the dog will only agitate him further.|
Agitated|upset; disturbed|Barbara felt agitated when her husband did not pick up his phone, especially since she had been calling all day.|
Agitation|a stirring up or arousing; disturbance of tranquility |The father of one made no attempt to hide his agitation while viewing his son’s failing report card.|
Agitprop|something that looks like art but is actually political propaganda or misinformation|Many documentaries come across as entertainment but this one is a political agitprop that is being used to deceive people.|
Agnostic|unsure about the existence of a god or holy being|After my husband became agnostic, he stopped going to church because of his doubt about god's existence.|
Agnostic|someone who believes there is no way to know if God does or does not exist|As an agnostic, Devin questioned whether there is any proof that a God created the universe.|
Agnostic|a person who knows there is no way to know if God exists or not|The agnostic woman has read the Bible and other religious texts but still doesn’t think there is a way to prove that God exists.|
Agog|filled with anticipation and excitement|The little kids were agog as they waited for Santa Claus to arrive.|
Agonize|to endure a great deal of distress|After resigning from my job, I started to agonize over my decision.|
Agonizing|distressing; painful|The pain of breaking my femur was agonizing.|
Agony|intense pain or suffering|When my brother died, I was in emotional agony for months.|
Agoraphobia|the fear of wide open spaces, crowds, or uncontrolled social conditions|Even the big deals on Black Friday could bring out even those people who suffer from agoraphobia, but the large groups of people could cause them to have anxiety attacks.|
Agrarian|associated with land cultivation|An agrarian college prepares men and women for careers in land cultivation.|
Agree|to say yes or give consent|My father wishes I would agree to move back home, but I enjoy living by myself.|
Agreeable|nice and good; pleasant|After considerable negotiations, both parties became agreeable by each side giving in to some part of the situation.|
Agreement|a contract or deal|By signing an agreement with the lawyer, the client agreed to pay two thousand dollars for his services.|
Agribusiness|any business that has to do with agriculture and supplies associated with farming|John Deere is a well known agribusiness that supplies many farms with bright green tractors.|
Agriculture|the discipline of farming|The state manages a department of agriculture which provides support to farmers.|
Agronomy|science of soil management and crop production|Personally I find agronomy to be a rather boring science, but someone has to study all the ways we can make crop production more efficient.|
Ague|a fever that causes you to shake, sweat and feel cold|Dr. Frank determined that his patient acquired ague based on the symptoms but, he realized it was not malaria because the patient had not visited tropical areas lately.|
Ahead|to move forward from current placement|The determined student tried to get ahead on her homework by completing her project two weeks in advance.|
Ahem|an utterance similar to the sound of clearing one's throat, used to attract attention or fill in a pause|“Ahem,” the man breathed nervously as he cleared his throat.|
Aid|to back or help someone or something so they are successful|Red Cross workers usually aid in the recovery of victims of natural disasters by providing medical care to those who are injured.|
Ail|a trouble, symptom, or affliction|A common ail that afflicts people when they have a cold is a runny nose, but that is just one of the sinus issues that come along with that.|
Ailment|a condition that affects a person’s mental or physical wellbeing|Unfortunately, the stomach ailment causes vomiting and chronic diarrhea.|
Ailurophile|a person who loves cats|The neighborhood children only saw the ailurophile as a nutty cat lady.|
Aim|to point something in a certain direction|The hunter began to aim his bow at the deer as soon as it came out of the clearing.|
Aimlessly|without an aim, purpose or direction|I love to spend my weekends wandering aimlessly through the streets of Manhattan, checking out stores and shops that pique my interest.|
Air|the invisible mixture of gases that covers the earth|A tasty odor in the air seemed to float through around the kitchen.|
Aisle|a clear path between rows of seating|The bus ride home was so packed that anyone without a seat was forced to sit in the center aisle.|
Ajar|slightly opened|She left her bedroom door ajar, so I figured it was safe to enter.|
Akimbo|with the hand on the hip and elbow turned outward|Mom looked at the mess in my room, arms akimbo, and began yelling at the top of her lungs.|
Akin|similar in nature|For Elizabeth, divorcing her ninth husband was akin to throwing out old shoes and buying a new pair.|
Alabaster|a smooth, white, and often translucent hard material that is typically carved|Her smooth, white skin resembled alabaster sculptures.|
Alacritous|being eager and willing|The alacritous recruit was ready to join the Army and signed up the day he turned eighteen.|
Alacrity|Cheerful willingness and eagerness|Having studied really hard last night, the student took the exam with alacrity.|
Alas|disappointingly; unfortunately|Alas the reviews for Jared’s book were awful, and as such, the book’s sales were dismal.|
Albatross|a species of large seafaring bird that is found mostly in the south Pacific|An albatross has a significantly larger wingspan than a seagull, but personally I think they’re nearly the same bird.|
Albeit|even though; although|I am a huge fan of Madonna’s music, albeit I do not own any of her albums.|
Albinism|an inherited condition that one is born with that involves lack of color in the pigment that colors hair, skin, and eyes|The couple’s baby was born with albinism and had hair that was as white as snow.|
Alchemist|a person who practiced a medieval form of chemistry that dealt with metal transformations|The medieval alchemist spent most of his days trying to change metal to gold.|
Alchemy|a kind of chemistry that is associated with changing something ordinary into something extraordinary|In the story the fairy godmother used alchemy to turn the pumpkin into a fine carriage.|
Alcove|a small area that is secluded from a large space|The alcove above the living room is the perfect place for the kids to hang out and play videogames.|
Aleatory|random, dependent on luck or chance|Rick laughs at anyone who spends money at the slot machines, because it’s a purely aleatory game that has no intellectual component whatsoever.|
Alert|to strongly make someone or something aware of trouble or something dangerous that is about to occur|Sheriff Taylor needed to alert the citizens of his small town about the approaching large hurricane close to them.|
Alfresco|outdoors, open to the atmosphere|The park has a really nice restaurant where you can dine alfresco while watching the birds as they come pecking at your food.|
Algae|an organism often found on or in bodies of water that resembles a plant or moss and uses photosynthesis to supply oxygen|A thin layer of green algae lined the bottom of the dirty swimming pool.|
Algorithm|set of instructions|Many scientists were required to solve and describe the algorithm for each problem they solved in order to be accepted to the company.|
Alias|an alternate name used by a person who wishes to keep his or her identity secret|If you’re having a hard time locating Sarah’s blog, try searching for it under her alias, Hannah Martin.|
Alibi|a reason or excuse why someone could not have done something|While the witness claims the suspect was at the murder scene, the suspect’s alibi places him in another state.|
Alien|different from the norm or what is considered to be acceptable|Everyone in the room disbelieved the man’s story about being abducted by an alien from another planet.|
Alienate|to make an individual feel unwanted or removed from a group or relationship |Teachers will alienate their students if they talk down to them.|
Alight|to descend from something |The birds will alight from the sky and then eat from the feeder.|
Align|line up; straighten|Every afternoon, the teacher has to align the desks that her students have pushed out of place.|
Alignment|positioning of things so that they are in a straight line|The chiropractor was able to bring the woman’s discs into alignment so that her back would be straight.|
Alike|similar in a certain way|Because my sister and I are identical twins, we are very much alike in appearance.|
Aliment|a minor illness or sickness|The boy faked an aliment so that he could stay home and not go to school.|
Alimentary|of, or relating to food, nutrition or digestion|The esophagus is considered part of the alimentary canal because it is one of the passageways for food.|
Alimony|payment paid to one’s former spouse to support their living|Alimony payments were made from the wealthy ex-husband to his bitter ex-wife.|
Alive|living, not dead|The possum played like he was dead, but he was really alive.|
All-around|versatile; able to do many things|Aaron is an all-around athlete who shines in many different sporting events.|
Allay|to make quiet or calm|A good teacher will work hard to allay the concerns of a new student.|
Allegation|a claim or a statement saying someone has done something illegal or wrong, which is not necessarily based on facts|The professor made an allegation of cheating against his student.|
Allege|to claim without evidence|In the lawsuit, the parents allege the school system failed to protect their daughter from bullies.|
Alleged|questionable; not confirmed|While the alleged suspect was arrested today, he still has to be tried in a court of law.|
Allegedly|suspected of participating in something immoral or illegal |According to the witness, the mailman allegedly broke into the woman’s car.|
Allegiance|loyalty to some cause, nation or ruler|Standing opposite the flag, I placed my right hand on my heart to recite the pledge of allegiance.|
Allele|an alternative pattern of a gene that results in a variation of a trait|The dominant allele is the one that determines a physical characteristic or trait.|
Alleviate|to make something less painful, severe, or serious|Take an aspirin to alleviate your headache.|
Alley|a narrow passageway|Walking through the dark alley, Giana thought the passageway seemed to be filled with scary sights at every turn.|
Alliance|an association between parties or states with similar interests|We formed a neighborhood alliance to plan events in our community.|
Allies|friends or supporters; those who can be trusted|The USSR and Russia were allies in World War II, but their friendship turned to mistrust soon after the conflict ended.|
Alliteration|the recurrence of consonants at the start of two or more terms |In poetry, alliteration is sometimes used to create a unique tone by repeating consonant sounds.|
Allocate|to give out according to a system|I must allocate my weekly salary in a way that allows me to pay all my bills.|
Allocation|an amount of something that is given out or shared|Inconsistency in allocation of funds led to a negative balance in one account.|
Allocution|a speech given to a convicted defendant by the judge just prior to sentencing|During the allocution, the convicted party refused to listen to the judge as she spoke.|
Allotment|one share of something that has been given out in portions|Staring at the plates on the tables, the bride was happy to see the caterer had given each guest a large allotment of shrimp.|
Allow|to permit or let something happen|Please allow five days for the package to get from the store to your home.|
Allowance|a share or portion of something that is granted by another person|Timmy is given an allowance of his mother’s income, but is expected to do well in school and finish his chores.|
Allowed|permitted or let something happen|Lola’s mom allowed her to spend the night at my house last weekend but wouldn’t let her come over today.|
Allowed|let or permitted someone to do something|The professor allowed her son to turn his essay in one day late but took points off.|
Alloy|a mixed metal made by combining two or more others that is usually stronger than pure metals|Alloy wheels are made from a mixture of other metals, making them tougher.|
Allude|to make an indirect reference|The teacher asked the students to not allude to any online sources in their research papers.|
Allure|a quality that produces attraction|The woman’s allure was her floral perfume that captivated the man’s senses.|
Allusion|a statement that refers to something indirectly; an indirect reference|The author’s new book contains an allusion to mythological gods.|
Allusion|a figure of speech that is used in literature to make an indirect reference to something|The author included an allusion in her speech when she referred to Romeo but didn’t explain who he was.|
Allusive|implying, hinting or indirectly suggesting something|The man was very allusive when he dropped hints about the gifts he bought for his wife’s birthday.|
Alluvial|related to alluvium, a deposit of clay, silt, and gravel left by a flowing river in a delta|The sediment around this river delta is alluvial, full of silt and clay that will make the soil extremely fertile.|
Ally|a friend; someone who is ready to help you|When my friends were arguing, Carly was my ally and defended my actions.|
Almanac|an annual calendar with important events and astronomical data|An almanac is not really different from most other calendars, but it also has a great deal of other information in it, like astronomical data needed for farming.|
Almighty|omnipotent or having complete power|The men seemed to worship the almighty dollar and cared little about anything else.|
Almost|very nearly but not exactly or entirely|The bandits almost made it to their get-away van, but the police caught them just in time.|
Alms|items which are given to the needy|If not for the alms given to him by charitable groups, the man would have died of hunger.|
Aloft|in the air or sky|When the hot air balloon was aloft, they could see everything on the horizon.|
Alone|having no one else present; on one's own|She loved being alone where no one could bother her and she could relax with a good book.|
Along|beside or by-the-side of something else|The road along the river was recently closed due to flooding.|
Alongside|along the side; by the side; side by side with|The students walked alongside each other on the way to school.|
Aloof|removed or distant either physically or emotionally|The aloof princess stood in a corner alone.|
Alpine|part of a high mountain|In the alpine village, many skiers would purchase their needed supplies in order to go skiing the next day.|
Already|at present; even now|The banker couldn’t attend the board meeting since he was already in a loan hearing across town.|
Alter|to change in some way|The Photoshop expert can alter the picture to make people think you spent your vacation on the beach.|
Alteration|the condition of being changed|Since I have gained weight, I’ll need a seamstress to make an alteration to my wedding dress.|
Altercation|a loud and heated disagreement |The best friends had an altercation over a girl they both liked.|
Alternate|when one thing comes after another; fluctuate|Instead of choosing one pain reliever, Judy decided to alternate between Aspirin and Tylenol.|
Alternative|alternative means another possibility that is available|As an alternative to expulsion, the mischievous student opted to attend in-school suspension.|
Altimeter|an instrument used in an aircraft to measure altitude/the distance above sea or land|An aneroid barometer is an altimeter that is used to detect drops in atmospheric pressure inside an airplane.|
Altitude|the height of something above sea level or the earth's surface|The pilots began shifting gears in order to gain altitude.|
Altitudinous|being at or having a very high level of elevation|Because they are so high up the mountain, the altitudinous villages can only be reached by helicopter.|
Altruist|regard for others without regard for oneself; devotion|He was an altruist, and he loved others better than himself.|
Altruistic|sincerely concerned about the well being of others|The billionaire is an altruistic man who gives away millions of dollars every year to various charities.|
Alum|a chemical substance containing aluminum used in dye things or to make the skin tighter|The chemist explained that alum is a compound often used as an astringent to tighten the skin and remove pimples.|
Alumna|a female graduate of a school or university|The Lake County High School alumna missed her high school days and wished she could relive them.|
Alumnus|an individual who graduated from or took classes at a specific university, school, or college |As part of his last will and testament, the wealthy alumnus left his fortune to the university from which he graduated.|
Alveoli|sacs in the lungs which gather and filter oxygen|The alveoli in the smoker’s lungs were so coated in tar from years of cigarettes that they barely output air.|
Amalgam|a mixture of unlike items|The potluck supper at the church always consists of an amalgam of foods ranging from apricot salad to zucchini casserole.|
Amalgamate|to join or combine|The two companies will amalgamate in a mutually beneficial merger next week.|
Amalgamation|the process of combining two or more companies |The amalgamation process is sometimes decided upon to avoid bankruptcy.|
Amanuensis|a secretary whose job is to write or type what someone else is saying|Her Majesty’s amanuensis quickly wrote down all of her extravagant demands.|
Amass|to bring together a large amount|To start a business, one needs to amass a huge sum of ready money.|
Amateur|person who engages in a particular activity without pursuing it professionally|Even though I am an amateur singer, I hope to make a career out of it one day.|
Amatory|associated with expressing erotic or sexual love|The amatory letters described the couple’s steamy love affair.|
Amaze|to fill with surprise, astonish|Arthur does not fail to amaze everyone with his quick wit and humor.|
Amazed|shocked; stunned|Amazed by the great temple, the tourist stood in awe of the beautiful building.|
Amazement|the condition of being surprised or overcome by wonder |As my boyfriend told me about his plans to propose to another woman, I stared at him in amazement.|
Amazing|impressive; incredible|Looking up at the amazing pyramid, it was hard for Frank to imagine building something so impressive.|
Amber|a yellowy-tan color |The dentist noticed the amber color of the woman’s teeth and realized that she probably hadn’t brushed them in a long time.|
Ambiance|the mood in a place|The scented ambiance of the candle shop made me feel warm and comfortable.|
Ambidextrous|having equal ability in both hands; in particular, able to write equally well with both hands|The team manager was very excited when he heard that the new pitcher was ambidextrous and could throw a mean fastball with either hand.|
Ambiguity|something that does not have a clear meaning|Although Hank wants to sign the contract, he needs to understand the ambiguity of some of the language first.|
Ambiguous|confusing; difficult to understand|Because his driving directions are ambiguous, I use my reliable map.|
Ambition|a desire to accomplish (complete) a task|Despite his old age, Frank has a very strong ambition to climb Mount Everest.|
Ambitious|strongly desirous and determined to succeed|The professor has an easy time controlling his class because the students are ambitious about their studies.|
Ambivalence|mixed feelings or emotions|Even though the new job meant more money, Tad felt a great deal of ambivalence about accepting the position.|
Ambivalent|uncertain as to which path to take|When it comes to the election, I am ambivalent about the candidates.|
Amble|to stroll in a relaxed manner|Since we arrived too early to check into the hotel, we decided to amble down the beach.|
Ambrosial|appealing to one’s sense of smell or taste |Because Janice liked the ambrosial scent of the shrubs, she decided to plant a few in her front yard.|
Ambuscade|a deadly strike|At first the plane’s passengers sat quietly until the hijackers led an ambuscade against the plane’s crew.|
Ambush|the act of concealing oneself and lying in wait to attack by surprise|A suicide bomber waited in ambush for the right opportunity to detonate his bomb, but was tackled before he had the opportunity.|
Ameliorate|to make better|Scratching your eye will not ameliorate the itching.|
Ameliorate|to make something better or more manageable|The police tried to ameliorate the situation after the false arrest, but the family didn’t want to hear their apologies.|
Amenable|willing to comply or cooperate|My husband never complains about anything and is amenable to all my vacation suggestions.|
Amend|to make better|Chris said that he would amend the bill before the year’s end due to the public outcry.|
Amendment|a change or alteration|An amendment was made to the original divorce decree because the wife’s name was spelled wrong.|
Amends|to fix a mistake that you made or to make a bad situation better; to make right|In an effort to make amends with his girlfriend after cancelling their dinner, he brought her a dozen roses.|
Amenity|a thing or condition that makes an event or life more enjoyable|The walk-in closet was my favorite amenity in the apartment.|
Amiable|being nice; displaying a friendly and pleasant manner|Because she was nice to all her fellow students, my cousin Sally was voted the most amiable female at her school.|
Amicable|showing a polite and friendly desire to avoid disagreement and argument|If you were a bit more amicable, people would not be afraid to approach you.|
Amid|in the middle of; surrounded by|Amid a crowd of cheering fans, Larry stood out as the one person who was clearly uninterested in the game.|
Amidst|in the middle or mist of|As I gazed out the back of the car, I saw a lone deer standing amidst the trees on the side of the road.|
Amiss|improper; wrong|When I saw the lights on in the house after midnight, I knew something was amiss because my grandmother always went to bed early.|
Amity|a supportive relationship between people or countries|Because of the amity in our subdivision, everyone looks out for each other.|
Amnesia|loss of memory; forgetfulness|Bob sustained brain damage from the fall, which caused amnesia to set in.|
Amnesty|a formal pardon or reprieve given to one who has committed a criminal or political offense |Although Bill Smith was sentenced to life in prison in 1998, he was later released after receiving amnesty from the president.|
Amoeba|a single-celled animal which catches food and moves about by extending finger-like projections|The amoeba can only be used through a microscope since it is such a tiny animal.|
Amok|a desire or passion to attack or murder|Terrorists fighting amok in the Middle East was disturbing enough until they would cause the death of people near the city where I lived.|
Amongst|surrounded by; In the company of|Amongst the bushes, a small rabbit hid from the hunter.|
Amorous|having or showing strong feelings of sexual attraction or love|The amorous couple could not stop kissing in public.|
Amorphous|having no clear shape or form|Because the painting was amorphous, I had no idea what it represented.|
Amortization|the process of determining the cost of something intangible over time|You can try to use amortization to determine the value of something unseen, such as friendship or memories, but ultimately that might still be impossible.|
Amortize|to the amount of a loan or debt by paying small payments over time|The businessman was able to amortize his building loan by paying monthly payments on the first and the 15th.|
Amount|the total number or quantity|A large amount of ducks in the area will leave here and fly south for the winter.|
Amour|a secret lover|Kissing his amour goodbye, the lovesick man could not bear to part from .|
Amphibious|capable of functioning on land or in water|Frogs are amphibious creatures because they can survive in both land and water.|
Amphitheater|an open-air theatre used for entertainment, performances, and sports|Tickets to the concert were less expensive since the venue was an outdoor amphitheater.|
Amplify|to render larger, more extended, or more intense|We were fine with booking the large ballroom because we knew that the loudspeakers would amplify the sound adequately.|
Amplitude|the measure of something's size, especially in terms of width or breadth; largeness, magnitude|The amplitude of the student’s knowledge about astronomy and physics was beyond the teacher’s grasp.|
