Buoy|a float in water that is used to mark something|To alert boaters of the hazard ahead, a small buoy was used to mark the sandbar near the surface.|
Chauvinism|a narrow-minded confidence in the supremacy of one’s own group or gender|Despite the chauvinism of the male racers, Danica went on to become a successful racecar driver.|
Chauvinist|someone who displays extreme or aggressive support for something|Some people consider my sister to be a chauvinist when it comes to feminism, as she gets both angry and irritated when someone opposes her point of view.|
Cheap|low in price; not expensive|Cheap products can be purchased at the Dollar Tree since everything there costs a dollar or less.|
Cheapen|to reduce the price or quality of something|If the movie theater decides to cheapen the price of tickets, more people will be able to afford tickets.|
Cheeky|impudent or unapologetic but in a generally charming way|The third grader was extremely cheeky, rarely referring to the teacher as ‘Mr. Walters’ rather than ‘gramps,’ but it was somewhat endearing.|
Cheerful|displaying or feeling happiness|Jan was in a cheerful mood on her wedding day.|
Chemical|any basic substance that is used in or produced by a reaction involving changes to atoms|The chemical is used to clean the kitchen, but care must be taken since the substance is so strong.|
Chemistry|emotional or mental attraction/interaction between two people|Instant chemistry between the couple led them to an engagement and wedding within six months of meeting.|
Cherish|to treasure or deeply care for something|I will forever cherish the teddy bear my late grandfather had given to me.|
Chew|to bite off something and grind it up using teeth|It is hard to chew up an apple if you have two missing front teeth.|
Chiaroscuro|an artistic image emphasizing the brightness and darkness while de-emphasizing color|Art critics at the art gallery admired the chiaroscuro of the black and white photograph since the shade covered everything but the bright eyes of the woman.|
Chic|tastefully stylish|The chic heels will go perfectly with my stylish dress.|
Chicanery|the use of trickery to achieve a political, financial, or legal purpose|You can smell the chicanery from a dishonest politician.|
Chide|tell somebody off; scold|I don’t want the boss to chide me for being late again, so I’m setting the alarm for a half hour earlier.|
Chiffon|light and silky fabric|Before I put on my new chiffon skirt, I checked the temperature to make sure it was not going to be too cold outside.|
Child|a young human being|At 10, the child still liked to play with dolls and ride her bike.|
Childhood|the time during which one is a child, from between infancy and puberty|My stepmother is a mean woman who likes to insult little kids because she had a miserable childhood herself.|
Childlike|being innocent or naïve in a manner befitting of a child|Even as a young adult, Avan has an almost childlike innocence to him that many people find endearing, even though others think it foolish.|
Chime|ringing or tone making component of a device |I enabled the chime mode on my watch so it will sound a long beep each hour.|
Chimera|a creation of a person’s mind; something that is not real|Ron’s mental disorder caused him to believe there was a dangerous chimera out to get him.|
Chimerical|an invention of an individual’s imagination|The company was fined when the government discovered it had used chimerical data to get approval for its new drug.|
Chipper|happy and cheerful|After having a great day at work, Martha was in a happy and chipper mood.|
Chirp|a short, high-pitched sound|Nothing irritates me more than a bird that wants to constantly chirp outside of my window in the morning, ruining my sleep.|
Chisel|a long-bladed hand tool that is struck with a hammer to cut or shape hard materials|Ancient sculptors used a hammer and a chisel to shape the blocks of stones that they wished to turn into statues.|
Chit-chat|to engage in small talk, to discuss unimportant matters.|Sitting close to the teacher will make it harder for you to chit-chat with classmates as the teacher will likely remind you to quiet down.|
Chivalrous|displaying respect to members of the female sex|My chivalrous husband always opens doors for me.|
Chivalry|courteous conduct |The teenager displayed chivalry when he held the door open for the girls in his group.|
Choice|an option; a decision; an opportunity to choose or select something|Now that I’ve graduated High School, I have a choice to make whether I go to College.|
Choleric|easily irritated; grumpy|Since I do not sleep well, I am choleric when someone calls me after I have gone to bed.|
Cholesterol|a fatty substance in the body tissue and blood that is connected to heart disease when found in large amounts|Although your body needs some cholesterol, in large amounts this fatty substance can hurt the tissue around your heart.|
Choose|to select|You can choose one main course meal and also select a dessert.|
Chop|to cut something into pieces with a sharp blow from an edged tool|Without a gas fireplace, my dad always had to go into the woods and chop lumber for our family with an axe.|
Chord|three or more musical tones sounded at the same time|Pressing the three keys simultaneously, the piano player struck a chord and let out a melodious sound.|
Chore|a routine and generally disliked task, usually carried out in the household|My main chore around the house is taking out the trash, which I personally believe is preferable to my brother, who has to walk the dog.|
Choreography|the sequence of steps and movements in a dance or figure skating routine|Coming up with the choreography was easy, but actually sequencing the dance moves with the music was a lot harder.|
Chorister|a person who sings in a choir|Even though he likes playing the piano for the choir more than being a chorister, the young man is a talented singer.|
Chorus|a part of a song generally repeated after every verse|The chorus of a song is often the most recognizable part of it, since it is repeated multiple times throughout the piece.|
Chose|the act of having chosen something|Mordred of the Round Table chose to betray his Lord, King Arthur, rather than serve him faithfully.|
Christened|ceremonially dedicated|The newborn baby was christened, being dedicated to Christ in front of her family.|
Christianity|the religion that uses the Bible as its scared book and is based on the person and teachings of Jesus of Nazareth|Although they are both monotheistic religions, few view Christianity as a cult religion like they do Islam.|
Chromatic|relating to color; colorful|Several artists used the same chromatic colors in their portraits at the display.|
Chromatin|genetic material composed of DNA and proteins that condenses to form chromosomes|Found in the inside of the cell, chromatin is made up mostly of DNA and proteins.|
Chromosome|that portion of the cell that holds the genes which determine the identity and development of a plant or animal|A chromosome is the cell organelle that contains the genes that define an organism’s traits.|
Chronic|appearing for a lengthy period of time|For three months, I have had a chronic headache.|
Chronicle|a report that describes events in the order in which they occurred |When the detective read the chronicle of the attack, he knew how and when the victim died.|
Chronological|organized in the order of occurrence|The easiest way to comprehend history is in chronological order, learning of events in the order that they happened in time.|
Chronology|the time pattern in which something happens|The detectives sought to create the chronology leading up to the victim’s disappearance.|
Chronometer|an instrument designed to keep time with great accuracy, especially when at sea|The chronometer was designed to help sailors more accurately determine longitude.|
Chthonic|concerning or belonging to the underworld hell|The chthonic creature came up from the underworld to terrorize the city.|
Chuckle|to laugh quietly|Letting out a soft chuckle, the janitor couldn’t help but laugh at the conversation he overheard.|
Chum|a close friend or pal|Melody was my old school chum, but we haven’t been friends in years.|
Chunk|a large piece of something|A huge chunk of rock fell off the mountain and onto the road below.|
Churl|a rude and mean-spirited person|Theo often acted like a churl, being mean to everyone he came in contact with.|
Churlish|rude; impolite|Although Ms. X is a beautiful and talented actress, she has a reputation for being churlish and difficult to get along with.|
Chute|vertical or inclined plane, channel, or passage for sliding things downward|Santa’s elves pushed presents down the chute and into the back of the sleigh.|
Chutzpah|personal confidence or courage that may come across as rude but allows one to do or say what they feel|Full of chutzpah, the arrogant man wasn’t afraid to voice his opinion to anyone.|
Cilia|the feather-like, thin hairs connected to the eyelid known as an eyelash|Humans have an average of 250 cilia per eye and even though at least one eyelash falls out per day, they grow back quickly.|
Cinder|a small, glowing piece of partly burnt coal or wood|One glowing cinder was all that remained of the once burning fire.|
Cinematography|the study or skill of making movies|Before becoming a world-known filmmaker, Peter studied cinematography at Bowen University.|
Cipher|a code that is not easily solved|The serial killer left a cipher with each body that provided clues to the detectives on where to find the next victim.|
Circa|around or about a certain date|The historian is not certain of the exact date, but he believes the war took place circa 300,000 years ago.|
Circle|a group of people that share interests, professions, or acquaintances|My circle of friends includes myself and the two kids I grew up with since elementary school, though I am eager to add more.|
Circuitous|not said or done simply or clearly |Because the spy did not want to give away the location of his headquarters, he always took a long and circuitous route to his office.|
Circular|shaped like a circle; round|The circular tower was much taller than the ones built in a square shape instead of a rounded one.|
Circulate|to spread or move around freely; to move in circles|The new company was planning to circulate fliers about their up and coming business.|
Circulation|the continuous movement of something in a closed section|While on the plane, the woman’s blood circulation was reduced and her legs began to cramp.|
Circumference|the distance around something round or rounded, like the distance around the edge of a circle|The nurse measured the circumference of the newborn babies’ head.|
Circumlocution|the use of too many words to say something, especially in order to avoid saying something clearly|The con man tried to use circumlocution to avoid explaining his real intentions to the wealthy couple.|
Circumnavigate|to travel entirely around something|In order to get into the police station, we must first circumnavigate the crowd of protestors.|
Circumscribe|to limit the range or scope of something to a particular degree|When my husband drinks too much, I hide his car keys to circumscribe his capacity to drive.|
Circumspect|to think carefully before doing or saying anything, in order to avoid risks or consequences; cautious|In this day and age, you need to be circumspect about giving out too much personal information on the internet.|
Circumstance|a particular incident that influences another event|Under no circumstance will I allow my daughter to go to a party that is not supervised by an adult.|
Circumstantial|something that seems to be true but is not proven|The evidence against the suspect was purely circumstantial and was not enough to convict.|
Circumvent|to get around something|If we do not find a way to circumvent this problem, we will not be able to finish the project.|
Cistern|a reservoir or tank for holding water, especially for catching and holding rainwater for later use|Due to living in the rural areas of Montana, the farmer kept a cistern filled with water.|
Citadel|a stronghold or fortress that was normally built on elevated ground|Guards hid the royal family in a secret room in the citadel during the invasion.|
Citation|specific information to identify and locate a specific publication|A citation that was listed in the book I was reading lead me to additional articles.|
Cite|to use the words of another|When the politician accepts his party’s presidential nomination, he will more than likely cite a former president in his speech.|
Citizen|a legally recognized resident of a city, state, or town|The path to becoming a citizen is a long one for illegal residents or those who have previously committed crimes.|
Citizenship|the right to be a citizen of a particular country|If you were born in the United States, you have already gained your citizenship.|
Civic|related to a city or citizen|Nonviolent civic protests were taking place to protect the rights of the U.S. citizens.|
Civil|polite and cultured|We insisted that both parties begin to interact in a decent and civil way, despite all their years of fighting.|
Civilian|person who is not an active member of the armed forces; non-military person|The undercover agent dresses in civilian clothes.|
Civility|politeness|Her civility was apparent when she greeted her new guests with appropriate introductions and shaking of hands.|
Civilization| a society that is developed and productive in its resource usage|The student was thrilled when her professor invited her to join the team that was digging to unearth an early civilization.|
Civilized|well-mannered and polite|Kate was warned by her principal that she better start acting in a civilized way if she hoped to graduate with the rest of her class.|
Clabber|curdle|Leaving the toddler’s cup in the sun caused the milk inside to clabber.|
Clad|concealed by something|For safety reasons, the president’s vehicle is clad in bulletproof armor.|
Claim|to make a questionable statement about something|Scientists claim that a giant asteroid hit the Earth and destroyed the dinosaurs, triggering the Ice Age.|
Claimant|someone who makes a claim, especially in a lawsuit before a court|The claimant was rewarded money for the damages to her property.|
Clairvoyant|able to see beyond the range of ordinary observation|The psychic’s clairvoyant abilities allowed her to see into the future.|
Clamber|to crawl or climb in an awkward manner|Fortunately, the baby fell back onto the soft carpet after trying to clamber up the steps.|
Clambering|ascending in an awkward manner|The children laughed when they saw the old man clambering over the tall fence.|
Clammy|unpleasantly damp and sticky or slimy to touch|The feverish girl's skin was clammy and slick with a light layer of sweat.|
Clamor|to ask for loudly|As soon as the people learn about the little boy’s murder, they are going to clamor for justice.|
Clan|a tribe or family|Each clan in the village had a different symbol on the totem pole to represent their family.|
Clan|a group of close-knit people or families|The Mayfield clan gathers every summer for a roundhouse family reunion.|
Clandestine|done in an unobtrusive manner to avoid detection|We waited until after our parents went to sleep to have our clandestine meeting about their surprise party.|
Clang|a loud, usually echoing sound of metallic impact|There was a loud clang as I dropped the pot I was cooking with on the tile kitchen floor.|
Clangor|a continuous noisy banging |The angry wife wanted her sleeping husband to hear the clangor of pots and pans in the kitchen.|
Claptrap|ridiculous talk that doesn’t make any sense|The old gossipers didn’t tell the truth but simply sat on their porches sharing claptrap with one another.|
Clarification|a detailed explanation given to make something more understandable|For clarification, would you please show me how to use the glucose meter again?|
Clarify|to make clear and easier to understand|Because our instructor was so unclear, I had to continually ask him to clarify and repeat what he was saying.|
Clarion|forceful and clear-cut|Because the captain’s clarion instructions were loud and clear, you had to hear them.|
Clarity|the quality of being clear and easily understood|I edited my work for clarity, making sure to avoid any kind of legalese.|
Clash|to collide together noisily or violently|The baby continued to clash the pots and pans together, making a huge racket.|
Clasp|take hold of; grab tightly|I would clasp the check firmly in one hand because dropping it would mean possibly losing ten thousand dollars.|
Class|impressive style, wealth, or behavior|That woman with the fancy dress and the elegant poise clearly has class, though I wonder if she acts that way just to impress people.|
Classic|a work of art that has been recognized to be of high quality and worth over time|Almost each and every one of Shakespeare’s plays has become a classic by now, being hailed as masterfully written pieces of literature by most everyone.|
Classification|a group of things or people that are grouped together because of what they have in common|Because our school is grouped in a larger classification, our football team doesn’t play smaller neighboring schools.|
Classification|the process of classifying or labeling things based on shared traits|Scientists use classification to divide the animal kingdom and make them easier to study and understand based on their similarities.|
Classify|to group things or people together in categories based on things they have in common|The teacher had her students classify all the shapes with less than four sides in one basket and the shapes with more than four or more sides in another.|
Classify|to arrange things into groups depending on their shared qualities|I tend to classify motor vehicles based on their shape and aesthetic design, by separating them into cars, trucks, and SUVs.|
Classy|elegant and refined in look in style|Dressed in a classy ensemble, the stylish model made her way down the runway.|
Clause|a separate part of a contract or other binding document that gives more information|The plaintiff asked the judge to look at the last clause of her lease which she believed proved that she had given her landlady enough time to find a new tenant.|
Claustrophobia|the fear of closed, tight places|My claustrophobia is out of control when I am in an elevator.|
Claw|a curved pointed horny nail on each digit of the foot in birds, lizards, and some mammals|At the Renaissance festival, falconers wear steel-enforced, mesh gloves to protect them from the bird's razor-sharp claw.|
Clay|sediment that is made up of particles smaller than silt|In art class, we had to make a sculpture out of clay and then heat it in the kiln so it would harden into a solid piece.|
Cleanliness|the attribute of being clean or immaculate|If you wish to impress someone on a date, you should practice cleanliness so you are not dirty when you see them.|
Cleanse|to clean or wash something, usually of impurities|A lack of laundry detergent made it hard to cleanse the clothing inside the washing machine.|
Clearance|official permission to do something|Before passengers were allowed on the plane, clearance had to be given by TSA officials.|
Cleats|shoes with have metal projections on the bottom that are worn during sporting events|The football player laced up his cleats and marched on to the field with his teammates.|
Cleavage|a separation between two groups or things|The chef cut into the cleavage between the breasts to make two pieces of chicken.|
Cleave|to split with a tool|You can use the axe to cleave the tree.|
Cleft|an opening fissure, or V-shaped indentation made by or as if by splitting |Neil and Mary’s baby girl had a cleft lip repair at age six months.|
Clemency|a decision not to punish someone severely|The killer’s wife begged the judge to give her husband clemency so he would be out of prison before she died.|
Clement|mild or merciful|The kind warden insists all his prisoners receive clement treatment.|
Clergy|individuals who lead religious groups |Because the clergy wants to increase church attendance, they are going door to door introducing themselves to community members.|
Clerical|of or relating to clerks or their work; office tasks |The Department of Driver Services says clerical and administrative errors led to the mistake that landed a man in jail.|
Cliche|a word or phrase used excessively|When will Ginger come up with a new phrase and stop using that cliché in all her social media posts?|
Client|a person who pays someone else for their services|The attorney required the client to pay a 500 dollar fee before he would begin working on her case.|
Clientele|the individuals who frequent a certain business|The strip club’s clientele includes a number of politicians and wealthy business owners.|
Climate|the temperature and weather associated with an environment or area|Skiing resorts typically are located in a colder climate so that snow will fall naturally during the season.|
Climatic|associated with climate |The climatic change could cause us to cancel our cookout.|
Climax|the most extreme part of a story, play, song, or situation|In the film the climax occurs when the heiress gives up her fortune and walks out of the family mansion.|
Climb|to move upward towards the top of something|I get out of breath when I climb the stairs, even if it’s just a few steps.|
Clinch|to make certain; to finalize|The Senate must work quickly and together in order to clinch the budget deal to avoid a government shutdown.|
Cling|hold tightly|Eric does not like to swim while wearing an undershirt because wet clothes cling to his body.|
Clingy|used to describe something that sticks onto someone or something tightly|The clingy shirt stuck to the girl’s skin after she got out of the swimming pool.|
Clingy|something or someone that is likely to stick, catch, or otherwise be stuck to something|My dog is extremely clingy, refusing to leave my side no matter where I go, including the bathroom.|
Clinical|related to the observation and treatment of a patient|Clinical studies showed that many patients improve after taking the medication.|
Clique|an exclusive group with few members|The cool kids’ clique always sits in the last row of the auditorium.|
Cloak|sleeveless, blanket-like covering|Placing the cloak over her shoulders, she braced herself for the cold weather and stepped out of the shadows.|
Clod|lump of something, especially of earth or clay|After a long slow rainstorm, the soccer field created problems when the ball would make an awkward bounce after hitting a clod of dirt.|
Clog|to block or slow passage through|Pouring oil down the sink drain caused it to clog and fill with water.|
Cloister|to isolate from others|Although the girl was quite shy, she tried hard to not cloister herself in the corner at parties.|
Clone|an organism or cell, or group of organisms or cells, produced asexually from one ancestor or stock, to which they are genetically identical|The stranger resembled her so closely that she thought she was her clone.|
Close-minded|having a narrow outlook that makes it difficult to consider other views or opinions|The senior was so close-minded and judgemental; he wouldn’t even listen to his nephew’s unbiased views.|
Close|uncomfortably humid and lacking in breezes or wind|It’s been unusually close weather today, with only a single breeze to counter the humidity and the sweat that’s been plaguing everyone.|
Closeness|to be in immediate distance or time to something else |Living in the same community, the closeness of the family could be seen when they attended every function together.|
Closure|a sense of resolution at the end of an incident or artistic work|Many people that end up divorcing want closure after the fact to help them feel as though it is well and truly behind them.|
Cloture|the act of ending a debate or discussion with a request for a vote|Although the senator knew he could lose the vote, he demanded cloture of the debate so the votes could be cast.|
Cloud|a fluffy, usually white colored mass of water vapor that floats high in the sky|Rain fell crispy from the cloud, covering the crops in a cool mist.|
Clout|special advantage or influence to control situations|The wedding planner used her clout to get the bride and groom a discount on their wedding location.|
Clown|someone who acts silly to entertain or make others laugh|The class clown always tries to make other kids laugh during class.|
Clown|a comedic circus entertainer that usually dresses up in a silly costume with a red nose and big shoes|The circus clown made the children laugh as he juggled bottles while singing a silly song.|
Clue|information that may lead one to a certain point or conclusion |The detective looked around the house, searching for a clue to the whereabouts of a missing person.|
Clump|a small, dense group of people or animals|There is a clump of people standing outside of the new store, each of theme eager to partake in its opening sale before the competition can take the best goods.|
Clumsy|awkward in movement or handling, prone to accidents or mistakes|My dog is rather clumsy, bumping into things whenever she runs around and sliding on hard floors all the time.|
Clung|gripped or stuck to something|As the little girl didn’t want to be left at the preschool, she clung to her mother’s leg by wrapping both of her arms and legs around her mother’s calf.|
Cluster|a group of similar things that are physically close to one another|There is a small cluster of people standing at the edge of the hallway, blocking my path to my next class.|
Clutch|to tightly hold or grasp|Clutch my hand tightly if you don’t want to fall off the roof!|
Clutter|a messy collection of things lying around|Clutter filled the elderly couple’s home as they refused to get rid of anything they had every bought.|
Coach|a person who trains others when it comes to a particular activity or skill|Because our coach resigned, a new basketball trainer will need to be hired to guide the athletes.|
Coagulate|to thicken or develop as a mass|The killer did not realize the blood would coagulate on the floor and form a huge blob.|
Coalesce|to join into a single mass|Olivia stared into the distance and concentrated, hoping that all her random thoughts would somehow coalesce into one brilliant idea.|
Coalition|a group formed to gain an advantage|A coalition of downtown business owners has created a marketing plan to bring more shoppers into the downtown area.|
Coastal|near where a body of water meets land the coast|The coastal plain running along the sea’s edge make for the perfect Pacific Ocean look-out.|
Coax|persuade gradually|Because the boy I babysat for needed me to coax him to brush his teeth, I made up a song to help encourage him.|
Cobble|to mend, repair, or put something together|The student council was asked to cobble together a plan for graduation day celebrations.|
Cocky|conceited and smug|After his team won the last 10 football games, the cocky quarterback told everyone at school that he won the game by himself.|
Cocky|arrogant and conceited|The cocky boxer wasn’t as arrogant after he was knocked out in the first round.|
Cocoon|the silky protective case spun by the larvae of some insects and moths that serves as a covering for their pupal stage|They are like a pupa waiting in its cocoon for rebirth, ultimately becoming a butterfly.|
Coda|the final or extra part of a piece of music, speech, statement, or some other writing|The final section of the song was sealed with a coda that sounded like an entirely different melody.|
Coddle|to treat gently or with great care|The babysitter realized that she couldn’t coddle the children because they started to ignore her commands.|
Code|a systematic collection of rules and laws|The code of chivalry was a set of rules and guidelines that dictated how knights were supposed to live their lives.|
Codependent|attached to another person and reliant on them, usually emotionally or in an unhealthy way|Because he is so codependent on his caregivers, the sick man looks to them to meet all of his needs.|
Codicil|an addition to the will that changes or clarifies the original document|Before my father died, he wrote a codicil to his will that prohibited his cheating wife from receiving any of his fortune.|
Coefficient|a digit by which something else is multiplied |During class, I learned a coefficient is always attached to a variable.|
Coerce|to make someone do something by using force or threats|The bully tried to coerce the small kids into giving him their lunch money.|
Coetaneous|a comparative term that means having the same age or date of origin as something else|Because the coetaneous stars have the same brightness, they were probably created around the same time.|
Coeval|similar in age or length of time|Once Jenny and I realized our parties were coeval, I decided to host my event on another day.|
Coffer|a strong chest or box that is used to store money or valuables|After placing all his loot into the coffer, the pirate locked the chest.|
Cog|a wheel or bar with protrusions that transfer motion by interacting with another object with similar protrusions|The inside of old analog clocks is full of small cogs and gears that work with each other to turn the hands of the clock on the outside.|
Cogency|the state of being clear and coherent in a way that is likely to persuade others|The attorney argues with a cogency that could convince any jury of his client’s innocence.|
Cogent|very clear and easy for the mind to accept and believe|Because the child was so young, I worked hard to give her cogent answers to her questions.|
Cogitate| to think hard about; to consider|Even though he had received many invitations to celebrate his ninetieth birthday, the old spy preferred to stay home with a good cigar and quietly cogitate upon his life of adventure.|
Cognate|associated by origin or birth|The two fields are cognate because they both stem from the subject of biology.|
Cognition|the mental courses by which one obtains knowledge through experiences and thoughts|In the car accident, Steve acquired a head injury that affected his cognition and prevented him from learning new things.|
Cognizance|to have awareness or knowledge of something|My son has no cognizance that his reckless actions are dangerous.|
Cognizant|knowledgeable of something, especially through personal experience|Because I have been on a tight budget for two years, I am very cognizant of the importance of using coupons to get the best deals.|
Cohere|to stick together; be united|Lasagna layers need time out of the oven to cohere and become one solid mass.|
Coherent|logical and clear|If you can’t explain this concept in a more coherent way, I will never be able to understand it.|
Cohesion|the act of coming together to form a united whole|Cohesion of the two sides into one happy family was a lot harder than the new couple had hoped.|
Cohesive|closely united; well integrated|After six weeks of training together, our group bonded and became quite cohesive.|
Cohort|a group of people supporting the same thing or person|The Millennial generation is the largest cohort in US history.|
Coiffure|the way in which a person’s hair is fixed; a hairstyle|When Jimmy wears a coiffure of that style, he looks like a mobster in his silk suit.|
Coil|to wind in circles or rings|We watched the snake coil itself around its prey so that it could constrict it to death.|
Coinage|coins that are used in a country|Before the invention of coinage, some cultures traded beads as a form of money.|
Coinage|coins (in a collective sense) |The country’s coinage has a picture of its first president on the face of the currency.|
Coincide|to be similar or happen during the same time period|The grand opening of the gift shop will coincide with the winter festival so residents can begin their holiday shopping.|
Coincidence|a condition in which at least two things happen concurrently without planning|It’s not a coincidence my husband’s flirtatious ex-wife went to visit him while I was out of town.|
Coincident|at the same time or in harmony with something|It was coincident when Harmony and Hazel broke their violin string at the exact same time.|
Coincidental|resulting from chance or unplanned circumstances|Having not even known that my friend was back in town, our meeting at the local grocery store was completely coincidental.|
Coincidentally|happening by or resulting from coincidence; by chance|Ashley first met David coincidentally, and she used the opportunity to ask him out on a date.|
Coined|invented or created a new phrase|Before someone coined the word “bae” to mean one’s girlfriend/boyfriend, it was only a Danish word for poop.|
Coitus|sex or fornication|It is illegal to engage in coitus in the United States and most of the first world without the consent of your partner.|
Cold|a state of being in which one feels adversely affected by temperatures below a certain level of comfort|Needless to say I felt rather cold when I stepped outside into the snow to grab the newspaper without anything other than my pajamas on.|
Collaborate|to labor with individuals or a single person to complete a task|The software engineers will collaborate on the project to make sure it is available to the customer on the agreed upon date.|
Collaboratively|in a way that involves two or more people working together towards a common goal|Working collaboratively, the two musicians were able to come up with a song that fits both of their styles.|
Collage|an artistic creation made by sticking many different things together|Creating a collage out of all her childhood pictures, Jaleesa used her artistic ability helped her make the perfect mother’s gift.|
Collapse|to fall down suddenly due to pressure|The reasons for the sudden collapse of the Mayan civilization is still unknown.|
Collate|to put information in a specific order|The software program allows people to collate their photographs by dates.|
Collateral|something taken as a guarantee for a debt|Since my sister has a habit of keeping my clothes, I now ask for collateral when she wants to borrow something.|
Collection|an assembly of items that are perceived as having cultural value, acquired as a set by a collector|My dad has a collection of old books he considers to be classics, many of which are series that I’ve never even heard of.|
Collectively|as a unit or group|If we work collectively as a group, we can have the project complete before the deadline.|
Collegiate|associated with college life|The collegiate party was filled with students from the local university.|
Collide|to crash or smack into one another|The snowy conditions caused the car to collide into the back of the semi-truck.|
Collision|a crash in which objects collide into each other|After the collision, a tow truck was called to pick up the damaged vehicles.|
Colloquial|casual and conversational language|Because a job interview is such a serious event, one should not speak to the interviewer in a colloquial tone.|
Colloquy| a serious chat or conversation|From my bedroom, I could hear portions of my parents’ colloquy about my poor grades.|
Collude|to conspire for a secret purpose|Breaking antitrust laws, company executives began to collude with one another to make sure their illegal doings were under wraps.|
Collusion|a private agreement for a dishonest purpose|Under the collusion between the crooked cops and the drug dealers, the officers receive fifteen percent of the drug profits.|
Collywobbles|a feeling of fear or nervousness|Feeling collywobbles in her tummy, the nervous singer shook as she took the stage.|
Colon|the longest part of the large intestine that connects to the rectum|The patient learned that colon cancer had taken over her large intestine and that the organ wasn’t working properly.|
Colonel|a high Army rank above Lieutenant Colonel but below Brigadier General|The Colonel is a high enough rank to be in charge of a major military offensive, but he still answers to the generals above him.|
Colonialism|the instance of one country dominating another territory and its citizens|England’s colonialism of the new world was brought to an end by the American revolution.|
Colonist|a founder of a colony; a person who settles in a new colony|A simple colonist alerted the citizens with the oncoming British soldiers, and he became known as Paul Revere.|
Colonization|the process of establishing a colony|British colonization of America first began in Jamestown, Virginia, eventually extending throughout the Americas.|
Colonnade|architectural pillars in front of a building|Many ancient cities’ buildings have a colonnade stretching across the front for tourists to enter through.|
Colony|an area where individuals who have something in common live as a group|Since Elaine is very modest, we know she will not join us at the nudist colony.|
Color|to dye something a particular hue or shade|Meredith wants to color her hair red but doesn’t know if it will look natural if she changes its tone.|
Colossus|a thing or person that is very large or gigantic|It seemed like overnight, the mom-and-pop shop had grown into a colossus that rakes in millions every year.|
