Exhibitionist|an individual who uses his or her behavior to catch peoples’ attention|The female rapper is an exhibitionist who attracts attention by wearing revealing clothing.|
Flagging|becoming weaker, slower, or less effective|The man’s flagging business is now on the verge of closing its doors forever.|
Flagitious|to act in an evil way|Every student would avoid walking near the flagitious bully due to his abusive words and violent actions.|
Flagrant|noticeably bad|After the basketball player committed a flagrant foul, he was kicked out of the game.|
Flagship|the ship that carries the commander of a fleet|The commander boarded the flagship and prepared for its maiden voyage.|
Flagship|the best or most important thing produced by a company|The chain’s flagship store sells more hamburgers than any other location.|
Flail|to move uncontrollably in the air|When Pete’s daughter ran out into the middle of the street, he had to flail his arms to get the cars to stop.|
Flailing|to move uncontrollably in the air|Her flailing sign flapped in the heavy wind since it was only secured to the post with two staples.|
Flair|the natural capability to do something very well|Anna demonstrated her flair for drama by passing out when her daughter announced she was not going to college.|
Flak|adverse criticism|The unhappy customer gave George flak for the long wait time.|
Flamboyant|displaying flashy or loud behavior|The flamboyant singer loves to wear shimmering suits while performing.|
Flame|something that is compared to fire’s ability to burn fiercely or be extinguished|The flame of hope burns brightly in the hearts of the rebels even though their plight is dire and they face death every day.|
Flare|a sudden pop of fire|The flare from the lighter scared the small child as the flame illuminated her face.|
Flash|a sudden brief burst of bright light or a sudden glint from a reflective surface|The first flash of the fireworks caught her by surprise.|
Flashback|part of a story or life that reveals something that happened previously|We learned about the main character’s childhood through a long flashback.|
Flashy|showy and wanting to show off one’s wealth/skills in an obnoxious way|The rap mogul was flashy with his money and showed off his wealth through blinged-out jewelry and expensive cars.|
Flat|low and smooth with no curved parts|People once thought the world was flat, but now realize that it is round in shape.|
Flatline|to stop being popular or successful|After the actor was accused of several crimes, his success began to flatline, and he lost his fortune.|
Flatten|to make something completely flat or level|Joel requested the chef flatten his burger since he prefers thin meat over thick chunks of beef.|
Flattery|giving excessive and often fake compliments to receive a favor|The failing student tried to use flattery to persuade his teacher to up his grade, but no number of compliments were enough to convince her.|
Flatulence|state of having gas in the digestive system |I have a major problem with flatulence that is rather embarrassing especially when I’m in public.|
Flaunt|to show off (brag)|Eric loves to flaunt his flashy clothes because he thinks that he is super cool.|
Flaw|a fault or imperfection in a person or object|The diamond had no flaw and was perfect in every way.|
Fleck|a small patch of color or light|In the darkness of the night sky, each star is a fleck of light that makes the entire thing brighter and more than a sheet of black.|
Fledgling|an individual or group that is inexperienced or not fully matured|The fledgling writer could use the benefit of a good editor.|
Flee|to run away|Deciding to flee her war-stricken country, the refugee made a plan to leave quickly.|
Fleece|a soft, warm fabric with a texture similar to sheep's wool that is used as a lining material|The fuzzy fleece jacket kept the camper warm on the cold winter night.|
Fleet|a group of vehicles that are under the same command or with the same purpose and headed to the same place|The police fleet raced down the highway after a stolen vehicle.|
Fleeting|occurring for only a brief time|Now that my daughter’s fleeting interest in ballet has passed, I no longer have to be her chauffeur.|
Flexibility|the ability to bend or twist the body without injury|The ballerina’s flexibility allowed her to do lots of bends and turns.|
Flexible|easy to bend or change|If your vacation dates are flexible, you can get a much better deal than if you are rigid.|
Flexion|bending a limb|Ankle flexion before running can help strengthen the muscles and make the sprint for more manageable.|
Flexuous|having bends or curves|Driving down the flexuous road, the driver was made nervous by all of the sharp curves and abrupt bends.|
Flibbertigibbet|a flighty individual who talks a great deal about nothing|It was my misfortune to be stuck next to a chatty flibbertigibbet during the bus ride home.|
Flibbertigibbet|a person seen as a silly chatterbox that talks too much|Nicknamed Chatty Cathy, Catherine was a flibbertigibbet who blabbed to anyone she met.|
Flick|to move or hit something with a quick movement|As soon as he began to flick the spicy food with his tongue, the chef realized he had added entirely too much jalapeno.|
Flicker|a tiny, almost imperceptible movement|There was a flicker of light from the candle on the windowsill due to the small gust of wind that moved through the house.|
Flier|one that travels in the air|Each flier on the plane was required to listen to a speech on safety procedures.|
Flight|a group of people or creatures that fly through the air together|A charter flight carrying the opposing soccer team arrived at the airport earlier today.|
Flimsy|likely to bend or break under pressure; weak, shaky, flexible, or fragile|Don’t give me the flimsy excuse that you were too deep asleep to hear the phone ringing.|
Flinch|to cringe or jump slightly unintentionally|The young boy would flinch when the bee buzzed right next to his ear causing his head to turn suddenly away from the bee.|
Fling|to toss or throw something quickly|His attempt to fling the fishing line across the pond ended with a hook in the bushes.|
Flint|a solid rigid rock that is usually used in order to make a flame|A leader from the Boy Scouts Troop 997 quickly showed the boys how to use flint in starting a fire in the wilderness.|
Flinty|resembling the hardness of flint|The man continued to grind his feet against the flinty ground in an attempt to get the mud off of his shoes.|
Flip|to turnover or cause something to turnover suddenly|Waiting on her stylist, the woman began to flip through a book in search of the perfect cut.|
Flippancy|a manner that lacks respect or seriousness|The unserious worker’s flippancy caused him to be fired from his job.|
Flippant|lacking proper respect or seriousness|The student’s flippant actions towards the teacher got him suspended from school.|
Float|to stay atop of water in a resting or moving way|Once the sink was filled with water, the soap would float across from one side to the other.|
Floccinaucinihilipilification|approximating something as of having no value or rubbish|Since there was very little education derived from comics, teachers rarely used them as reading material due to this floccinaucinihilipilification.|
Flocculent|fluffy, wool-like appearance|The Pomeranian was so flocculent that is resembled a fluffy cotton ball.|
Flock|a group of one type of birds|The flock of seagulls flew over the ocean looking for any fish it could grab for food.|
Flog|to beat with a stick or whip|The king continued to flog the proud whipping boy, but even the mighty strikes of the whip could not bring him to tears.|
Flood|a larger amount of water than can fit into the container which causes it to spill over the sides|Once the large dam broke, the flood of water quickly gushed over the sides onto the land.|
Flop|to drop down in a hefty and wobbly way|After a long day at work, the girls flop down on the sofa and won’t move for an hour.|
Floppy|limp or loose|The rabbit’s floppy ears bounced around as it hopped through the tall grass.|
Flora|all of the plants located in a particular habitat|Flora in the eastern region includes over 7000 types of plants.|
Florid|to have a red or rosy complexion|The police officer was florid after being held up by a six-year old boy with a water pistol.|
Flotilla|a group of ships or boats|With the flotilla stocked with supplies, the ships set sail and headed towards the New World.|
Flotsam|objects or individuals that are considered to be of no worth|According to the old saying, one man’s flotsam is another man’s treasure.|
Flounce|to storm or stomp around in an agitated way|Feeling misunderstood, the girl decided to flounce off in a huff.|
Flounder|to act clumsily or confused|The new swimmer had to flounder in the deep end until the lifeguard dragged him to safety.|
Flourish|to develop well |The fertile ground and ample water supply will allow the crops to flourish.|
Flout|to intentionally disobey (a law, rule, convention)|People find themselves in trouble because they think they’re clever enough to flout the law without getting caught.|
Flower|the part of a plant that develops into a seed or fruit|Snails like to munch on plant parts such as orchid flower spikes and buds.|
Flown|travelled by air; a verb tense of fly|During the riots, we were flown out of the city by helicopter.|
Flu|shortened form of influenza-a highly contagious upper respiratory virus|Although there are vaccines to defend against the virus, flu strains vary and can’t fully be protected against.|
Flubdub|empty talk that is considered nonsense|The students got in trouble for their flubdub, especially since their talk wasn’t about school work.|
Fluctuate|to shift back and forth uncertainly|Each day, the price of gold will fluctuate on the market.|
Flue|part of the chimney that allows the smoke to exit|When the house smelled of stale smoke, the homeowner realized that the flue in the chimney needed cleaning.|
Fluent|able to express oneself easily|The taxi driver was fluent in several languages, allowing him to help the city’s immigrants move around.|
Fluffy|to be furry or soft|Karen’s fluffy cat would brush up against me with her soft fur, but it would leave cat hair on my pant’s leg.|
Fluid|to simply pour forth or stream|All of the bottles of juice are measured in fluid ounces since the volume is liquid.|
Fluidity|the ability for a substance to flow easily|There is fluidity between the two offices since both managers frequently move in and out of both spaces.|
Fluke|a coincidence or accident that something happened|Since I didn’t study or attend class on a regular basis, it was simply a fluke that I passed the exam.|
Flummery|kind words that were said without really meaning them|The teacher never took the teenager’s flummery as sincere since the teen usually said whatever words would get what she wanted.|
Flummox|to baffle or make confusing|The defense attorney’s questions were designed to flummox the prosecuting witness.|
Flummoxed|very confused|Since the therapist had never seen a delusional person before, she was quite flummoxed by Harry’s unusual behavior.|
Flurry|a light falling of snow or leaves|Even the kids knew that the small flurry of snow was not enough to get school called off.|
Flush|smooth, even, aligned; not sticking out|While making a bookcase it was important to keep the boards flush before securing the position using glue and clamps.|
Flustered|distressed and/or confused |The flustered defendant began to yell at the prosecutor.|
Flute|a musical instrument in the woodwind family that is played by holding it sideways and blowing air into a hole|The piercing sound of the toy flute echoed louder than the boy’s other instruments.|
Flutter|to wave wings back and forth quickly|The hummingbirds flutter their wings so quickly that a person can barely see the wings at all.|
Flux|continual change|My hotel reservations are in flux because I can’t decide where I want to stay during my vacation.|
Fly-by-night|unreliable or untrustworthy, particularly in business matters|There are many fly-by-night providers of goods on the internet, so buying products online only from reputable websites is probably a good idea.|
Foci|the centers or central parts of focus/activity|The foci of the paper were the many reasons why people came to the U.S. and the ways they immigrated.|
Focus|to pay attention to or study something closely|If students focus during class, they should easily be able to pass their tests.|
Fodder|a person or thing that is used for a specific reason|The celebrity’s arrest made great fodder for the tabloid journalists.|
Formative|able to affect an individual or thing|The teen years are a formative time in an individual’s life because this is when one’s identity is formed.|
Formerly|previously|Mrs. Jones was formerly known as Ms. Smith, only changing her name after marriage.|
Formidable|something that inspires fear|Growing tomato crops during a severe drought proved to be formidable for one farmer.|
Formulate|to create, produce, or prepare something carefully|It is difficult to formulate an effective plan under pressure.|
Forsake|to give up or abandon|In order to be a nun, you must forsake all things which might interfere with your ability to dedicate your life to Christ.|
Forsooth|the truth or indeed|Forsooth, how can you expect to pass a course when you never attend class?|
Forte|an area in which an individual excels|Although dancing was Ann’s forte, she never considered having a career in entertainment.|
Forthcoming|impending; occurring in the future|The author’s forthcoming novel will be released next month.|
Forthright|direct and honest |If you are not forthright when answering the detective’s questions, you might end up in jail.|
Forthwith|at this moment; now|Forthwith, I need to get my wife a present because her birthday is tomorrow.|
Fortify|to strengthen|Storm shutters a good way to fortify your windows and prevent hurricane damage.|
Fortissimo|a musical direction that means very loud|The piano at fortissimo was so loud that it seemed deafening to our ears.|
Fortitude|strength of mind that enables a person to face challenges with courage|Even though the soldiers knew the odds were not in their favor, they had the fortitude to continue fighting.|
Fortnight|a period of 14 days|They wanted to have a month to prepare, but their time was cut in half, leaving them only a fortnight.|
Fortress|a fort or castle|The tall fortress was surrounded by a swampy moat and drawbridge that led to the fort.|
Fortuitous|happening by accident or chance|Mark proved to be fortuitous by selecting all six winning lotto numbers.|
Fortunate|coming by good luck or favorable chance|Grace was fortunate that she arrived home before the oven caught fire.|
Fortunately|luckily|Fortunately, I swerved out of the lane before a car came barreling down the one way.|
Fortune|wealth or riches|The railroad tycoon was able to build a huge fortune by expanding tracks all across the west.|
Forum|a meeting or other place where people can discuss a problem or situation|As a member of the forum, Tessa got to speak up about the water issues plaguing the city.|
Foster|to encourage or promote something|The man hoped to foster a strong work ethic in his son.|
Froward|used to describe a person who are disobedient and difficult to deal with|The froward child refused to listen to her parents and was disobedient most of the time.|
Frugal|careful in spending money|Stop being so frugal and just buy me a real gold necklace!|
Fruitful|being productive in any sense; yielding benefits|The extra work in the office turned out to be fruitful after all when Tyler was promoted.|
Fruition|the fulfillment of a goal achieved |After many obstacles, our dream of owning a restaurant has finally come to fruition.|
Fruitless|not productive; unsuccessful|After a week of fruitless efforts, the rescuers gave up the search for the missing woman.|
Frustrate|to disappoint or upset|The toddler was unaware how he would frustrate the family cat every time he pulled its tail.|
Frustrated|irritated; upset|Frustrated after sitting on the phone for hours, the angry customer eventually hung up.|
Frustrating|able to cause feelings of upset or annoyance|The frustrating toddler cried and screamed until both of his parents were totally annoyed with him.|
Fuel|to supply or power something|When you realize that food is a fuel used to propel your body, you will begin to choose healthier chow.|
Frigid|emotionally cold; indifferent|My frigid aunt did not crack a smile when she saw my adorable newborn.|
Frilly|trimmed with lots of layers, especially ruffles or lace|Pulling the lace material out of her drawer, the seamstress prepared to make a frilly dress for her daughter’s first dance.|
Fringe|a decorative edge made of loose threads, tassels, or twists (as seen on curtains, rugs, piece of clothing, etc)|The fringe of her jeans got caught in the escalator.|
Frippery|something that is showy or gaudy to the point of appearing silly or unnecessary|Skipping out on the frippery, the engaged couple decided to spend their money on a new home instead of a showy wedding.|
Frisk|to pass your hands over someone’s body in search of drugs or other weapons|Stop and frisk policies allow police to approach pedestrians and search them without cause.|
Frisky|full of playful and lively energy|Our frisky little terrier is always running after something in the yard.|
Frisson|an intense emotion that comes on suddenly|I felt a frisson of excitement when I realized my husband was throwing me a surprise party.|
Fritter|unwisely waste of time and spend frivolously; procrastinate|While shopping at the mall, I tend to fritter my money on items I don’t really need.|
Frivolity|that which is not necessary or meaningful|The spoiled heiress is known for her frivolity and once purchased fifty identical dresses so no one could copy her look.|
Frivolous|of no real worth|My mother often spends her monthly pension on frivolous purchases she never uses.|
Frock|a female dress or gown|At my cousin’s wedding, the young flower girl wore a beautiful fluffy mint green frock.|
Frolic|to move about playfully and energetically|It’s fun to watch the playful goats frolic around the meadow in the afternoon.|
Frolicsome|playful and fun loving|The playful professor set a frolicsome tone for the entire class period.|
Frond|along, thin leaf belonging to a fern or palm tree|A wispy frond of dill was plucked from the plant and mixed into the dish.|
Frontier|an area that has not been fully explored|The science fiction program begins with a description of space as the final frontier.|
Frontman|a person acting as the public face of an organization; often when lacking actual authority, or representing a covert group|In addition to being the frontman for the organization internationally, he;s also being in charge of the entire business.|
Frost|the thin, white layer of ice that forms in the air when the temperature is below freezing|During the early morning hours, a light layer of frost covered the cool windows.|
Frostbite|injury caused by parts of the body being exposed to severe cold, usually toes, fingers, ears, or nose|Lost in the freezing woods, the shivering hiker was afraid that frostbite would start to overtake his body.|
Frosty|a cold and unfriendly attitude|Old man George is always frosty, treating everyone around him with disdain and a general crotchety attitude.|
Froth|worthless or pointless ideas or discussion|This conversation was filled with so much froth that even an hour later we discussed nothing important whatsoever.|
Froward|used to describe a person who are disobedient and difficult to deal with|The froward child refused to listen to her parents and was disobedient most of the time.|
Frugal|careful in spending money|Stop being so frugal and just buy me a real gold necklace!|
Fruitful|being productive in any sense; yielding benefits|The extra work in the office turned out to be fruitful after all when Tyler was promoted.|
Fruition|the fulfillment of a goal achieved |After many obstacles, our dream of owning a restaurant has finally come to fruition.|
Fruitless|not productive; unsuccessful|After a week of fruitless efforts, the rescuers gave up the search for the missing woman.|
Frustrate|to disappoint or upset|The toddler was unaware how he would frustrate the family cat every time he pulled its tail.|
Frustrated|irritated; upset|Frustrated after sitting on the phone for hours, the angry customer eventually hung up.|
Frustrating|able to cause feelings of upset or annoyance|The frustrating toddler cried and screamed until both of his parents were totally annoyed with him.|
Fuel|to supply or power something|When you realize that food is a fuel used to propel your body, you will begin to choose healthier chow.|
Fugacious|short-lived, fading quickly, tending to disappear|The preacher held forth about the fugacious nature of life, and how it ends so quickly.|
Fugitive|an individual who is fleeing incarceration or a threatening situation|The fugitive is being chased by a multi-state task force.|
Fugue|piece of music|Composing the fugue was easy for the singer once he had the melody down.|
Fulcrum|the thing or individual upon which everything depends|The factory is the fulcrum of our town because most of our citizens work there.|
Fulfill|to carry out|The salesman was dismissed because he did not fulfill the required quota.|
Fulfilment|satisfaction or happiness derived from the achievement of something important to oneself|Many people experience a sense of fulfillment when they finally achieve their life’s dream, or even when they take a step towards it.|
Fuliginous|sooty; smoky|Smog has caused many of the high-rises in the city to be fuliginous.|
Full-fledged|fully developed|My high school was putting on a full-fledged musical theater production.|
Full-scale|as complete or all-inclusive as possible|It will be hard to get a full-scale experience of the theme park if you’re only there for one day.|
Full|containing as much as something is capable of holding having no leftover space|The four year old wanted to get a refill for his drink, but since the cup was full there was no need to.|
Fulminate|to complain angrily or loudly|The disgruntled customer continued to fulminate over a price difference.|
Fulsome|extreme flattering to the point of excess|The stranger’s fulsome attention put me on edge.|
Fumble|to mishandle or let something slip accidentally from the hands|When the rookie football player entered the field, it would only be a matter of time before he would fumble the ball which was picked up by the opposing team.|
Fume|the build up of anger that generally results in a negative reaction|Molly started to fume and felt the urge to punch something when she found out her boyfriend was cheating on her.|
Fumigate|to cleanse or sterilize an area using a gas or vapor substance|An infestation of roaches caused a hired exterminator to demand everyone to leave the house since he would fumigate it with a hazy material.|
Fun|enjoying or entertaining|Going to the exciting party was the most fun I’ve had in ages.|
Functional|useful; practical |The expensive dress was out of the accountant’s budget, but she convinced herself it was functional and could be worn to other events.|
Functionary|a public servant who does specific tasks for his or her job|Training is mandatory for any functionary to complete the duties of his or her job.|
Fund|to supply money to someone or something for a certain reason|I needed to fund my checking account with enough money to cover the three checks I wrote today.|
Fundamental|basic or essential part|Dribbling is a fundamental part of basketball.|
Fundamentalism|a strict organization that follows their spiritual beliefs|Their fundamentalism required that the followers attend church daily or face severe consequences.|
Funeral|a ceremony held by family members to honor and bid farewell to the deceased|We have to hold a funeral for my Uncle, who died a few days ago, but I don’t have any black clothes to wear to it.|
Funereal|to feel sorrowful or mournful|After the death of a loved one, the funereal feelings during the funeral could be seen by the tears in everyone’s eyes.|
Fungi|a type of organism that is mostly known for including mushrooms|Analyzing the fungi in science class allowed the students to determine that the plants all produced spores and fed on natural material.|
Fungible|capable of being switched for something of equal value|On the diet plan, the two vegetables are fungible so you can eat either one without changing your calorie count.|
Funny|humorous; amusing|Live comedy shows are funny, but I prefer laughing at sitcoms from my couch.|
Fur|the outer coat of fuzz on an animal|My dog’s fur needed brushing because it was so matted down from him rolling in the mud.|
Furious|extremely angry|The prospective cadet was furious with himself for oversleeping and disqualifying himself from the academy.|
Furlough|a vacation or period of absence from work|To save money, the county will give teachers a two-day furlough this year.|
Furnace|a piece of equipment used to heat an area in a house or building|A broken furnace proved to be an annoyance for the family when there was no heat in the house until it was fixed.|
Furnish|to provide something to someone|The advertisement stated that the owners would furnish the apartment with tables, chairs, beds and a couch.|
Furniture|useable furnishings in a house or building|I enjoy refurbishing furniture by buying worn tables, chairs and desks and cleaning them up to become beautiful pieces.|
Furor|a situation that angers and upsets many people|Amid accusations of fraud, there was a public furor when the politician was arrested.|
Furore|great emotion (either positive or negative) shown by a crowd of people|Furore from the protestors outside could be heard from the president and the remaining workers inside the company.|
Furrow|a thin wrinkle or line on an individual’s face |If you observe my father while he’s in a thoughtful mood, you’ll see a furrow above his eyes.|
Furrowed|crumpled or to make wrinkles|The angry toddler furrowed his face which made it obvious to see that he was very upset at his mother.|
Furry|the state of having fur or the softness of fur|A bear cub is an extremely furry creature, likely soft to the touch, but you should avoid doing that if you don’t want to get mauled by its mother.|
Furtherance|a continuance usually by assisting something|The furtherance in the study of the document showed that it was a fake which was not noticed before by the researchers.|
Furthermore|additionally; besides|Texting while driving is dangerous, and furthermore, it is also illegal.|
Furtive|marked by quiet, caution, and secrecy|Crissy walked outside in a furtive manner so that her parents would not see her.|
Fury|intense anger or rage|With all of its fury, the volcano erupted over the mountainside and covered all life with its ferocity.|
Fuse|to combine into one thing|In the cooking contest, I will fuse Mexican and French recipes to make a dish I will refer to as Frexican.|
Fuselage|an aircraft’s center body section|The engines were positioned up under the aircraft’s fuselage as they need to be centered.|
Fusillade|a huge quantity of firings that occur rapidly|During the police interrogation, I felt as though the detectives attacked me with a fusillade of questions.|
Fusion|a joining or blending of two things into a single item|The actor worked so hard to become the character that it seemed the fusion of their personalities might be permanent.|
Fuss|to show excessive concern about something|My worrisome mother loves to fuss over my hair every time I wake up with wild locks.|
Fussy|hard to please|Refusing to be soothed, the fussy baby whined and cried all night long.|
Fustian|heavy cloth woven from cotton|Settlers used fustian to weave their clothes since it was a tough fabric that held up well.|
Fustigate|to criticize someone harshly|The abusive husband tends to fustigate his wife, beating her down emotionally with his cruel name-calling.|
Fusty|smelling stale, stuffy, or damp|The fusty cupboard smelled stale and damp after years of not being opened.|
Futile|incapable of producing any results|Although the dog chewed and chewed on his leash, his efforts to break free were futile.|
Future|a period of time that is yet to come|Our future vacation is planned for May of next year.|
Futuristic|something having to do with the future|A futuristic model car was on display in the museum, representing what transportation might look like in 50 years.|
Futurity|the future|Anxious thoughts of futurity caused the worrier to lose hope in the present.|
Futz|to waste time or idly deal with a task|The student knew that she should focus on her studies but decided to futz around for most of the afternoon.|
Fuzz|a short, frizzy mass of fiber or hair|The towel fuzz rubbed off onto my usually silky clothing while in the wash.|
Gabble|rapid and generally unintelligible speech|The man’s hastily spoken words came out as little more than a gabble to the ears of both me and my spouse.|
Gadfly|an annoying person who is a nuisance by constantly criticizing others|The television commentator is a gadfly whose main purpose on the show is to criticize others.|
Gadget|useful mechanical object or tool|Every time I shop for a birthday present for a family member, I tend to buy a new unique kitchen gadget for myself.|
Gaffe|an obvious error or mistake|Because of the quarterback’s gaffe, our team lost the big game.|
Gag|an obstructive object put over or in a person’s mouth to stop them from making noise|A strip of cloth is often used as a gag to keep restrained prisoners from making any noise or calling for help.|
Gaggle|a disorderly and noisy group of people|The gaggle of middle school students exited the school with excited chatter and yelling, a sure sign of their joy for the end of the school day.|
Gaiety|celebration; partying|The gaiety is in honor of the principal’s retirement.|
Gain|to use one’s efforts to get or secure something|By helping out in his dad’s donut shop, Josh was able to gain work experience while still in school.|
Gainful|profitable; able to make money|Allen has a part-time job, but is actively looking for more gainful employment.|
Gainsay|to contradict or deny|Since Jack told the truth on the witness stand, no one was able to gainsay his statement.|
Gait|manner of walking|As he strode through the hallway, everyone could tell by his gait that he was wealthy.|
Galactic|relating to a system of millions or billions of stars in the solar system|Our galaxy is the Milky Way and our closest galactic neighbor is the star system Andromeda.|
Galaxy|a group of many stars, along with gas, dust, and dark matter|Our galaxy, the Milky Way, is made up of the sun, planets, asteroids, millions of stars, and other space junk.|
Gale|a very strong wind|My favorite hat was blown off my head by the gale as I ran from into the house from my car.|
Gall|daring conduct|After Paul made the mistake, he had the gall to blame me for his error.|
Gallant|fearless and daring|Despite being outnumbered the gallant soldiers were eager for battle.|
Gallery|a room or a building used for showing works of art for sale|There is no lack of people who attracted to what may be considered unusual art shown in a gallery.|
Gallimaufry|a confused mess of things|The excuses of the young children was a gallimaufry of nonsense, each of them saying something different that made no sense.|
Galling|triggering annoyance or anger|The fraud allegation was galling and really upset the honest minister.|
Gallivanting|to roam from place to place for pleasure or excitement|The mischievous wanderer was gallivanting around town in search of something to entertain himself, paying no heed to those around him.|
Gallon|a fluid measurement that equates to sixteen pints|The mother knew she would need to buy a gallon of milk in order for her family of four to have enough milk for the week.|
Gallop|when a horse runs at full speed|The startled horse broke into a swift gallop and darted through the trees.|
Gallows|a construction frame on which people are hanged for their crimes |The gallows is a structure that was once used to put people to death by hanging.|
