Phew|to convey a sense of relief, fatigue, surprise, disgust when something hard is finished or no longer worried about something|“Phew, that was a close call and glad the car moved back into its proper lane before she hit us.”|
Porridge|a meal, typically cereal, that is boiled in water or milk|Goldilocks ate all of the bear’s porridge, but she probably wished she hadn’t since it was just cereal and hot water.|
Porringer|a small bowl, typically with a handle, used for soup, stew, or similar dishes|This evening, we will have a porringer of tomato soup and grilled cheese sandwiches.|
Port|a harbor where boats dock|That is a popular port where merchandise can enter or leave.|
Portable|able to be carried or easily moved|We always pack a portable disposable grill before heading out on a trip because it’s the easiest way to cook on the road.|
Portage|an act of carrying|The portage across the canal required a hefty fee.|
Portcullis|a sturdy sliding gateway door that moves vertically to open and close|The pointy portcullis opened from the top to permit the passage of sightseeing tourists.|
Portend|to indicate or give sign of a future occurrence|By hovering nearby, the dark clouds portend a storm in our area.|
Portent|a signal something is about to occur|The thunder was a portent of an approaching storm.|
Portentous|foreboding, ominous, or threatening|Because Jack generally expects the worst, his language is normally portentous and filled with warnings.|
Porter|a person employed to carry luggage|A bellhop is considered a porter, because they carry luggage.|
Portfolio|a collection of work|The photographer has an impressive portfolio that holds an assortment of images he has taken in his career.|
Portion|a part of a whole|Since Teresa is trying to eat healthy, she will sample a very small portion of my home made brownies.|
Portly|somewhat overweight|Because the portly woman was unhappy with her weight, she joined a weight loss program.|
Portmanteau|a large trunk or suitcase, typically made of stiff leather and opening into two equal parts|She carried her possessions with her in an old portmanteau.|
Portrait|a portrait is a painting, drawing, or photograph of a person|When he had his portrait drawn, he couldn’t move for a few hours while the artist drew an image of him.|
Portray|to depict an individual, situation, or specific event|The media is going to portray the killer as a victim of society’s avoidance of mental health issues.|
Pose|to present a question or raise a topic for discussion|I would like to pose a question about testing nuclear weapons and the sanctions associated with it.|
Poseur|a pretender|The poseur became so good at pretending to be a scientist that he no longer needed a lab coat.|
Posh|sophisticated and luxurious|Her posh bag was expensive, but the style and fabric made the sophisticated purse worth it.|
Posit|to offer as a suggestion|Since no other venue is available, I will posit my condominium as a place for the company holiday party.|
Position|the way in which someone or something is placed or arranged|At Little League today, my son Jason was chosen to play the third base position.|
Positive|absolutely certain of something|Jeff was positive he scored an A on his test because he studied the material for eight hours.|
Posse|a group of people who have a common characteristic or purpose|My friend has a posse that he likes to hang out with because they are all so similar.|
Possess|to have or own something|Most families in America possess at least one car, but many have two.|
Possessive|showing domination, control or influence over someone or something|After being on a few dates with Bruce, Amy felt he was becoming jealous and possessive of her.|
Possibility|something that has the potential to occur or is likely to happen|There is a possibility that school will be cancelled if it snows hard enough.|
Possible|able to be done or achieved|It is possible for you to do a backflip if you practice long enough.|
Possibly|indicative of doubt or uncertainty regarding a situation|We could possibly be the only sentient race in the universe, but there’s no way to know for sure.|
Post-haste|with a great deal of speed|We must leave post-haste if we don’t want to miss the beginning of the film.|
Postbellum|occurring or existing after a war|While the term ‘postbellum’ can refer to a period of time after any war, it is usually used to refer to the events that occurred after the American Civil War.|
Postdate|to assign a date to something later than was originally intended|We had to postdate the party because a thunderstorm stopped the guests from coming on the original day.|
Posterior|close to or at the rear of something|In anatomy class, students learned the term “posterior” refers to the back of a body.|
Posterity|all future generations|We bury time capsules for ourselves and for posterity.|
Postgraduate|referring to study undertaken after completing a first degree|Any degree you study for after completing your first degree can be considered postgraduate, and it always looks good on your resume.|
Posthumous|taking place after one's death|The author received several impressive awards for her body of work; unfortunately, they were all posthumous.|
Postmark|an official stamp that gives the time, place, and date of a package’s posting|A postmark on a package will tell you where it was shipped from.|
Postmeridian|of or pertaining to the afternoon|Taking a postmeridian nap caused the boy to be awake all night long.|
Postmortem|associated with happening after death|The autopsy is performed on the victim postmortem.|
Postmortem|something that happens after death|When my great aunt passed away there was a postmortem examination to determine the actual cause of her death and to rule out foul play.|
Postnatal|related to the period of time following childbirth|A baby needs a lot of postnatal care to ensure that it is healthy before it can leave the hospital.|
Postoperative|related to the period of time following a medical operation or procedure|Because the procedure was so long and tedious, the surgeon needed some postoperative relaxation to wind down.|
Postpartum|after childbirth|Most women experience postpartum joy when they get to hold their baby for the first time.|
Postpone|decide to have something occur at a later date than originally intended|I decided to postpone writing my essay until tomorrow because I was too tired to do it today.|
Postpone|to reschedule for a later time|Unfortunately Jamie had to postpone his wedding because of a severe illness.|
Postponement|the action of delaying or putting off something until later|The heavy snow last night resulted in a postponement for school.|
Postscript|an extra remark or at the end of a letter or email signified by the initials P.S.|Many people use a postscript in a letter when they forgot to write something in the body of the letter.|
Postulate|to suggest something (such as an idea or theory) especially in order to start a discussion|In an attempt to create controversy, some experts postulate alternatives to historical beliefs that have been accepted for years.|
Posture|the position that someone holds their body in, generally while standing or sitting|Mary’s bad posture when sitting at her school desk makes her back hurt later during the day.|
Postwar|pertaining to the period after a war|Postwar reconstruction of Germany was initially completed by rubble women who were used to clean-up debris.|
Potable|good for drinking without fear of poisoning or disease; drinkable|There was a lack of potable water because of the drought.|
Potation|the act of drinking a beverage, usually alcohol|As a recovering alcoholic, Jim decided to refrain from potation.|
Potency|strength, effectiveness, or power|Because of its high potency, the herb can make people act in strange ways.|
Potent|very strong in a chemical or medicinal way|The potent poison killed him within seconds.|
Potentate|someone with unlimited power, usually a leader of a country or territory|Our president cannot become a potentate because he has to share his power with two other branches of government.|
Potential|likely to happen or become|Because the building has a gas leak that poses a potential risk to residents, it is being evacuated.|
Potentially|with a possibility to occur or become reality in the future|Because he did not study for the final test, Mark could potentially fail the class.|
Potentiate|to increase the power or effect of something, especially medicine|The two medicines prescribed by the doctor tend to potentiate each other and are stronger together than if taken separately.|
Potently|having great influence or effect over or on something|The poison of a Taipan snake is so potently lethal that it could kill twelve people.|
Pother|a disturbance or commotion|The police are often called to investigate a pother in rural neighborhoods.|
Potholes|deep holes in a roads surface that are formed by weather or traffic|Deep, rounded potholes filled the gravel road, making it hard for vehicles to drive on the route.|
Potion|a combination of liquid ingredients that has medicinal or magical powers|The witch made a magical potion, but the mixture didn’t to make her young again like she hoped it would.|
Potluck|a party or event in which every participant brings a different dish for the guests|A potluck sometimes has many of the same dish because the guests don’t know what the others are going to bring.|
Pouch|a typically flexible small bag used for storage of equally small objects|Ricky likes to keep his marbles in a small pouch so he doesn’t lose them.|
Poultice|a soft, heated and medicated substance, that is spread on cloth over the skin to treat an aching, inflamed, or painful part of the body|Applying a thick layer of poultice to the burn stopped it from welting.|
Poultry|domestic birds kept by humans for the purpose of eating|The most common poultry bird is the chicken.|
Pounce|a sudden leap or bound a predator uses to catch its prey|When a wildebeest is unaware of its surroundings, a lion will pounce to catch it off guard.|
Pound|to hit or strike something with heavy force|Boxers pound away at each other as they try to knock out their opponent.|
Pout|to push one’s lips out to show irritation or annoyance|The toddler continued to pout and poke out her lips when her mother wouldn’t give her candy.|
Pout|to thrust out ones lips expressing displeasure|Our eight year old son John will often pout when we tell him to do his homework before playing outside.|
Poverty|the state of having little money or possessions|Living in severe poverty, the homeless man ate from garbage cans instead of the local café.|
Power|to supply a device with energy|In order to power an electronic device, you must plug it into a source of electrical energy for it to run.|
Powerful|to be influential and dominant|Having a powerful dictator in office led many laws to be changed allowing very little input from the country’s citizens.|
Powerless|without power; weak, unable to do something|People are feeling powerless to all of the telephone scams occurring having no recourse except to avoid answering the phone.|
Practicable|that can be put into practice; feasible|The Federal investigators said after the train crash, “A detailed report will be made to the public as soon as practicable.”|
Practical|sensible|The practical solution is the easiest one that will fix the problem.|
Practice|to repeatedly carry out a practice or skill so that one can improve|The ballerina needs to practice all week so she will be ready for her dance recital.|
Pragmatic|concentrating on practical results and facts instead of speculation and opinion|The scientist had a pragmatic approach to dealing with the water crisis.|
Prairie|an extensive area of relatively flat grassland|Tall grasses in the prairie can grow six to eight feet tall.|
Praise|to express approval, love, or admiration for something|The teacher began to praise the student for his excellent work and raved about his writing.|
Prance|to strut around in a lively way to impress others|It’s fun and interesting to watch a sixty year old rock star prance around the stage during a concert.|
Prate|talking for a long time without purpose|Even when the intoxicated woman was placed in the police car, she continued to prate until one of the officers yelled for her to be silent.|
Pratfall|a humiliating mistake|After dropping all of the dishes, the embarrassed waitress learned that some teens had recorded the embarrassing pratfall.|
Prattle|talking for a long period of time about insignificant things|At every party, there is always one lady who has to prattle on about her cute kids.|
Praxis|traditional conduct or practices|The praxis of our religious community sets the marriage age for young women.|
Preamble|an opening announcement used to describe what is about to be read or said|The preamble of the international health organization summarizes the group’s purpose.|
Prearrange|to agree or arrange something beforehand|Before a major hurricane arrives, everyone should prearrange safer places for their pets and livestock.|
Precarious|unstable, dangerous or difficult|Running around with a knife is very precarious.|
Precaution|a measure taken in advance to protect against danger or trouble|Stocking up on food is one precaution you should take in case of emergency.|
Precede|to occur before something else|Sometimes a tingling sensation in the arm will precede a heart attack.|
Precedent|an earlier event or action that is regarded as an example|The judges had no precedent to review before making their decision on the controversial case.|
Precept|a rule that sets the pattern for one’s behavior|The school’s honesty precept dictates we only turn in our own work.|
Precinct|an area of town reserved for police or voting purposes|The voter was not sure which precinct he should report to on Election Day.|
Precious|valuable or important, typically for sentimental reasons|Nothing is more precious to a mother than her children, and she will always choose to protect them over anything else.|
Precipice|a point where danger, trouble, or difficulty begins|Sue Ellen is now on the precipice of bankruptcy and might have to sell the family home.|
Precipitate|to bring about especially abruptly|The rising level of unemployment is going to precipitate a huge crowd at the welfare office.|
Precipitation|water that falls to the earth, especially in the form of rain or snow|Precipitation levels in the desert are very low since it doesn’t rain much there.|
Precipitous|done rapidly without thinking|Because Richard never thinks about the consequences of his precipitous actions, he often ends up in jail.|
Precise|exact and correct|The student tried to come up with the precise answer to the problem but was a few answers off.|
Precision|the quality of accuracy or exactness|A sniper must have extreme precision while on a mission, since he must often hit a very small target from very far away.|
Preclude|to prevent it from happening|Using home remedies should never preclude one from seeking help from medical personnel.|
Precocious|having mature qualities at an unusually early age|My precocious little girl thinks she knows everything there is to know about life.|
Precognition|prior knowledge of an event before it happens|Precognition and clairvoyance helped the psychic tell the future.|
Precursor|something that happens before something else|My itching is the precursor of the severe allergic reaction I will soon experience.|
Predate|to designate a date earlier than the actual one|In a statement released today, Brown says, “While these issues of officers drinking while on duty predates my arrival of Sheriff in 2015, it has become my responsibility to handle this situation swiftly.”|
Predation|the preying of one animal on others|The lions were preparing for predation near the waterhole.|
Predator|an organism that preys on other creatures|A child predator recently tried to lure my daughter away from the park.|
Predatory|associated with stealing or taking advantage of other people for private gain|The predatory lender always assigns extremely high interest rates to his loans.|
Predawn|happening before the sun comes up (dawn)|The joggers always take a predawn run so that they can avoid the heat of the morning sun.|
Predestination|the doctrine that everything has been foreordained by a God or by fate|The priest believed in predestination and never worried about things that were to come.|
Predicament|difficult, unpleasant, or embarrassing situation|Because I do not want to end up in a financial predicament, I pay my bills regularly.|
Predicated|founded upon a belief or argument|My decision to move to Paris was predicated on the belief I had a job opportunity waiting for me.|
Predict|to foretell what will happen next or in the future|The psychic said she could predict my future and claimed I would be a great actress one day.|
Predictability|the degree to which something can be guessed or forecasted|Because of his predictability, Heath’s wife knew that she could find him fishing every Saturday afternoon no matter what.|
Prediction|a forecast of what will most likely take place in the future|A prediction could be made regarding the outcome of a random car accident on the dangerous road based on the number of deaths that occur on that road every year.|
Predilection|a preference for something; a strong liking|Gregory goes out to watch birds daily so I assume he has a predilection for the hobby.|
Predisposed|to be inclined to act in a certain way or have a certain condition|Because of my passion for athletics, I am predisposed to playing a variety of sports.|
Predisposition|the circumstance of being vulnerable to a particular thing|Because my mother suffered from depression, I have a genetic predisposition to the condition.|
Predominance|the state of being greater in frequency, number, strength, or authority than something or someone else|You will find a predominance of dog lovers at the park, but there are few cat lovers visit them as well.|
Predominant|being the main thing or issue|Flying continues to be the predominant means of travel despite increased airfares.|
Preeminent|better than others|Dr. Michaels is always winning awards because he is the preeminent medical researcher in the country.|
Preempt|to take steps to prevent something from happening|The company decided to meet with its former employee as a way to preempt a lawsuit.|
Preemptive|a step taken to prevent an undesirable action|Spraying around the property for termites is a preemptive move a wise homeowner should make.|
Preen|to groom or spruce up|His pet bird would preen its feathers to keep it clean.|
Preface|the opening or introduction of a presentation or book|During his preface, the host thanked everyone who participated in the competition.|
Preferable|more suitable than other options|Since nurses are constantly on their feet, they find flat shoes preferable to heels.|
Preference|to like something much more than anything similar|Getting her eyebrows threaded instead of waxed was a personal preference.|
Preferential|receiving better treatment|Many argue that celebrities receive preferential treatment in jail because they have spacious cells and better food than other prisoners.|
Preferred|liked or favored over other choices|The officer preferred working the day shift over patrolling at night.|
Prefix|a partial word or number affixed to the beginning of a word or number to either complete the word or alter the meaning|Often the prefix “un” is used to transform a word into its opposite meaning, like well and unwell.|
Pregnancy|the period of time in which a fetus is being formed inside the mother’s womb|During her pregnancy, the expectant mother picked out baby names and decorated a nursery.|
Pregnant|carrying a child inside your body|The pregnant mother is so excited to give birth to her firstborn son.|
Pregnant|a female carrying a developing baby inside body|Dr. Oliver tells all of her pregnant patients not to smoke, always eat healthy and get plenty of rest.|
Prehensile|able to take hold of and clasp objects|The monkey’s prehensile tail allowed him to spy on his enemies while dangling from a tree.|
Prejudge|to form a judgement beforehand without sufficient evidence|I will not prejudge whether or not your answer is correct without first checking it up in the book.|
Prejudice|hatred directed at a particular culture or group or at a specific individual|Jane’s prejudice led her to dislike Mary simply because of the color of her skin.|
Prejudiced|having a negative opinion about someone or a situation not based on reason or experience|Because he is prejudiced, the man dislikes Hispanic people before he even gets to know them.|
Prejudicial|something that can cause a negative result, harm, or prevent success of a project or activity|Poor reviews of a product on major sites are prejudicial to the overall sale of the item.|
Preliminary|in preparation for the main matter|Though he passed the preliminary exam, further testing proved he was not ready to begin.|
Prelude|that which precedes another event|Movie trailers are often used as a prelude to feature films.|
Premature|early; untimely|My husband thinks it is premature to call the cops, but I know for a fact that my ring was stolen.|
Premeditated|planned in advance|Since Mary planned her husband’s death in advance, she was charged with premeditated murder.|
Premier|to be the leading or primary element of a group of something|Of all the hotels in the world, this premier hotel was on the top of every hotel critic’s top ten list.|
Premise|a statement that gives weight to a conclusion|Since your premise cannot be confirmed, your entire theory is worthless.|
Premium|an amount to be paid for an insurance policy|The woman’s life insurance policy was cancelled after she forgot to pay her premium.|
Premonition|an intense feeling something is about to occur, generally a negative event|Before the accident, Sang mentioned he had a premonition something bad was going to happen on the road trip.|
Prenatal|being or happening before birth|Getting good prenatal care is the most important thing a mother can do for her unborn baby.|
Preoccupation|distraction|After many nights away from home, the workaholic’s preoccupation with his career began to take a toll on his marriage.|
Preoccupied|to become obsessed or completely concerned with something|Following the doctor informing the patient about his terminal illness, the patient’s mind was always preoccupied with the thoughts of his impending death.|
Preparation|getting something ready or organized|In preparation for the grand opening, the baker created several dozen special cupcakes.|
Preparatory|designed to prepare for another task|The preparatory school was created with the goal of getting students ready for college.|
Preponderance|a larger figure or amount|With such a preponderance of evidence, the jury will most likely find the defendant guilty.|
Preponderant|blatantly influential and powerful|The United States, Russia, and the China are preponderant military powers who have major influence over matters of diplomacy.|
Prepossessing|being appealing to others|The female fans went wild when the prepossessing actor walked into the theater.|
Preposterous|contrary to nature, reason, or common sense|His idea of selling dead bugs for big money is totally preposterous!|
Prerogative|a special right, power, or privilege|Since he was a senior member of the golf club, Allan had the prerogative to reject new member applications.|
Presage|to give a warning something unpleasant may occur in the future|If the unpopular president is reelected, his win will presage a countrywide protest.|
Prescience|the capacity to know future events|Because Janet was amazed by the psychic’s prescience, she visited her on a regular basis.|
Prescient|having or showing knowledge of events before they take place|The psychic's predictions were uncannily prescient and ended up proving true a few weeks later.|
Prescribe|doctor to give someone medication or some other kind of treatment|The patient couldn’t get her doctor to take her pain seriously or prescribe medication to ease it.|
Prescript|a rule or regulation of conduct|Because the prescript is in the Bible, followers of the faith refuse to break the law.|
Prescription|an instruction written by a medical practitioner that allows a patient to be given a medicine or treatment|When my daughter was sick with the flu, the doctor wrote her a prescription for special medication.|
Presence|the state of being present, or of being within sight or call, or at hand|Although he felt confident in his skills, his boss’s presence always left him on edge.|
Present-day|of the current time period|The area that was once called New Granada is present-day Columbia.|
Present|here, in a particular place|The student called out “present” to let his teacher know that he was in the classroom.|
Presentation|a performance or demonstration usually involving factual or persuasive information|Using power point, the business executive gave a presentation about workplace etiquette to his staff so that they would understand how to behave at the office.|
Presentiment|the feeling something bad might occur|The presentiment lingered after I saw a black cat twice in one day.|
Preservative|a substance added to something else (such as food or wood) to slow down or stop it from decaying|Sugar or salt is added to peanut butter as a preservative to keep it from going bad.|
Preserve|to keep safe|The automobile cover will preserve the car’s windows during the hailstorm.|
Preside|to be in charge of something as the leader|Judge Judy will preside over the case and make a final ruling on the matter.|
Presidency|the position or length of time that someone serves as president of a country or organization|During his presidency, the student council leader promised to lobby for better campus security and safer dormitories.|
Prestige|how well something or someone is regarded|The word most commonly associated with the luxury hotel chain is prestige.|
Prestigious|highly regarded|The prestigious doctor had a long waiting list of patients.|
Presumably|by a sensible guess; probably|Presumably, Heath will join his wife at the hospital for the birth of their daughter.|
Presume|to suppose something to be true without proof|The professor was quick to presume that the student did not do his homework since he hadn’t all year.|
Presumption|a belief that something is true or false without having all of the facts|Because they were fighting more often than not, the girl made a presumption that her parents were unhappily married.|
Presumptive|relating to presumption; presumed without further information|It is presumptive to jump to a conclusion without knowing all of the facts or aspects of the situation.|
Presumptuous|making a judgment before knowing of all the facts - also means - extremely bold and forward in doing something;|It was rather presumptuous of her to assume I would get her a birthday present.|
Presuppose|to accept something as true without proof|Before looking at evidence, the detective is usually the first to presuppose that a family member committed the crime.|
Pretend|to speak and act as if something is happening when it’s really not|The little girl likes to pretend to be a mermaid when she swims in the pool.|
Pretense|a claim that is not real|Under the pretense of being helpful, the sneaky insurance salesman sold the woman a policy that provided her with few benefits.|
Pretension|asserting a certain quality or status|To be the president of a country, Marcel is extremely down-to-earth and completely devoid of pretension.|
Pretentious|acting as though more important, valuable, or special than is warranted|The swindler was a pretentious man who claimed to be descended from royalty.|
Preternatural|unusual; uncommon in nature|The superhero’s preternatural abilities help him perform amazing feats when people are in danger.|
Pretest|a test given before instruction or evaluation|Each new product must undergo a pretest to determine if it passes inspection and can be put on the shelves.|
Pretext|a fake excuse or reason|Under pretext of being a police officer, the gang member gained entry into the rival gang leader’s apartment.|
Pretty|attractive in a dainty, graceful way |The pretty dresses the twin girls wore on Easter Sunday had everyone talking.

|
Prevail|to beat in a difficult contest or battle|Even though our troops are tired and hungry, we will prevail against the enemy!|
Prevalent|very common in a particular place or among a particular group|You should not assume everyone is a drug user simply because drug use is prevalent.|
Prevaricate|speak or act in an evasive way|In order to get his bill passed, the politician went out of his way to prevaricate about the release of the environmental study.|
Prevention|the action of stopping something from happening|In the name of prevention, the insurance company gives wellness information to keep its customers from getting sick.|
Preventive|designed to stop something unwanted from happening|Studying can be considered a preventive measure, since it is an action you take to prevent yourself from failing.|
Preview|a special show or performance that allows certain people to see a movie, play, product, etc., before the public|The movie preview showed the upcoming movie to a packed audience at the theater.|
Preview|an advance showing of scenes to advertise an upcoming show or movie|The preview of the soon to be released Black Panther movie reveals action pack scenes leaving a promising movie.|
Previous|existing or coming before something/someone else|Daniel’s previous business partner stole money, making it hard for him to trust anyone in the future.|
Prey|something or someone that is susceptible to attack|The rapist stalked his prey for days.|
Price|the amount of money expected as payment for something|The price of a new video game in the United States is almost always sixty dollars, though the cost will depreciate in time.|
Prickly|sharp to the touch, usually pointed|Porcupines are known for their prickly skin.|
Pride|being filled with happiness or joy at an accomplishment|She felt a deep sense of pride whenever she worked hard and got an A on her test.|
Prideful|proud, unfriendly, and showing an "I'm better, smarter, and bigger than other people" attitude|Turning her nose up at the homeless lady, the prideful woman would not allow herself to believe that the two had anything in common other than their gender.|
Priesthood|the office or position of being a priest|Before entering into the priesthood, the clergyman made a serious decision to dedicate himself to God and the church.|
Prig|a deeply religious person who holds others to a high moral standard in a self-righteous and prudish way|The pompous prig silently judged all of the other church members from his pew.|
Priggish|a prim and pompous person who requires everything to be precise since she strongly requires it|After working for a priggish boss who was never satisfied with my work, I decided to work somewhere else who was not so demanding.|
Prim|formal and proper in a stiff and prudish way|My prim coworker refused to dance, but the rest of my coworkers weren’t afraid to jump right in.|
Primacy|the state or condition of being important or first|The primacy of our mealtimes is that everyone eats together as a family.|
Primal|basic; instinctive|The dog’s primal instincts allow it to hunt out prey easily.|
Primary|principal and major|A primary choice in the girl’s life was to get a college education so she could make a better life for herself and her children.|
Primate|a member of the most developed and intelligent group of mammals (i.e., humans, monkeys, and apes)|The biology teacher explained to the students that both monkeys and humans fall into the primate category.|
Prime|superior or best|If a customer wants to order the prime cut of meat, he will have to pay top dollar for that dish.|
Primitive|something that is not refined or advanced|In the primitive village, there is no source of electricity.|
Primordial|in the beginning; in a basic way|Sometimes I feel primordial when I eat food without silverware.|
Primp|to spend time improving one's appearance (often in front of a mirror)|Before Sarah’s date, she stood in the mirror to primp her hair.|
Principal|person in the highest position in a group or organization|The prima ballerina is the principal dancer in any ballet troupe.|
Principle|the root of or foundation for a belief or state of being|Democracy operates on the principle that everyone should be treated equally.|
Prior|occurred previously|On a prior episode of the television show, the main character was arrested for her husband’s murder.|
Prioritize|to place in order of greatest to least important|Surgeons prioritize which patients to schedule first based on the extent of their injuries.|
Priority|of most importance|Although I like to go out and have a good time, working and paying bills is a priority over everything else.|
Priority|of utmost importance|Because spending time with his wife is a priority, George rarely works on the weekends.|
Priority|of most importance.|Although I like to go out and have a good time, working and paying bills is a priority over everything else.|
Prism|a transparent glass or plastic object that separates white light that passes through it|The science teacher showed students how the glass prism reflects colors once light passes through it.|
Prison|a place of confinement for convicted criminals|A man was sentenced to prison for a long time after being convicted of trying to kill his wife with an ax.|
Privacy|one’s right to control access to his or her personal information|Valuing his privacy, Quan didn’t share anything about his personal life while at work.|
Private|belonging to or being used by a select group and not the public|Because it is top-secret, the private information inside the folder cannot be shared with anyone.|
Privation|the state of being very poor, and lacking the basic necessities of life|Written records of early explorers indicate that the native people faced a great deal of hard times and privation where they had to eat insects and other unspeakable items just to stay alive.|
Privy|allowed to share in confidential information|The psychologist is privy to his patient’s thoughts and emotions.|
Prize|a thing given as a reward to the winner of a competition or race or in recognition of another outstanding achievement|The 500-pound pig won first prize at the county fair.|
Pro|a professional or expert|Because her mother is pro basketball player, most people are surprised that Maria doesn’t like sports.|
Proactive|acting in advance|Emergency procedures are proactive measures to ensure everyone’s safety.|
Probability|The likelihood or chance that something will happen|There is a strong probability that another earthquake will occur along the fault.|
Probable|likely; most likely|It was probable that the students cheated, given their scores on the practice test.|
Probate|the legal process of proving the validity of a deceased person's will to a court|Without a copy of the will, there was no way to prove through probate that the nephew was the sole heir.|
Probe|to inquire or investigate|An independent investigator will probe the allegations of racial bias in police hiring.|
