Ineffectual|incapable of generating the sought after effects|Once I realized the medicine was ineffectual, I stopped taking it.|
Intrusion|an instance when a person goes into a place where they were not invited or wanted|Apologizing for her intrusion, the main slowly backed out of the couple’s bedroom.|
Intuition|an abilility to immediately understand something without reasoning or proof|They say that when you feel something is wrong you should trust your intuition.|
Intuitive|being able to sense or understand things with little or no information|The intuitive police officer could tell the woman was trying to hide something from him.|
Inundate|overwhelm with things or people|My boss is the type of person who likes to inundate others with projects.|
Inure|to become immune to unpleasant events or situations|Raising three dramatic daughters will inure you to temper tantrums.|
Inured|able to withstand hardship; to become accustomed to something unpleasant by prolonged exposure|Ever since Melissa lost her mother when she was a child, she has been inured to hardship.|
Invade|to attack or enter by force|Police forces were cautioned to not use deadly force when they prepared to invade the home.|
Invalid|not binding or acceptable|The police officer gave me a ticket for driving with an invalid license.|
Invalidate|to make something useless or to repeal it|If your tickets are stolen, the distributor can invalidate them so they can’t be used.|
Invaluable|crucial; particularly useful|Without Amy’s invaluable help, we would not have met the project deadline.|
Invariable|never changing, always the same|The human condition is invariable, and no matter how much we progress humanity will always wage war and spread distrust among each other.|
Invariably|always|Max was a little too handy with the snooze button on his alarm clock, so he was invariably late for work every day.|
Invasion|a occasion when a someone (usually a military) uses force to take over an area|In an attempt to stop an invasion, the villagers built a tall fort to protect against the enemy’s force.|
Invective|abusive language used to criticize|The newspaper’s invective of the novel really made the author angry.|
Inveigh|to criticize someone or something very strongly|Because one politician chose to inveigh on the subject of immigration for an hour, the debate went on all afternoon.|
Inveigle|to persuade someone to do something by means of deception or flattery |Speechless I stood by as June was able to inveigle her way into the private club by flirting with the security guard.|
Invention|something that has been invented|Jane appreciates the invention of the air conditioner on hot summer days.|
Inventive|having the ability to create something|The inventive father would always force his children to try out the toys he spent hours building.|
Inventory|a complete list of goods or merchandise that is in a store or warehouse|An inventory list was released that outlined each of the cars available for sale on the lot.|
Inverse|contrasting in influence or direction|When you read a palindrome in reverse, there is no inverse interpretation so the word will read the same.|
Inversion|a situation in which something is changed so that it is the opposite of what it used to be|Lower becoming cooler than upper air is called a temperature inversion.|
Invert|to flip-flop direction in status, stance or associations|The recipe called for the cook to bake the pineapple upside down cake in a pan and then to invert the cake face down onto a platter.|
Invertebrate|animal without backbone|The science teacher wanted us to study the snail, an invertebrate animal.|
Investigate|to examine, look into, or scrutinize in order to discover something hidden or secret|In order to find the murderer, the detective would have to investigate the dark building for evidence.|
Investment|the use of money, time, or effort to make a profit or result|The decline of sales made Jack feel nervous about his hefty investment in the store.|
Inveterate|have a particular interest or habit that is unlikely to change|Because Janet was an inveterate traveler, it seemed as though she lived at the airport.|
Invidious|unpleasant and likely to cause bad feelings in other people|The dictator’s invidious acts caused the people to rise up against him.|
Invigilate|to watch people taking a test to ensure that they do not cheat|In an effort to cut down on cheating, a proctor was hired to invigilate the test takers closely.|
Invigorate|energize or give life|Hopefully the energy drink will invigorate me so I can work all night on my paper.|
Invigorating|giving strength, energy, or good health|Some people say the warm springs are invigorating because of their healing powers.|
Invincible|not possible to be defeated or harmed|The teenager jumped off the building because he thought he was invincible and unable to get hurt.|
Inviolable|never to be broken, infringed, ignored or dishonored|Her parents made it clear that the rules of curfew were inviolable.|
Inviolate|something to be respected and free or safe from harm|Secured in a glass display case, the painting was kept inviolate.|
Invisible|not visible to the eye|Bree thought the scar from her surgery would be an ugly, red mark, but it was invisible.|
Invoice|an itemized statement of items or work done with their charges for these; bill|Parents appreciated not having monthly tuition payments altered, and the invoice provided clear documentation of the expenses incurred throughout the year.|
Invoke|to request aid, usually from a deity|During the baptism, the priest will invoke a lifetime of blessings for the infant.|
Involuntary|done without thought or without planning|My involuntary response was to jump back from the snake.|
Involved|included; a part of something|Emily is involved in many school activities, including band and track.|
Inward|felt in your own mind but not revealed to other people|After narrowly missing a dog crossing the street, Beth breathed an inward sigh of relief.|
Inward|toward the inside|The pastry chef rolled the two corners of the dough inward so that they could meet in the middle.|
Ion|a cluster of atoms or a single atom carrying an electrical charge|Since the atom has acquired an electric charge, it is now referred to as an ion.|
Irascible|easily made angry|It does not take much to aggravate my irascible neighbor who is annoyed by any little noise.|
Irate|tremendously angry|Jim was irate when he found his wife in bed with another woman.|
Ire|hostility triggered by a grievance or insult|My ire stems from the salesperson ignoring me while she talked on the telephone.|
Iridescent|exhibiting a wide range of brilliant colors like a rainbow|The singer’s iridescent necklace glowed brightly under the spotlight.|
Irk|annoy; irritate|Harry likes to irk us with his irrelevant questions.|
Irked|annoyed; irritated|The woman’s loud chewing irked the customers sitting nearby.|
Irksome|irritatingly bothersome|Hank's fellow employees try to avoid him because of his irksome behavior.|
Ironclad|coated or wrapped in iron usually for protection|During the American Civil War, two ironclad ships fought each other without causing much damage due to the strong metal shield of the ships’ outer material.|
Ironically|referring to something being unexpected or ironic|Ironically my boyfriend and I married at an early age despite our parents’ attempts to separate us.|
Irony|a form of humor in which you use words to express the opposite of what the words really mean|Because I could not detect any irony in Jason’s tone, I knew he was serious.|
Irrational|devoid of reason|Because my son has started to exhibit irrational behaviors, I am taking him to see a therapist.|
Irreconcilable|incapable of being brought into harmony or adjustment.|Feeling that their issues were irreconcilable, the couple decided to file for divorce.|
Irreducible|not able to be reduced or lessened|While the third-grader was working on her math test, she realized that the fraction on her test was irreducible because it was already in its lowest possible terms.|
Irrefragable|not able to be disputed or contested|During the trial, the bank teller’s irrefragable evidence couldn’t be contested by any other witnesses.|
Irrefragable|not able to be disputed or disproved|My college professor requires us to question all scientific evidence, even that which is considered fact or irrefragable.|
Irrefutable|that which cannot be proven false|The police arrested their suspect only after obtaining irrefutable proof he was the robber.|
Irregardless|no matter what the circumstance or situation|Though the sneakiy boy constantly found himself trouble, his mother loved him irregardless.|
Irregular|unusual or odd|We could not plan our day due to the irregular weather.|
Irrelevant|not pertaining to or insignificant|Why does Cathy spend so much time telling me irrelevant facts that have nothing to do with me?|
Irremediable|unable to be remedied, cured, corrected or repaired|Bursting into tears, the young mother was appalled when she heard her baby had an irremediable disease which would cause severe pain for the rest of her life.|
Irreparable|not capable of being fixed|Since the damage to my car is irreparable, I need to buy a new vehicle.|
Irreproachable|without fault|The police captain is expected to have irreproachable behavior.|
Irresistible|to attractive and tempting to be resisted|The smell of the irresistible cake seemed to call my name as escaped out of the oven.|
Irresolute|not certain about something|As the troubled young girl faced her school principal, she was irresolute and did not know what to expect as a consequence for her behavior.|
Irrespective|without regard for conditions, circumstances, or consequences; regardless of|Our accountant explained that we would receive the tax credit irrespective of our income level.|
Irresponsible|describes someone that does not show a sense of responsibility or obligation|My irresponsible cousin has a ton of homework to do, but he has decided to sleep in late and play games instead of doing it.|
Irretrievable|unable to recover or reverse back to what it was|During a fight harsh words are irretrievable since they may be kept in the person’s mind forever.|
Irreverent|displaying little respect to a person, thing, or idea |When the knight did not bow before his queen, he acted in an irreverent manner.|
Irreversible|not able to be altered or undone; unchangeable|Some acts are irreversible like having a child because you can’t return the baby.|
Irrevocable|not able to be changed, reversed, or recovered; final|Even though you are unhappy with your inheritance, the will is irrevocable and cannot be changed.|
Irrigate|to provide water|Before you bandage the wound, irrigate it to flush out foreign substances.|
Irrigation|a process of providing water by artificial means|With our new irrigation system, we will be able to make plants thrive even in dry terrains.|
Irritable|getting annoyed or angry|Mel is an irritable person, always getting on peoples nerves.|
Irritate|to cause or induce displeasure or inflammation on any portion of body|Becky was pleased to find a body wash that contains aloe which didn’t irritate her skin.|
Irritation|feeling bother or annoyed by something that is time consuming or particularly frustrating|Julia’s irritation with her best friend only grew because she kept making the same mistakes and completely ignoring Julia’s advice.|
Irrupt|to enter or burst in suddenly|Several non-native species were able to irrupt into the area and cause destruction after their sudden arrival.|
Isle|island|The deserted isle was in the middle of the Atlantic Ocean.|
Isolation|the condition of being located away from others|The worst prisoners are placed in isolation so they cannot hurt other inmates.|
Isolationism|a rule of seclusion followed by a group or nation that chooses not to interact with other sects or countries|Because of the rules of isolationism members of the sect were only allowed to interact with people of their community.|
Isotonic|having equal tension|The beverage is isotonic, with equal concentrations of sugar and salt.|
Isotope|any of an element’s forms that differ because of the atom’s neutron count|Just like an isotope, you are unlike your sibling because of the differences in your chemical makeups.|
Issue|to deliver or give out|No one was at the office to issue my driver’s license, so I will have to wait until tomorrow to pick it up.|
Isthmus|a narrow strip of land, bordered on both sides by water, and connecting two larger landmasses|They had to travel over the isthmus to the other end of the island.|
Itemize|to break something down into the individual parts that comprise it|An itemized bill is one that breaks down the listed cost into each part that makes up the bill, so you know what parts of it are the most expensive.|
Iterate|said or done again and again; repeated|I will iterate our policy over and over to be perfectly clear.|
Iterate|to verbalize or say|I had to iterate my answer for the mathematical problem a second time because my partner did not hear me the first time.|
Iteration|the process of repeating a statement or sequence of some sort|The only difference in the latest iteration of the videogame is the change of setting.|
Itinerant|moving around from location to location|The documentary follows the life of an itinerant homeless man who never sleeps in a location more than once.|
Itinerary|a detailed schedule usually for a trip|With his itinerary in hand, the tourist began his first day in Ireland by walking to each place on his list so he could see every attraction.|
Its|related to something that was mentioned previously |After three days, the sick dog was allowed to leave its crate.|
Jabber|to talk rapidly, indistinctly, or unintelligibly; to utter gibberish or nonsense|I get nervous when my sister begins to jabber about all the nonsense that happens in her world.|
Jackanapes|a conceited, sarcastic, and/or brutish individual|Narcissus was such a conceited jackanapes that when he glimpsed himself in a mirror, he fell in love.|
Jaded|depleted of excitement and enthusiasm, usually after having had too much of something|After being on an airplane for nearly twenty-four hours, Henry is a bit jaded and never wants to travel again.|
Jagged|sharp; pointed|Jagged splinters sticking out of the wood stuck inside the barefoot boy’s foot when he stepped on top of the board.|
Jape|a silly plan done on a person; practical joke|My little sister Jessica thought it was funny to put a frog in my rain boot for a jape.|
Jape|a practical joke or trick that you play on someone|Hank’s mother didn’t find his April’s fool’s jape funny and punished him for the prank.|
Jargon|communication that a person cannot comprehend|If you include legal jargon in the article, only law students and lawyers will be able to understand your position.|
Jarring|to be altered or changed usually in an irritating or unbearable way|When the teenager’s jarring music was blasting in the car next to me, I became aware that I would enjoy the silence once he was gone.|
Jaundiced|tending to dislike, criticize, or resent something|Because she always received terrible customer service, my grandmother was jaundiced against the company.|
Jaunt|a short journey or excursion for pleasure or refreshment|The short jaunt that Janice took around the mountainside resulted in a lengthy search when she failed to return.|
Jauntily|in an energetic way|After receiving a promotion at work, Jill walked home jauntily.|
Jaunty|expressing cheer and self-assurance|Craig’s bright and jaunty tie put a smile on everyone’s face.|
Jawbone|the skull area below the mouth|During the fight, the young many broke his jawbone after the other man hit him on the lower side of his face.|
Jealous|feeling resentment against someone because of that person's rivalry, success, or advantages|Feeling jealous of her older sister’s small frame, the overweight teen refused to go prom dress shopping unless she could go alone.|
Jeer|ridicule, taunt, scoff at|When the basketball bounced off the rim for the second time, Nolan knew that the crowd would probably jeer at him.|
Jejune|unsophisticated|The billionaire couple refused to eat the jejune dish of chicken wings and tater tots.|
Jeopardize|to put at risk|Do not jeopardize your good grade by failing to turn in your assignment.|
Jeopardy|at risk of loss or harm|If you do not take your medicine, you will put your health in jeopardy.|
Jeremiad|a long, sad list of complaints, sometimes produced as a literary work|The elegantly written book was actually a jeremiad that laid out the author’s complaints against the current government.|
Jest|words that are spoken as humor |When confronted by the teacher, the student said his words were in jest and not meant to be taken seriously.|
Jettison|to eliminate something|In order to conserve fuel, the pilot was forced to jettison some of his passengers’ suitcases.|
Jibe|to agree; harmonize|The findings of the court did not jibe with the testimony of the witness, angering the judge.|
Jingoism|extreme patriotism for one’s country that often shows itself through aggression towards other nations|The man’s jingoism led him to attempt to destroy a federal building as a show of loyalty for his own nation.|
Jinx|a person or thing supposed to bring bad luck|I lied on my resume and fear this big mistake could jinx my chances of snaring a great job.|
Jittery|shaky and nervous|The nervous puppy is always jittery when we go to see the vet.|
Jive|to deceive; to be deceptive|Beth yelled at her husband, "I know you went to see your mistress last night so don’t try to jive me!"|
Jive|slang talk that is meaningless and dishonest|The conman tried to use his jive talk to trick people into giving him money.|
Jockey|one who rides racehorses competitively|Jockeys must be brave to ride horses at high speeds in such tight quarters.|
Jocose|playful; humurous|Robert is well known for his jocose disposition, always makes everyone around him laugh.|
Jocular|characterized by joking; humorous or playful|The jocular man is known for his funny punchlines.|
Jocund|in high spirits; cheery |Because Patrick was feeling quite jocund after drinking a few beers, he could not stop smiling.|
Joint|shared or made by two or more entities|This is a joint project that my partner and I must work on to complete on time for chemistry class.|
Joist|a wooden or metal beam that serves as a support for the ceiling or floor|Chipotle has an industrial décor that enables guests to see the long metal joist that runs across the ceiling and supports the roof.|
Jolt|to push or shake abruptly and roughly|We hope that the new stores opening in the downtown will help jolt the economy back to life.|
Jostle|to compete or struggle for something|As soon as the coach makes the announcement, the football players will start to jostle for the position of team captain.|
Journey|usually a long difficult period pertaining to personal change and growth|Robin has hurt so many people on her long journey through addiction, she’s now focused on helping others.|
Jovial|warm and friendly|Stories describe Santa Claus as a jovial man who gives toys to children.|
Jowls|the lower cheek attached to the jawbones or mandibles|The strong-faced man had the same jowls as his grandfather and embraced his jawline as a coveted family trait.|
Joyful|feeling happy and cheerful|Making a joyful noise, the choir smiled as they sang their cheerful hymn.|
Joyous|full of joy; happy|A joyous celebration such as this requires cake, music, and elaborate decorations!|
Jubilant|filled with joy|I am jubilant to learn that my sister is finally having a baby.|
Judicious|showing intelligence and good judgment|Because of the doctor’s experience, he was a judicious fellow who was well-respected by his colleagues.|
Juggernaut|a large item that is seen as unstoppable and can destroy anything in its way|With the reveal of its best-selling innovation, the software company has become a juggernaut in the tech industry.|
Jumble|a typically messy pile of things|Most teenage boys leave their things in a messy jumble, making their rooms look more like disaster areas than places of clean habitation.|
Jump|to react suddenly often unexpected and quickly|The loud boom heard was caused by an earthquake that made everyone jump out of their seats.|
Jumpstart|to start something quickly by providing it with extra help|To jumpstart his understanding of the math concepts, Felipe hired an algebra guru to tutor him before his classes start.|
Jumpy|behaving in an anxious or nervous way|Because he is afraid of the police, the jittery driver appeared jumpy when he was pulled over by the officer.|
Junction|a location where roads or lines intersect or meet|The city’s main interstates meet at the area known as Spaghetti Junction.|
Juncture|an important point in a process or activity|At this juncture, we are unable to continue with the project because of a lack of funding.|
Junta|an armed group that comes into power by using force |Armed with the newest weapons, the junta faced little to no resistance as it drove out the government.|
Jurassic|a geologic period that occurred over 150 million years ago and is marked by the presence of dinosaurs and the first appearance of birds|During the Jurassic period, humans didn’t exist, and dinosaurs ruled the earth.|
Jurisdiction|the valid power to make official decisions and rulings|The probate court has jurisdiction over the validity of wills.|
Jurisprudence|the part of philosophy that focuses on the origins of the law and the decisions made by the judicial systems|Even in high school, Evan read a great deal on jurisprudence because he knew he wanted to become a lawyer.|
Jurist|an individual with a deep awareness of the law|Since I know my uncle has been a judge for fifteen years, I highly respect him as a jurist.|
Justice|the outcome of using regulations to impartially judge and penalize a person or group accused of a criminal act|Some people believe justice is blind to wealthy individuals because most of them don't receive harsh consequences.|
Justifiable|well founded; rightful|Even though a punch in the nose may not seem to be justifiable to many people, sometimes it just has to be done to get the point across to a bully.|
Justification|an explanation of how something is reasonable or correct|Phillip was fired when he was unable to offer justification for his repeated tardiness to work.|
Jut|to stick out from something in a noticeable way|The edge of the cliff seemed to jut out over the ocean and disappear into a blanket of clouds.|
Juvenile|in a manner that is childish and unpleasant or referring to a young person |Cliff may be mayor now, but as a teenager, he was a juvenile delinquent who once spray-painted the police station.|
Juxtaposition|the fact of two things being seen or placed closed together with contrasting effect |The reality clearly shows a cultural juxtaposition between rich people and poor people.|
Kaleidoscope|changing colors, shapes, and/or patterns in a general vicinity|Clouds are a kaleidoscope of shapes, sizes, patterns, and colors.|
Karma|an energy or force that causes one’s fate to be determined by one’s deeds|John’s bad luck proves karma is paying him back for his misdeeds.|
Keel|overturn; capsize|Feeling like it might keel at any minute, the kayaker tried to steady himself with his oar.|
Keen|strong or highly developed|His keen sense of observation allowed him to notice that his keys were not where he had left them.|
Keening|wailing or crying with grief|The keening mother could not believe that her child was gone, even though the officers that had found his body told her so through her tears.|
Keenly|deeply or intensely|Out of fear my daughter wasn't telling the truth, I stared keenly at her.|
Keenness|the quality of being eager or excitedly enthusiastic|Milo’s keenness for learning showed in his excellent work.|
Keepsake|an object retained in memory of something or someone|After the brave soldier lost his life in combat, the Army gave the mother his dog tags as a keepsake.|
Keepsake|a small item or souvenir that is kept as a reminder of a person or event|Wanda bought a small trinket from the gift shop as a memento of her trip to Paris.|
Kempt|neat and tidy|Although the older child always looked kempt, the toddler always arrived to daycare with disheveled clothing and uncombed hair.|
Ken|awareness or understanding|After further reading the novel, the ken of the antagonist’s motive to harm the protagonist became clear.|
Keratin|a strong natural protein that is the base of hair, nails, hoofs, and horns|Although other proteins are found in skin cells, keratin makes up a large percentage of these tissues.|
Kernel|a small seed or grain|A popcorn kernel that never burst got stuck at my tooth while eating my snack at the movies.|
Kerosene|oil that is used a fuel|Running out of kerosene, the traveler’s lamp began to flicker and eventually went dim.|
Khaki|a light brown or green cloth made usually of cotton or wool that is traditionally used for making uniforms|The man’s brown khaki suit stood out amongst the traditional black tuxedoes in the room.|
Kibbutz|an Israeli farm communal settlement that allows anyone to come and stay as long as they work|A social movement of the early 1900s, many Israelis chose to live and work together on a communal farm called a kibbutz.|
Kibitz|to sit in on a conversation or event and offer unsolicited advice|Watching the men play roulette, a passerby began to kibitz and tell the gamblers where to place their bets.|
Kibitzer|an onlooker who offers unwanted advice or commentary|The kibitzer stood at the edge of the chess table irritating the players with his unwanted tips.|
Kibosh|to examine, finish or halt something|After realizing that the newly hired butler had a background in stealing, the rich homeowner put the kibosh on his employment immediately.|
Kidney|one of a pair of organs located in the right and left side of the abdomen that filter waste from the body|Diabetes related kidney disease required the patient to undergo dialysis to help clear waste from his body.|
Killjoy|a person who spoils the fun or pleasure of others|Our next door neighbor is a killjoy who calls the police anytime we have a party at our house.|
Kilometer|a unit of metric measurement used to measure length or distance|The farm home measures exactly a kilometer from its closest neighbor.|
Kilter|not working well, out of order|An unexpected surge of both the flu and strep throat threw the unprepared clinic out of kilter.|
Kin|people related by blood or marriage|Her kin was coming to stay for the annual family Christmas event.|
Kind|caring; nice|A kind volunteer showed compassion by giving out blankets to flood victims at the local shelter.|
Kindhearted|having a kind and caring nature|The sweet and kindhearted child loved to share her toys with other kids.|
Kindle|to motivate or inspire|The mother hoped the prison inmate's speech would kindle her son to change his rebellious ways.|
Kindliness|kindness; compassion|The sweet woman’s kindliness was well known in her small community.|
Kindling|tinder|Kindling was gathered to start a fire close to the campsite.|
Kindly|friendly or amiable|The kindly old lady gave the trick or treaters way more candy than any of the other people that lived on this block.|
Kindness|the attribute of friendliness, generosity, charity, or other features that are considered kind|We prefer to treat people with kindness most of the time, but if someone is cruel to us we find it easy to be cruel in kind.|
Kindred|related in thought or genetically|My best friend is my kindred spirit who usually identifies with all the crazy things I say.|
Kinesthetic|describes learning that occurs through body movement or position|Kinesthetic learners need lots of hands on opportunities to accurately grasp subject matter.|
King|the ruler of an empire or kingdom|As king of the monarchy, the ruler was in a powerful position and made decisions for thousands of people.|
Kingdom|an empire or monarchy ruled by royalty|One medieval kingdom was situated in the middle of the forest and was ruled by a reclusive king.|
Kismet|inescapable fate|As a romantic, I believe kismet will lead me to my one true love.|
Kith|friends and acquaintances|The man was such a scrooge, he even loathed his own kith and kin!|
Kitsch|tacky or of poor quality|Kitsch lava lamps seem cheesy today but are still somewhat popular.|
Kleptocracy|a government with corrupt leaders that uses their power to exploit their own people and resources for greater personal wealth|In this kleptocracy, our leaders have been placing extortionate taxes on us in order to gain greater wealth for themselves.|
Kleptomaniac|one who steals compulsively|The kleptomaniac struggled to stop stealing.|
Knack|a natural ability|Cooking from scratch with no recipe was a knack for Rosie and her mother.|
Knapsack|a bag strapped on the back that is used for carrying supplies or personal belongings|The hunter always kept a knapsack with fresh water and a compass in case he was to get lost.|
Knave|a dishonest individual|The knave volunteered to clean the church so he could have access to the petty cash box.|
Knavish|crafty; cunning|The knavish wolf was able to convince the pig to let him into his home.|
Knead|to work and press into a mass, usually with the hands|I watched Frank knead dough as he pushed down and out, stretching the dough flatter and flatter.|
Knee-jerk|an automatic or impulsive reaction|The guilty child’s knee-jerk reaction to being accused of stealing the money was to blame it on someone else.|
Kneel|to bend down on ones knees|The knight continued to kneel as the queen presented him with an award.|
Knell|an indication that something has come to a conclusion or an end|Everyone took the company president’s resignation as the company’s knell of bankruptcy.|
Knew|understood; was aware of|I knew that I needed to go to sleep, but decided to stay up just a little longer.|
Knickerbocker|a descendant of the Dutch settlers of New York|The knickerbocker was a settler that arrived in New York long before the United States was independent.|
Knight|a man who fought in battles on a horse during the Middle Ages|The knight galloped to the castle and broke in to save the princess.|
Knighthood|having the title of a person who served a lord in armored battle|Knighthood was granted to those who agreed to serve the manor’s lord.|
Knit|to closely join or combine things/people together|The bride and groom hope that their marriage would knit their families together and end the feud once and for all.|
Knock-off|a copy of a product that sells for less than the original version|The knock-off purses were designed to look just like the originals but are sold for a lot less.|
Knock-on|one action or event that causes several other things to happen|Businesses shutting down had a knock-on effect on the economy that led to several negative effects.|
Knock|to hit a surface in a noisy way|You must knock loudly on the door when you go to grandmother’s house since she is hard of hearing.|
Knoll|a small hill|The charming inn was set on a knoll in the country.|
Knot|a tangled mass or lump|After being tossed around in Diane’s purse, the silver chain had worked itself into a tangled knot.|
Knotty|full of knots, tangles, or lumps|The girl’s hair was always knotty and hard to comb out after she went swimming.|
Know-how|the knowledge and skill to be able to do something correctly|I don't have the required know-how to build a website, but I am willing to learn.|
Know|to understand or be aware of|The only thing I know about the area is that there is a park close to the river.|
Knowingly|done deliberately; with full knowledge|Knowingly omitting the truth is considered the same as lying.|
Knowledge|the understanding of a subject|I have a great deal of knowledge in math, being able to carry out complicated mathematical processes that required years of studying.|
Knowledgeable|educated and well-informed|The professor was knowledgeable about history but knew very little about science.|
Knucklehead|a person who is stupid and hard-headed|The knucklehead constantly makes stupid decisions, like stealing cars and robbing banks.|
Kosher|acceptable; appropriate|Although she liked him, the girl was not convinced it was kosher to date her sister’s ex beau.|
Kremlin|a citadel within a Russian city, or specifically the seat of Russian government|The Kremlin is the seat of Russian political power, where the President of the Russian Federation stays.|
Kudos|praise for one’s accomplishments|Although the movie director received kudos from the critics, the public hated the film.|
Kumbaya|a word stemming from a 1930s folk song of the same name that represents peace and tranquility|The campers set in kumbaya circles and hold hands as they sang peaceful songs around the blazing campfire.|
Kvetch|a strong complainer or whiner|As the kvetch entered the department store, the clerk recognized and winced at the thought that she would have to hear all the excuses and objections to her returned purchases.|
Label|to put a small tag or ticket on something as a way to identify something about it|Before we sell these items at the garage sale, we will need to label each one with a price tag.|
Labile|easily or frequently changed|My body’s response to dairy products is labile and usually hurts worse when I exercise after consumption.|
Labor|to work diligently|The dwarves would labor in the mines all day and only return to their cottage at night when work was finished.|
Laboratory|a room or building equipped with the necessary tools for science research or experiments to take place|Because our laboratory does not have the necessary equipment for the study, a workshop down the street must be used.|
Labored|worked|Hercules labored to complete the twelve parts of his difficult quest.|
