Column|a-pillar or post that stands upright and is shaped like a cylinder|Each column of the tall plantation home had lights wrapped around its cylindrical form.|
Constitute|to be equal to something|While Greg is a key player, he does not constitute the entire football team.|
Consitutional|having to do with the constitution|Owning a firearm is considered a constitutional right.|
Constrain|to restrict, limit or hold back|Dave purchased a play pen to constrain his energetic puppy while he was at work.|
Constraint|a limitation or restriction|Jordan felt the constraint of handcuffs pressing tightly around his wrists.|
Constrict|to narrow or reduce|Because I am allergic to peanuts, any contact makes my throat constrict.|
Construct|to build something|A crew was hired to construct the home and we hope it will be built by Christmas.|
Constructive|carefully considered and meant to be helpful|The judge’s comments were very constructive to the young singer.|
Construe|to clarify what something means|We were all amazed by the detective’s ability to construe logic out of the killer’s strange riddle.|
Consul|a bureaucrat selected by a country’s government to live in a different nation and protect the sending country’s interests and citizens|The diplomat will work as his nation’s consul by supporting the concerns of his homeland while residing abroad.|
Consulate|the office or building where a consul works|While traveling to China, I decided to address my issues at the consulate.|
Consult|to seek advice from someone with professional expertise|I decided to consult with a carpenter regarding the deck I planned on building in my backyard because I needed professional advice.|
Consultant|someone, usually a professional, who gives advice on a particular subject|We hired a lawyer as a consultant for our case since we have no legal experience of our own.|
Consultation|a conference for the exchange of information and advice|When my jewelry was stolen, I had a consultation with a lawyer to get his advice about whether or not I should sue my neighbor for the robbery.|
Consultive|related to consultation or professional advice|While it is not what they do primarily, many still consider a psychologist to be a consultive profession.|
Consume|to eat or drink something|The dog was always in a rush to consume her food, swallowing the meat in one big gulp.|
Consumer|an individual who buys services and goods for his or her own use|As a consumer, I try and buy inexpensive products.|
Consumerism|an economic theory based on the idea that spending money/selling lots of goods is good for the economy|Because America is based on consumerism, the economy relies on the hustle and bustle of sales.|
Consummate|extremely skilled|Phil is a consummate golfer who earned over eight million dollars in tournaments last year.|
Contact|to meet or communicate with someone|The teacher tried to contact her student’s parents, but couldn’t get them to answer the phone.|
Contagion|an infection or other medical condition that is passed through both direct and indirect contact|Washing your hands is one of the most effective ways to stop the spread of the fatal contagion.|
Contagious|capable of spreading a disease|I was not allowed to visit the hospital because my grandfather was contagious.|
Contain|to hold or enclose|The gardens on the northside contain roses, lilies, as well as some beautiful wildflowers.|
Containment|the action of restricting or controlling a dangerous person or thing|Containment is the goal of the firemen as they try and control the forest fire.|
Contaminate|to make something dirty, dangerous or less pure|A boil order would be put into effect because an unknown substance had begun to contaminate the local water.|
Contemplate|to consider something |My best friend’s suicide caused me to contemplate my own happiness.|
Contemplating|carefully thinking about something|After seeing his girlfriend’s offensive text, he was contemplating a breakup.|
Contemporaneous|taking place during the same period of time|The dancers have practiced for months to get their movements in sync and contemporaneous.|
Contemporaneously|in the same period of time|Both the Francisco Library and the Benjamin Art Museum opened contemporaneously with similar works.|
Contemporary|quite recent|While young people tend to prefer contemporary music, the older generation prefers to listen to music from the 1970’s and the 1980’s.|
Contempt|the feeling of intense dislike and a lack of respect for someone/something|Because Abby came from a wealthy family, it was not surprising she looked at homeless people with contempt.|
Contemptible|worthy of contempt|The judge sentenced the contemptible man to a lifetime in prison.|
Contemptuous|showing or feeling deep hatred for someone or something|Because he was often in pain, my grandfather was a contemptuous old man who looked down upon practically everyone.|
Contender|someone or something that opposes another in the pursuit of the same goal|In a game of basketball, each team is a contender to the other, playing against each other for victory.|
Content|in a peaceful, happy state|Though the steak wasn’t perfect, the satisfied customer was content with his meal.|
Contented|happy and satisfied|A contented smile crossed her face when she heard that she was selected for prom queen.|
Contention|a dispute between groups or individuals|Does anyone know the point of contention that started the fight between Jim and Bob?|
Contentious|causing or likely to cause an argument|The author wrote a contentious novel which caused a great deal of unrest.|
Contentment|a feeling of being happy and satisfied|After her near death experience, she focused on contentment with life.|
Contestant|someone who takes part in a contest or competition|If you are taking part in a competition, such as a game show on TV, you are a contestant.|
Context|the setting in which something occurs|Without context, many conversations that you overhear only a part of make no sense whatsoever, and can often be kind of weird.|
Contextualize|to put something in proper perspective|If a friend enters a conversation you are having halfway through it, you may have to contextualize it before he knows what you are talking about.|
Contiguous|used to describe things that touch each other or are next to each other |Susan chose her condominium because she loved the fact its layout included a large playroom for her growing family.|
Continence|the ability to restrain oneself, including one’s bodily discharges|During a rare moment of continence, Tom kept his smart comment to himself.|
Continent|one of the seven large masses of land on the Earth|Each separate continent used to be part of one giant landmass called Pangea.|
Continental|forming or belonging to a continent|I have a continental lineage, considering that every single one of my ancestors was born in Europe.|
Contingency|an event that could occur|The city’s evacuation plan is designed to be effective in case of any contingency that necessitates a hasty withdrawal.|
Contingent|depending on whether or not something else occurs|The job offer was contingent upon the return of a clean background review.|
Continual|happening over and over again|Continual calls from bill collectors led the irritated woman to change her phone number.|
Continuance|a postponement or delay, especially in a legal proceeding|The defendant’s attorney asked for a continuance so that he would have two weeks to prepare for trial.|
Continuation|the action of carrying something out over a period of time|Continuation of the movie will happen right after the commercial break.|
Continue|to remain so it is going on and on|“We will continue writing our essays for the next ten minutes since half the class isn’t finished,” the teacher told her students.|
Continuous|going on and on without interruption|Because of the water leak, a continuous stream sprayed out of the ground for several hours.|
Continuum|something that keeps on going, changing slowly over time|The space-time continuum was studied by those interested in time travel.|
Contorted|twisted in a forceful manner|The python contorted around its intended victim.|
Contortion|a bent position or shape |The gymnast’s contortion allowed us to see the full extent of her flexibility.|
Contour|to mold something into a specific shape|The artist made sure to contour the lines on the painting to make the animal appear more real.|
Contraband|items that are illegally transported|The inmate’s wife was arrested for trying to bring contraband into the jail.|
Contract|a written or spoken agreement|After signing the rental contract, the tenants quickly regretted the agreement.|
Contradict|to disagree with what is being stated|Surprisingly, the lab results contradict with the physician’s diagnosis.|
Contradictory|opposite or logically inconsistent|The contradictory law makes no sense because it outlaws the act in one part and allows it in another.|
Contradistinction|distinguishing things by noting the contrasts or differences in them|The human mind is notorious for using contradistinction, often distinguishing people and objects by the difference they bear to others.|
Contrarian|a person who rejects the majority and takes an opposing view|The politician took a contrarian stance and opposed the bill supported by most of the members of his party.|
Contrarily|in an opposing manner|My wife acted contrarily to my wishes when she allowed our daughter to go to a party without asking me first.|
Contrary|not compatible with a position or nature; in opposition |Contrary to my political rival’s statement, the data reveals crime has not increased in this country.|
Contrast|to differ greatly |Even though Kurt is going to love his new job, his salary will contrast negatively with the large income associated with his former position.|
Contrastingly|at odds with something or the polar opposite of it|The two friends are so contrastingly different that it is a real surprise that they get along at all, though they do say that opposites attract.|
Contravene|to act against a rule or law|Because your actions contravene school policy, you're being suspended for ten days.|
Contribute|to donate something to a cause, whether it be time, money, or ideas|Ariana Grande and several other artists came together to contribute to charity concert for victims of the Manchester terrorist attack.|
Contribution|a gift or payment to a common fund or collection or the part played by a person or thing in bringing about a result or helping something to advance|The grocery store cashier asked the customer if she would like to make a contribution to the American Heart Association.|
Contributor|someone or something that gives aid to a cause or goal|I am a contributor to the charity that I support, giving it a significant monetary donation every month.|
Contrite|feeling or showing remorse or regret|The local news was noticeably contrite and apologized to viewers for the countless on-air technical difficulties.|
Contrition|the state of feeling remorseful or sorry for what one has done|The defendant pled guilty to the crime and expressed heartfelt contrition for the things he done.|
Contrivance|something contrived, as a mechanical device or a clever plan |While we thought the movie was supposed to be an insightful documentary, it was actually nothing more than a political contrivance created to stir hate among ethic groups.|
Contrived|unnatural or fabricated |Jim made the contrived confession after the police threatened him.|
Control|to exercise influence over; to suggest or dictate the behavior of |The whole operation is under control of the production manager.|
Control|to influence or direct people’s behavior|The overbearing mother liked to control her children’s behavior and wouldn’t let them do anything without her permission.|
Controllable|able to be controlled; manageable|“Asthma is very controllable, if you’re following the asthma guidelines and taking medication as needed.”|
Controversial|something that is the subject of typically heated public disagreement|Many political topics are controversial subjects precisely because they appeal to one party demographic or the other.|
Controversy|a heated conversation between two parties with different opinions|The controversy around same sex marriages continues to be a trending topic on Twitter.|
Contumacious|rebellious against laws or those in authority|Because the contumacious student refused to obey the principal’s instructions, he was suspended from school.|
Contumelious|insulting; Showing a lack of respect or rudeness|Offended by her niece’s contumelious behavior, Linda decided not to invite her back over until she learned some manners.|
Contumely|unpleasant behavior or language |The television network felt the show’s dialogue contained contumely that was inappropriate for its young viewers.|
Conundrum|a difficult problem that seems to have no solution|Trying to solve this conundrum is really making my head hurt.|
Convene|to gather for a reason|As soon as the last closing argument is made, the jury will convene to ponder the verdict.|
Convenient|to make something simpler for ease or relief|“If it is convenient for you,” said the neighbor, “I can meet you halfway so you don’t have to travel as far.”|
Conveniently|in a way that is useful/fits well|Tags are conveniently placed on each item so that shoppers will know how much they cost.|
Convent|a place where nuns live; nunnery|The young nun committed her life to the community the day she took her vows at the convent.|
Convention|a formal meeting or assembly|A convention was called so that the delegates could vote on the laws.|
Conventional|describing the standard or the norm|In many cultures, a handshake is a conventional greeting exchanged between people meeting for the first time.|
Converge|to come together from different places to meet at one point|Every year, my family chooses to converge in Georgia from all around the United States for our family reunion.|
Convergence|two or more things coming together to form a new whole|Because of the convergence of political views in the legislature, it is highly likely the government will be able to vote on the budget proposal without any bickering.|
Conversant|to be familiar with or have inside knowledge about the facts of something|The man is conversant in several different languages including French and English.|
Conversation|The exchange thoughts through spoken word (talking)|During their conversation about summer vacation, Thomas and his dad came up with some ideas of fun things to do.|
Conversational|speech or writing that is relaxed or casual|The blog article had a conversational tone that made it easy to read and understand.|
Converse|to engage in conversation|I chose to converse with my younger sibling in the grocery store while we waited for our Mom to finish talking with her friend.|
Conversely|on the other side or hand|The trip wasn’t all good, and conversely, it wasn’t all bad.|
Convert|to change in form|At the airport, kiosks are set up to convert Chinese yen to American dollar bills.|
Convex|shaped like a ball; having a distinct curve that leads into or forms a circle|An ice cream scoop’s convex shape make it great for perfectly round scoops.|
Convey|to deliver or make understood|The popular writer hoped his personal story would convey a message of hope to all those living with depression.|
Conveyance|relocating a person or item usually by means of a large vehicle|Fishermen in Iceland have large boats for the conveyance of haddock to local fish markets.|
Convict|to find someone guilty of a crime|The jury will probably convict the man of murder since he was found with the victim’s blood on his hands.|
Conviction|a firmly held belief or opinion|He had such a lack of conviction of his suitability for the job that he skipped the interview entirely.|
Convince|to talk someone to into doing or believing something|Even though his drinking was a problem, no one could convince the alcoholic to get help.|
Convivial|friendly and making you feel welcome|Carl was a convivial party host who made everyone feel at home.|
Convocation|a sizable gathering of people |The convocation of Baptist ministers is so large it’s being held in the city’s largest auditorium.|
Convoke|to call together or summon a meeting|The chairman decided to convoke a meeting to discuss the company’s budget issue.|
Convoluted|extremely complex and difficult to follow|My head began to hurt as I listened to the professor’s convoluted speech.|
Convoy|a group of vehicles that move as a unit for safety reasons|As the convoy of missionaries travelled through the dangerous jungle, they were escorted by a team of soldiers.|
Convulse|to shake violently|During the seizure, the man’s muscles tightened, and his body began to convulse back and forth.|
Convulsion|a sudden and uncontrollable movement of the body|The man was wracked with a convulsion when his Parkinson’s kicked in, causing him to shake uncontrollably.|
Coolly|done calmly and in a way that does not show excitement|The soldiers tried to react coolly and calmly even during the chaotic mission.|
Cooperation|the act of working together or the actions taken by an individual to be helpful|It took the cooperation of the entire team to meet the fundraising goal.|
Cooperative|ready to work with another person or in a team|The first team was very responsive and cooperative in updating data.|
Coordinate|each of a group of numbers that can be used to find the location of something|Because one coordinate is wrong, the address won’t help us find it to our location.|
Coordination|a procedure or system of arranging people or things so that they function successfully|Due to my coordination of the project at work with my department, my boss gave me a raise since the project was done in a timely and efficient manner.|
Cop-out|an instance of avoiding commitment or responsibility, generally with an excuse|Even though taking out the trash is supposed to be my little brother’s job, he managed to cop-out of it by pretending that the dog needed to be walked.|
Cope|how well or effectively a person can deal with a difficult or tragic situation|The farmers were unable to cope with the harsh dry weather and many of their crops died.|
Copious|large in number or quantity|To avoid having a hangover, do not drink a copious amount of alcohol.|
Copra|dried coconut kernels or meat that produces coconut oil|Because coconut oil is found inside the copra, the meat of the coconut isn’t discarded after use.|
Copse|a group of small trees or shrubs|Six oak trees made up a little copse to the right of the farmer’s house.|
Copy|the result of copying; an identical duplicate of an original |My doctor was able to give me a copy of my test results.|
Copycat|one who copies the ideas or behavior of someone else|He called me a copycat for wearing the same shirt as him.|
Copyright|exclusive legal ownership that is given to someone for something they create|If you write a book, you will have it under copyright, and no one can reproduce it without your permission.|
Coquetry|behavior that is flirty in nature|It was hard for Rick to ignore his wife’s shameless coquetry with other men.|
Coquette|a flirty lady with the male population to seek their appreciation|When the young man saw the coquette playfully teasing other men at the party, he was heartbroken.|
Coquettish|playful in a flirtatious manner|My sister is a coquettish woman who enjoys flirting with men.|
Cord|unit of measurement for firewood |Dominick entered the kitchen with a heavy cord of wood, his thick arms bulging under the load.|
Cordial|warm and sincere|The bellman’s cordial greeting made me instantly fall in love with the hotel.|
Cordillera|a series of mountain ranges that run parallel and serve as the main mountain range of a continent|In North America, the Rocky Mountains and the Sierra Nevada range make up a cordillera that stretches through the west.|
Cordon|to create a barrier around or from something|Since children could get injured on playgrounds, it is essential to cordon off a playground so they don’t have access to it through the fence.|
Corduroy|heavy fabric with vertical ribs|I like rubbing my fingers across the ribs of my corduroy pants.|
Core|a center and usually main part of something compared to its surroundings|Once the teacher was able to get to the core of the problem, the other information regarding the problem was really irrelevant.|
Cornerstone|a key part of something|Keith’s belief in Christ is the cornerstone of all his successful relationships.|
Cornucopia|a large amount of something|The gigantic farmer’s market has a cornucopia of fresh foods.|
Corollary|a natural consequence, or a result that naturally follows|While the expected corollary of staying up all night was to ace the final exam, Cynthia found that she actually fell asleep halfway through and didn’t finish.|
Coroner|an official who investigates violent, sudden, or suspicious deaths|The coroner examined the body for foul play.|
Corporation|a large business that under the law has the rights and duties of an individual|Corporation tax cuts meant that the business could save money on levies and put it back into the company.|
Corporeal|tangible; of a physical nature|As Jack reached for the ghost, he realized it was not corporeal when his hands went straight through the shape.|
Corps|a band of people operating together|As the corps of volunteers worked on the house, they were able to provide a poor family with the opportunity to own their own home.|
Corpse|a dead body|Police found the corpse of the missing woman outside of her friend’s apartment building.|
Corpulent|having a large bulky body|After overeating for months, the skinny girl became somewhat corpulent.|
Corpus|a large collection of writing|The corpus contained many different articles written by the author shortly before his death.|
Corral|a small fenced-in area for animals, usually farm animals|Trainers will typically take their horses inside the corral so that they can teach them certain talents without worrying about the horses escaping.|
Correct|free from error; true; the state of having an affirmed truth |You are correct that a sedentary lifestyle is generally bad for your health.|
Correlate|having a shared connection in which one factor influences another |Studies show intelligence is unique to each person and does not correlate to a specific race or gender.|
Correlative|mutually related|The child's right to education is a correlative of the parent's duty to send the child to school.|
Correspondence|messages exchanged between people|In times of war, my mother often sends correspondence to active duty servicemen.|
Correspondent|a person; journalist who communicates information to a newspaper, radio or television |A correspondent for Reuters news agency says he saw a number of demonstrators being beaten.|
Corridor|a hallway that leads into rooms or other divided areas|Looking for our mother’s room, we walked down the hospital corridor.|
Corroborate|to strengthen or support with other evidence; make more certain|I prayed my friend would corroborate the lie I told my parents!|
Corrugated|containing a wavy exterior; wrinkled|The roof was made of corrugated material so the rain could flow down easily.|
Corrupt|to degrade or demolish someone’s or something’s truthfulness and reliability|Illegal drug use would corrupt the athlete’s career causing people to have no faith in the young man.|
Corruptible|having the ability to be degraded and defamed|One of the police officers realized that he worked among a corruptible group of police officers when they started talking about stealing the drug money they had seized.|
Corruption|the act of corrupt; loss of purity or integrity by authority figures|The corruption within our government branches corrodes public confidence.|
Corsage|a small bouquet of flowers worn on a woman's dress or worn around her wrist to a formal occasion, traditionally purchased by the woman's date|Placing the corsage on her wrist, he thought to himself that the flower’s color matched her dress perfectly.|
Cortege|an individual’s entourage or a grave procession|A cortege of vehicles followed the hearse into the cemetery.|
Coruscate|to give off flashes of light|The diamonds began to coruscate in the bright light.|
Cosmetic|external or superficial; pertaining only to the surface or appearance of something|Fortunately, the damage to the house was mostly cosmetic and a bit of paint covered it nicely.|
Cosmic|incredibly important or large|The cosmic medical discovery is going to save millions of lives.|
Cosmopolitan|reflecting the influence of numerous cultures and countries|Since Jane loved being around people of various cultures, she enjoyed the cosmopolitan atmosphere of the international market.|
Cosmos|the world viewed as a serene and organized place|In observance of the cosmos of life, everything that is born must also die.|
Cosset|to treat like a pet; to overly indulge|From buying expensive toys to boxing vegetable-free lunches, the mother would cosset to her child's every whim.|
Coterminous|having the same border or covering the same area as something else|The little town of Richland is coterminous with the parish of Richland as they share the same border.|
Cottage|a small, simple house usually located in the forest or countryside|The quaint little cottage was the perfect place for a weekend getaway.|
Cougar|an older woman who prefers to date much younger men|Cougar dating sites hook older women up with much younger men.|
Cough|to sharply dispel air from the lungs, usually when something is lodged in the throat or irritating it|The child choked for a moment on his hot dog, but after a cough or two he managed to dislodge the piece of meat that endangered him.|
Council|a board or assembly that meets to advise or discuss things|Head of the school board council, Mr. Meador was responsible for running the meetings once a month.|
Counsel|a lawyer or attorney|The man decided to find new legal counsel since his current attorney doesn’t seem to care about his case.|
Counselor|a person trained to give guidance on problems|Visiting the counselor, the woman hoped that his guidance would help her with her personal problems.|
Countenance|a person's face or facial expression|Even though Janet is a very young woman, her rough countenance makes her appear much older.|
Counter|to retaliate or react to a typically hostile action|The politician had to counter the accusations being made against him, but he did not have a suitable defense to do so.|
Counteract|act against or in opposition to something|To counteract the violence in the community, the police increased the number of footmen on patrol.|
Counterbalance|to oppose or balance something with another thing of equal weight or force|A pulley system was used by the movers to counterbalance the weight of the furniture during delivery.|
Counterclaim|a claim or suit filed in response to a claim made against a group or individual|Filing a counterclaim will allow us to replace the funds we spent defending ourselves in this silly lawsuit.|
Counterexample|an example that contradicts a theory or opinion|The math teacher provided a counterexample to prove to the student that her solution was incorrect.|
Counterfeit|a fake version of an original item|The man was arrested for making counterfeit money.|
Counterintuitive|the opposite of what makes sense|While this idea may sound counterintuitive to what you are trying to do, it really can help increase your sales.|
Countermand|to change or retract a command|Since the bank robbers have hostages, the police chief decided to countermand the order to storm the building.|
Counterproductive|resulting in the opposite of the looked-for effect|The measures are counterproductive and have only increased crime in our community.|
Countervail|to counter something with equal force to offset its effect|To countervail the customers’ concerns about poor service, the company sent out a letter offering to make things right.|
Countless|too many to be counted|Countless stars lit up the night sky.|
Couple|two partners in a romantic relationship|Congratulations are extended to the newly married couple and their families.|
Coupled|together with; combine|Being depressed coupled with a poor diet can lead to mental and physical exhaustion.|
Couplet|a pair of lines with rhyming end words|Many primary grade pupils enjoy rhyme in a couplet when writing poetry.|
Courage|the quality of a confident character not to be afraid or intimidated easily|No longer wanting to suffer, the boy gained the courage to stand up to the bully.|
Courageous|possessing the ability to overcome fear to enter into a dangerous activity|The courageous firefighters rushed into the burning building to save the trapped women and children.|
Course|a path that something or someone moves along |Outside the golf club members were working hard to prepare the course for open week.|
Court-martial|a court where cases of military law is heard|That case concerned an officer's conviction by a court martial in India of an offence of grossly insubordinate conduct.|
Court|the session of a judicial assembly for civil and criminal cases |Because of protests for a man on trial, the security measures in the court building was tightened.|
Courteous|displaying respect for other people|The courteous young man held the door open for the elderly woman.|
Courtesan|a prostitute to men of great wealth or power|As the king’s mistress, the courtesan was one of the highest paid prostitutes in all of Europe.|
Courtier|a companion of a queen, king, or another ruler at a royal court|The courtier followed the queen around the castle, attending to her every need.|
Courtliness|having the mannerisms or attributes befitting someone of high breeding; elegance, good taste, and/or manners|The courtliness of the ballroom could be found in the elegant chandeliers, expensive curtains, and gold fixtures.|
Couth|well-mannered and sophisticated|The couth young man handled himself well at the formal dinner.|
Couture|the production of high-end custom made clothing|The best time for designers to show their couture is on the red carpet at the Emmy awards worn by the actors.|
Coven|a secret gathering of individuals, especially witches|A coven of witches met at midnight so they could discuss which spells and potions they would use on their neighbors.|
Covenant|a binding arrangement; a contract|The priest’s covenant is an agreement between him and God.|
Cover|to place something over or upon, as to conceal or protect|Remember to cover the pot with a lid while you are cooking pasta.|
Coverage|the handling or reporting of an issue by the media|Because there wasn’t much news coverage of the issue, protestors began to riot in the streets.|
Covert|hidden or secret|The spy went to great lengths to make sure his enemies would not discover his covert plans.|
Covetous|displaying greed for another individual’s belongings|The covetous woman couldn’t stop staring at my designer handbag.|
Covey|a small flock of birds|The hunter attempted to scare a covey of birds out of the brush they were nesting in, but the loud air horn he used served only to deafen his own ears.|
Coward|an individual who fears doing unpleasant or risky things|Jim is a coward who stood silently as five boys attacked his little brother.|
Cower|to crouch as in fear or shame|When he was afraid, the little puppy would crouch down and cower in fear.|
Cowl|a long hooded cloak, usually worn by a monk|Placing the hood of his cowl over his head, the monk made his way into the temple.|
Cowlick|an unruly section of hair that stands up or grows in different direction from rest of the hair|Thomas finished applying the gel to his hair, although he couldn't get rid of that annoying cowlick in the back of his head.|
Coxcomb|an arrogant man who is more concerned about his clothes than anything else|As the middle-aged coxcomb strolled down the sidewalk in his clean suit, he stopped into the window to observe his appearance.|
Coyly|in a reluctant manner|Because Ellen stared at me coyly, I knew there was more information she wasn’t telling me.|
Cozy|warm and comfortable|Sprawled out in front of the cozy fire, the relaxed cowboy could barely keep his eyes open.|
Crabby|grumpy and irritable|Usually after paying the bills, it is recommended that children stay away from their parents because they may be crabby from losing so much of their monthly paycheck.|
Crack|the partial exterior break of something without complete separation|While washing the car, Sara noticed a small crack in her windshield and had it repaired immediately.|
Crackdown|immediate stern measures; increased enforcement |Police are hailing raids as part of a national crackdown on illegal drugs a success.|
Crackle|a fizzing popping sound exhibiting similar patterns|Adam sat bold upright in his tent as the crackle of twigs breaking caught his attention.|
Cradle|a rocking infant’s bed that usually has sides|After singing a lullaby while swinging the baby in his cradle, Baby Bobby quickly fell asleep.|
Craft|an activity such as weaving or making pottery that requires you to make things with your hands|The retired teacher is looking for a new craft to take up since she is good at making things with her hands.|
Crafty|cunning and tricky|The crafty wolf was able to trick Little Red Riding Hood into thinking he was Grandmother.|
Craggy|used to describe landscape that is rough and uneven|The craggy peaks of the mountains are so uneven that no hiker could ever stand on them.|
Cram|to stuff; completely fill|Trying to cram six chapters of information the night before the test resulted in a failing grade.|
Cramp|a small convulsion caused by a muscle that hurts|After swimming in the hot sun right after eating a large lunch, a cramp formed in my stomach making me double over in pain.|
